scenario,seq_len,ground_truth,answer,lpips
scene_8_003508,7,"(5, 6)","2,3",0.050641
scene_18_008839,8,"(0, 1)","2,3",0.190523
scene_13_006089,7,"(0, 1)","2,3",0.066962
scene_5_002377,6,"(2, 3)","2,3",0.100395
scene_15_007173,7,"(1, 2)","2,3",0.111420
scene_10_004945,7,"(1, 2)","2,3",0.150851
scene_17_008496,8,"(1, 2)","2,3",0.200736
scene_5_002237,6,"(0, 1)","2,3",0.087245
scene_2_000883,8,"(5, 6)","2,3",0.069206
scene_16_007935,6,"(4, 5)","1,2",0.037184
scene_10_004522,8,"(0, 1)","1,2",0.091043
scene_8_003591,8,"(4, 5)","1,2",0.063309
scene_10_004635,7,"(3, 4)","4,5",0.113828
scene_8_003604,8,"(0, 1)","2,3",0.051367
scene_16_007864,6,"(0, 1)","2,3",0.089545
scene_2_000775,5,"(0, 1)","3,4",0.128690
scene_7_003036,5,"(1, 2)","2,3",0.120490
scene_8_003734,8,"(1, 2)","2,3",0.031883
scene_15_007132,8,"(4, 5)","3,4",0.082098
scene_6_002571,8,"(4, 5)","2,3",0.037259
scene_2_000578,7,"(0, 1)","2,3",0.093930
scene_19_009030,8,"(4, 5)","2,3",0.042237
scene_3_001340,8,"(1, 2)","2,3",0.070468
scene_11_005060,5,"(3, 4)","2,3",0.056052
scene_17_008201,8,"(1, 2)","2,3",0.180826
scene_5_002227,5,"(3, 4)","1,2",0.039466
scene_10_004965,7,"(4, 5)","2,3",0.087637
scene_8_003662,8,"(2, 3)","2,3",0.067542
scene_5_002388,7,"(0, 1)","1,2",0.090646
scene_9_004045,5,"(1, 2)","2,3",0.074561
scene_2_000915,7,"(5, 6)","2,3",0.038382
scene_10_004581,7,"(3, 4)","4,5",0.104616
scene_13_006386,8,"(2, 3)","5,6",0.138976
scene_14_006882,8,"(2, 3)","3,4",0.100591
scene_3_001496,7,"(1, 2)","2,3",0.062498
scene_2_000638,7,"(1, 2)","2,3",0.129076
scene_12_005687,8,"(6, 7)","3,4",0.065550
scene_19_009346,6,"(2, 3)","2,3",0.155464
scene_15_007469,8,"(0, 1)","2,3",0.144822
scene_7_003183,8,"(0, 1)","2,3",0.136327
scene_12_005535,7,"(3, 4)","2,3",0.118017
scene_11_005236,6,"(0, 1)","2,3",0.158212
scene_10_004721,8,"(2, 3)","5,6",0.151189
scene_13_006373,7,"(2, 3)","2,3",0.116449
scene_16_007822,7,"(4, 5)","2,3",0.055600
scene_2_000721,7,"(2, 3)","2,3",0.127443
scene_18_008805,8,"(6, 7)","2,3",0.040559
scene_19_009134,8,"(0, 1)","2,3",0.183334
scene_12_005924,8,"(5, 6)","2,3",0.042429
scene_11_005459,7,"(3, 4)","4,5",0.104520
scene_12_005618,8,"(4, 5)","2,3",0.082187
scene_8_003878,8,"(0, 1)","2,3",0.039581
scene_5_002458,5,"(3, 4)","2,3",0.064872
scene_15_007030,7,"(0, 1)","1,2",0.083379
scene_18_008874,8,"(4, 5)","2,3",0.094484
scene_11_005240,6,"(2, 3)","2,3",0.091958
scene_11_005246,8,"(6, 7)","2,3",0.059457
scene_10_004685,8,"(5, 6)","3,4",0.099277
scene_6_002556,7,"(4, 5)","2,3",0.036471
scene_18_008672,7,"(2, 3)","2,3",0.095732
scene_15_007059,6,"(4, 5)","2,3",0.071625
scene_3_001195,8,"(1, 2)","2,3",0.047652
scene_16_007944,8,"(5, 6)","3,4",0.034695
scene_9_004202,4,"(0, 1)","1,2",0.071775
scene_11_005124,7,"(0, 1)","2,3",0.120324
scene_13_006304,8,"(5, 6)","2,3",0.085000
scene_16_007663,8,"(1, 2)","2,3",0.097653
