scenario,seq_len,ground_truth,answer
scene_292,4,False,no
scene_509,7,False,yes
scene_303,4,True,yes
scene_620,5,False,no
scene_401,6,False,yes
scene_134,6,False,yes
scene_646,7,True,yes
scene_429,5,False,no
scene_682,5,True,yes
scene_597,4,False,yes
scene_328,8,True,yes
scene_693,7,False,no
scene_174,5,True,yes
scene_130,6,False,no
scene_203,8,True,no
scene_221,4,False,yes
scene_321,4,True,no
scene_144,7,True,yes
scene_212,4,True,no
scene_251,7,True,yes
scene_557,8,False,no
scene_184,5,True,no
scene_436,5,False,no
scene_684,8,False,no
scene_426,4,True,no
scene_390,5,True,no
scene_165,8,True,yes
scene_624,7,False,yes
scene_171,7,True,no
scene_612,4,False,yes
scene_467,4,True,no
scene_216,6,True,yes
scene_238,8,False,no
scene_466,5,True,yes
scene_693,7,True,yes
scene_246,6,False,no
