scenario,seq_len,ground_truth,answer
scene_8_003508,7,"(5, 6)","11,61"
scene_18_008839,8,"(0, 1)","95,1"
scene_13_006089,7,"(0, 1)","43,8"
scene_5_002377,6,"(2, 3)","64,60"
scene_15_007173,7,"(1, 2)","47,26"
scene_10_004945,7,"(1, 2)","99,4"
scene_17_008496,8,"(1, 2)","81,45"
scene_5_002237,6,"(0, 1)","14,49"
scene_2_000883,8,"(5, 6)","02,99"
scene_16_007935,6,"(4, 5)","11,3"
scene_10_004522,8,"(0, 1)","56,35"
scene_8_003591,8,"(4, 5)","63,83"
scene_10_004635,7,"(3, 4)","44,9"
scene_8_003604,8,"(0, 1)","15,25"
scene_16_007864,6,"(0, 1)","12,74"
scene_2_000775,5,"(0, 1)","41,14"
scene_7_003036,5,"(1, 2)","67,8"
scene_8_003734,8,"(1, 2)","88,7"
scene_15_007132,8,"(4, 5)","49,0"
scene_6_002571,8,"(4, 5)","85,7"
scene_2_000578,7,"(0, 1)","42,5"
scene_19_009030,8,"(4, 5)","65,57"
scene_3_001340,8,"(1, 2)","62,0"
scene_11_005060,5,"(3, 4)","11,53"
scene_17_008201,8,"(1, 2)","66,3"
scene_5_002227,5,"(3, 4)","35,2"
scene_10_004965,7,"(4, 5)","14,5"
scene_8_003662,8,"(2, 3)","72,4"
scene_5_002388,7,"(0, 1)","84,99"
scene_9_004045,5,"(1, 2)","48,23"
scene_2_000915,7,"(5, 6)","89,5"
scene_10_004581,7,"(3, 4)","34,00"
scene_13_006386,8,"(2, 3)","97,94"
scene_14_006882,8,"(2, 3)","80,44"
scene_3_001496,7,"(1, 2)","49,43"
scene_2_000638,7,"(1, 2)","91,88"
scene_12_005687,8,"(6, 7)","22,03"
scene_19_009346,6,"(2, 3)","49,29"
scene_15_007469,8,"(0, 1)","00,00"
scene_7_003183,8,"(0, 1)","66,67"
scene_12_005535,7,"(3, 4)","90,08"
scene_11_005236,6,"(0, 1)","18,64"
scene_10_004721,8,"(2, 3)","91,2"
scene_13_006373,7,"(2, 3)","12,22"
scene_16_007822,7,"(4, 5)","50,00"
scene_2_000721,7,"(2, 3)","74,3"
scene_18_008805,8,"(6, 7)","44,44"
scene_19_009134,8,"(0, 1)","80,00"
scene_12_005924,8,"(5, 6)","49,11"
scene_11_005459,7,"(3, 4)","24,0"
scene_12_005618,8,"(4, 5)","04,03"
scene_8_003878,8,"(0, 1)","62,9"
scene_5_002458,5,"(3, 4)","30,20"
scene_15_007030,7,"(0, 1)","25,50"
scene_18_008874,8,"(4, 5)","23,6"
scene_11_005240,6,"(2, 3)","75,41"
scene_11_005246,8,"(6, 7)","50,84"
scene_10_004685,8,"(5, 6)","69,90"
scene_6_002556,7,"(4, 5)","71,41"
scene_18_008672,7,"(2, 3)","42,0"
scene_15_007059,6,"(4, 5)","74,9"
scene_3_001195,8,"(1, 2)","47,9"
scene_16_007944,8,"(5, 6)","27,0"
scene_9_004202,4,"(0, 1)","48,9"
scene_11_005124,7,"(0, 1)","20,65"
scene_13_006304,8,"(5, 6)","13,33"
scene_16_007663,8,"(1, 2)","63,64"
scene_12_005945,7,"(2, 3)","84,6"
scene_12_005637,8,"(0, 1)","21,82"
scene_18_008806,8,"(6, 7)","87,74"
scene_4_001759,8,"(1, 2)","22,56"
scene_5_002085,6,"(0, 1)","62,8"
scene_13_006299,8,"(3, 4)","28,55"
scene_12_005756,5,"(2, 3)","08,55"
scene_6_002879,8,"(3, 4)","15,7"
scene_7_003053,8,"(5, 6)","45,0"
scene_11_005038,7,"(2, 3)","11,35"
scene_10_004812,8,"(1, 2)","27,9"
scene_14_006574,8,"(2, 3)","90,00"
scene_9_004318,6,"(2, 3)","13,5"
scene_15_007395,8,"(1, 2)","47,48"
scene_7_003301,8,"(5, 6)","80,28"
scene_17_008276,8,"(2, 3)","73,82"
scene_7_003461,8,"(5, 6)","22,31"
scene_18_008854,7,"(5, 6)","50,00"
scene_15_007072,7,"(5, 6)","43,61"
scene_5_002450,7,"(0, 1)","29,79"
scene_7_003434,8,"(4, 5)","24,59"
scene_14_006825,7,"(5, 6)","48,52"
scene_17_008386,7,"(1, 2)","74,60"
scene_17_008071,8,"(4, 5)","99,86"
scene_17_008016,8,"(5, 6)","45,0"
scene_9_004113,5,"(1, 2)","32,9"
scene_1_000243,5,"(1, 2)","75,04"
scene_11_005329,6,"(3, 4)","64,5"
scene_10_004536,8,"(3, 4)","66,4"
scene_12_005785,7,"(2, 3)","36,71"
scene_10_004813,7,"(5, 6)","65,71"
scene_19_009058,8,"(5, 6)","48,21"
scene_13_006292,7,"(4, 5)","26,9"
scene_14_006966,8,"(1, 2)","86,50"
scene_12_005894,8,"(5, 6)","65,71"
scene_18_008538,8,"(2, 3)","42,6"
scene_10_004983,7,"(0, 1)","41,68"
scene_16_007859,6,"(1, 2)","15,3"
scene_16_007559,8,"(6, 7)","44,86"
scene_6_002880,5,"(0, 1)","69,5"
scene_18_008675,7,"(2, 3)","11,6"
scene_5_002220,7,"(3, 4)","57,55"
scene_18_008883,8,"(2, 3)","87,44"
scene_2_000695,6,"(0, 1)","26,0"
scene_11_005495,6,"(1, 2)","36,9"
scene_14_006903,8,"(4, 5)","41,8"
scene_3_001317,7,"(5, 6)","39,8"
scene_12_005881,7,"(2, 3)","80,00"
scene_12_005585,7,"(1, 2)","16,33"
scene_17_008226,8,"(5, 6)","35,55"
scene_14_006729,7,"(3, 4)","8,00"
scene_2_000918,7,"(3, 4)","24,98"
scene_17_008468,8,"(5, 6)","93,90"
scene_7_003015,8,"(3, 4)","20,26"
scene_8_003681,8,"(1, 2)","99,99"
scene_6_002957,7,"(2, 3)","31,0"
scene_5_002170,5,"(1, 2)","68,5"
scene_16_007695,6,"(1, 2)","35,43"
scene_16_007992,7,"(5, 6)","69,0"
scene_19_009310,7,"(4, 5)","40,69"
scene_19_009300,8,"(4, 5)","42,79"
scene_10_004998,8,"(2, 3)","15,6"
scene_2_000840,6,"(4, 5)","73,0"
scene_10_004874,8,"(3, 4)","10,00"
scene_8_003754,6,"(4, 5)","18,56"
scene_19_009113,8,"(3, 4)","87,0"
scene_11_005218,6,"(2, 3)","30,5"
scene_11_005445,8,"(1, 2)","13,43"
scene_10_004547,6,"(1, 2)","21,21"
scene_2_000677,5,"(3, 4)","25,0"
scene_10_004899,7,"(0, 1)","89,67"
scene_6_002839,6,"(0, 1)","10,00"
scene_16_007623,7,"(0, 1)","84,50"
scene_6_002907,8,"(1, 2)","87,0"
scene_10_004838,8,"(5, 6)","50,94"
scene_16_007916,8,"(1, 2)","28,0"
scene_9_004128,5,"(3, 4)","41,5"
scene_14_006687,8,"(4, 5)","86,4"
scene_1_000258,8,"(0, 1)","23,22"
scene_1_000470,6,"(3, 4)","43,0"
scene_11_005076,6,"(3, 4)","66,3"
scene_8_003964,7,"(4, 5)","50,50"
scene_1_000389,8,"(3, 4)","10,08"
scene_6_002790,8,"(4, 5)","88,88"
scene_18_008524,8,"(2, 3)","08,04"
scene_17_008134,8,"(4, 5)","04,8"
scene_15_007393,8,"(6, 7)","43,5"
scene_3_001083,7,"(0, 1)","65,00"
scene_6_002564,6,"(0, 1)","22,0"
scene_18_008954,7,"(5, 6)","10,00"
scene_19_009499,7,"(4, 5)","99,80"
scene_11_005389,8,"(6, 7)","80,5"
scene_7_003398,6,"(2, 3)","84,32"
scene_15_007271,8,"(6, 7)","49,34"
scene_15_007229,6,"(2, 3)","44,22"
scene_12_005614,8,"(0, 1)","60,00"
scene_8_003933,8,"(2, 3)","72,67"
scene_15_007245,7,"(3, 4)","24,98"
scene_8_003629,6,"(1, 2)","54,94"
scene_18_008950,5,"(3, 4)","23,6"
scene_5_002030,5,"(0, 1)","90,79"
scene_2_000752,5,"(2, 3)","97,39"
scene_8_003805,5,"(1, 2)","37,16"
scene_8_003825,8,"(4, 5)","45,0"
scene_11_005211,7,"(0, 1)","90,00"
scene_6_002846,5,"(2, 3)","14,88"
scene_9_004217,7,"(5, 6)","80,00"
scene_11_005331,6,"(4, 5)","64,3"
scene_11_005126,5,"(1, 2)","74,31"
scene_9_004284,6,"(1, 2)","02,69"
scene_19_009189,8,"(2, 3)","74,1"
scene_11_005380,8,"(6, 7)","72,69"
scene_19_009148,6,"(1, 2)","41,0"
scene_14_006982,7,"(4, 5)","00,80"
scene_19_009087,8,"(6, 7)","58,0"
scene_2_000847,4,"(2, 3)","27,5"
scene_19_009145,8,"(0, 1)","10,00"
scene_5_002379,8,"(4, 5)","40,35"
scene_14_006744,8,"(2, 3)","87,5"
scene_8_003747,8,"(3, 4)","46,2"
scene_6_002567,7,"(0, 1)","35,0"
scene_15_007005,8,"(0, 1)","16,60"
scene_6_002530,8,"(2, 3)","81,7"
scene_14_006833,7,"(2, 3)","06,08"
scene_6_002950,7,"(1, 2)","89,73"
scene_12_005631,5,"(0, 1)","83,57"
scene_14_006827,8,"(1, 2)","11,4"
scene_2_000986,8,"(4, 5)","67,0"
scene_10_004911,7,"(0, 1)","14,96"
scene_16_007602,7,"(0, 1)","30,45"
scene_5_002487,7,"(5, 6)","89,43"
scene_6_002527,8,"(3, 4)","34,23"
scene_5_002151,7,"(0, 1)","39,22"
scene_14_006503,8,"(6, 7)","86,94"
scene_18_008841,7,"(4, 5)","15,00"
scene_6_002529,7,"(1, 2)","99,91"
scene_11_005070,6,"(1, 2)","22,92"
scene_17_008167,8,"(5, 6)","37,14"
scene_12_005522,7,"(3, 4)","81,6"
scene_12_005705,7,"(4, 5)","62,40"
scene_10_004598,8,"(1, 2)","87,3"
scene_5_002217,6,"(2, 3)","89,0"
scene_17_008328,8,"(4, 5)","94,3"
scene_1_000103,7,"(4, 5)","95,45"
scene_12_005530,8,"(3, 4)","80,00"
scene_5_002224,6,"(1, 2)","43,9"
scene_10_004970,8,"(4, 5)","20,00"
scene_8_003981,5,"(1, 2)","50,00"
scene_8_003874,8,"(5, 6)","82,86"
scene_6_002654,7,"(2, 3)","11,11"
scene_10_004959,7,"(3, 4)","56,04"
scene_13_006100,5,"(2, 3)","37,42"
scene_16_007735,7,"(3, 4)","68,54"
scene_5_002031,5,"(3, 4)","64,0"
scene_10_004719,8,"(0, 1)","10,00"
scene_3_001292,7,"(1, 2)","13,5"
scene_11_005289,7,"(1, 2)","89,5"
scene_4_001602,8,"(0, 1)","03,02"
scene_1_000436,7,"(2, 3)","88,83"
scene_18_008701,7,"(0, 1)","15,45"
scene_5_002435,6,"(4, 5)","33,06"
scene_2_000828,5,"(1, 2)","45,70"
scene_5_002427,6,"(4, 5)","93,8"
scene_12_005598,8,"(1, 2)","20,00"
scene_9_004417,4,"(0, 1)","17,78"
scene_16_007997,8,"(0, 1)","92,33"
scene_11_005118,6,"(0, 1)","89,83"
scene_18_008515,8,"(1, 2)","86,5"
scene_5_002157,7,"(0, 1)","00,01"
scene_18_008959,6,"(0, 1)","46,54"
scene_16_007736,7,"(2, 3)","29,9"
scene_3_001302,6,"(0, 1)","45,5"
scene_12_005737,7,"(4, 5)","26,0"
scene_13_006276,8,"(1, 2)","64,97"
scene_18_008793,8,"(2, 3)","12,48"
scene_16_007968,8,"(5, 6)","05,7"
scene_10_004781,8,"(3, 4)","80,00"
scene_12_005578,8,"(1, 2)","80,93"
scene_12_005691,7,"(4, 5)","23,0"
scene_3_001066,6,"(1, 2)","55,3"
scene_11_005435,8,"(5, 6)","34,64"
scene_13_006403,7,"(4, 5)","86,11"
scene_18_008844,8,"(4, 5)","45,5"
scene_6_002562,6,"(3, 4)","80,05"
scene_11_005055,7,"(1, 2)","99,65"
scene_12_005745,8,"(6, 7)","27,15"
scene_17_008370,8,"(3, 4)","33,48"
scene_18_008626,7,"(3, 4)","70,6"
scene_5_002073,5,"(1, 2)","85,51"
scene_5_002116,7,"(0, 1)","50,00"
scene_18_008987,8,"(0, 1)","75,77"
scene_11_005083,5,"(3, 4)","74,16"
scene_10_004792,6,"(2, 3)","88,24"
scene_19_009479,6,"(3, 4)","42,85"
scene_11_005088,7,"(3, 4)","30,0"
scene_15_007176,8,"(3, 4)","61,0"
scene_10_004544,7,"(5, 6)","66,0"
scene_5_002289,7,"(0, 1)","37,7"
scene_18_008622,5,"(0, 1)","14,60"
scene_11_005379,5,"(0, 1)","33,18"
scene_13_006320,8,"(3, 4)","15,6"
scene_12_005844,7,"(5, 6)","37,6"
scene_10_004808,6,"(2, 3)","55,54"
scene_20_009732,8,"(6, 7)","47,42"
scene_6_002928,7,"(0, 1)","87,22"
scene_7_003408,8,"(1, 2)","88,0"
scene_10_004875,8,"(1, 2)","00,8"
scene_19_009168,7,"(1, 2)","50,00"
scene_18_008624,8,"(4, 5)","58,50"
scene_15_007462,6,"(3, 4)","36,55"
scene_12_005918,8,"(1, 2)","15,0"
scene_8_003954,8,"(3, 4)","81,5"
scene_5_002067,5,"(1, 2)","52,34"
scene_10_004601,8,"(2, 3)","84,9"
scene_15_007162,8,"(3, 4)","16,32"
scene_13_006464,8,"(1, 2)","09,9"
scene_14_006748,8,"(6, 7)","85,1"
scene_6_002649,8,"(0, 1)","66,76"
scene_18_008907,7,"(3, 4)","57,7"
scene_2_000792,6,"(4, 5)","25,00"
scene_14_006937,8,"(0, 1)","87,5"
scene_12_005502,8,"(0, 1)","88,0"
scene_2_000564,8,"(5, 6)","20,38"
scene_11_005355,6,"(4, 5)","20,00"
scene_11_005062,4,"(0, 1)","11,8"
scene_3_001449,8,"(0, 1)","72,67"
scene_4_001929,8,"(6, 7)","49,56"
scene_9_004114,5,"(1, 2)","51,19"
scene_5_002048,5,"(1, 2)","64,00"
scene_11_005230,7,"(3, 4)","63,0"
scene_5_002369,7,"(3, 4)","50,50"
scene_7_003321,8,"(3, 4)","84,05"
scene_11_005497,6,"(1, 2)","86,05"
scene_2_000881,6,"(3, 4)","45,6"
scene_3_001310,6,"(0, 1)","64,4"
scene_18_008694,6,"(1, 2)","49,58"
scene_11_005284,5,"(3, 4)","10,69"
scene_4_001675,7,"(0, 1)","60,00"
scene_8_003819,5,"(3, 4)","07,06"
scene_11_005114,7,"(2, 3)","09,12"
scene_18_008899,6,"(3, 4)","80,00"
scene_5_002313,6,"(2, 3)","36,55"
scene_18_008906,7,"(3, 4)","61,61"
scene_19_009083,8,"(5, 6)","12,51"
scene_11_005403,4,"(2, 3)","18,71"
scene_18_008592,8,"(6, 7)","46,9"
scene_5_002245,6,"(4, 5)","45,24"
scene_9_004296,6,"(3, 4)","49,8"
scene_8_003535,6,"(1, 2)","69,0"
scene_6_002609,8,"(1, 2)","03,42"
scene_11_005474,5,"(2, 3)","74,9"
scene_8_003648,5,"(1, 2)","44,0"
scene_8_003920,5,"(0, 1)","12,6"
scene_19_009380,7,"(4, 5)","32,78"
scene_14_006902,7,"(5, 6)","42,0"
scene_6_002684,8,"(4, 5)","87,0"
scene_10_004668,8,"(0, 1)","14,58"
scene_11_005041,7,"(5, 6)","80,15"
scene_11_005349,5,"(2, 3)","16,39"
scene_5_002233,5,"(0, 1)","35,54"
scene_6_002607,6,"(0, 1)","14,0"
scene_20_009530,7,"(4, 5)","46,38"
scene_19_009301,7,"(3, 4)","77,97"
scene_13_006141,5,"(1, 2)","16,53"
scene_7_003195,6,"(0, 1)","30,10"
scene_11_005394,5,"(0, 1)","32,16"
scene_3_001082,7,"(1, 2)","37,5"
scene_10_004508,8,"(0, 1)","42,51"
scene_15_007354,8,"(4, 5)","14,8"
scene_10_004591,7,"(0, 1)","23,0"
scene_10_004643,7,"(5, 6)","63,00"
scene_11_005486,6,"(1, 2)","35,0"
scene_11_005030,7,"(3, 4)","15,7"
scene_13_006261,8,"(0, 1)","46,9"
scene_7_003491,8,"(4, 5)","15,35"
scene_7_003411,5,"(1, 2)","94,10"
scene_16_007767,7,"(4, 5)","40,32"
scene_11_005072,7,"(4, 5)","54,44"
scene_11_005180,5,"(0, 1)","44,35"
scene_5_002088,6,"(4, 5)","70,60"
scene_3_001431,8,"(0, 1)","67,33"
scene_8_003697,6,"(3, 4)","51,49"
scene_6_002552,8,"(5, 6)","93,4"
scene_10_004572,7,"(4, 5)","85,54"
scene_7_003271,8,"(4, 5)","50,20"
scene_8_003868,8,"(4, 5)","18,94"
scene_19_009323,7,"(2, 3)","27,5"
scene_5_002275,5,"(2, 3)","07,00"
scene_5_002398,6,"(1, 2)","47,51"
scene_12_005848,8,"(5, 6)","57,56"
scene_16_007920,7,"(5, 6)","50,00"
scene_10_004780,7,"(2, 3)","73,54"
scene_18_008896,8,"(1, 2)","13,8"
scene_11_005262,5,"(2, 3)","15,98"
scene_8_003704,5,"(3, 4)","42,7"
scene_10_004857,8,"(1, 2)","23,14"
scene_5_002124,5,"(2, 3)","96,83"
scene_17_008304,7,"(3, 4)","36,76"
