scenario,seq_len,ground_truth,answer,lpips,seq_lpips
scene_8,8,False,no,0.356117,0.469672
scene_190,5,True,no,0.595013,0.456576
scene_268,5,True,no,0.163907,0.372948
scene_504,4,False,yes,0.331551,0.441997
scene_39,8,False,no,0.331703,0.395060
scene_381,6,False,no,0.399631,0.351067
scene_262,8,True,no,0.441489,0.520046
scene_607,5,True,yes,0.311413,0.342102
scene_594,5,True,yes,0.467189,0.478294
scene_138,5,False,yes,0.528198,0.528815
scene_518,5,False,no,0.025144,0.030736
scene_2,8,False,yes,0.272041,0.373400
scene_598,4,True,no,0.230559,0.411860
scene_115,4,False,yes,0.417810,0.457375
scene_308,8,False,yes,0.388788,0.520408
scene_620,5,True,yes,0.204791,0.363690
scene_507,5,False,yes,0.546064,0.453255
scene_209,7,True,no,0.268464,0.479956
scene_101,6,True,yes,0.214033,0.416092
scene_584,6,True,yes,0.209632,0.318666
scene_421,7,True,yes,0.324818,0.328952
scene_176,6,False,no,0.457557,0.496891
scene_5,5,False,yes,0.275169,0.324517
scene_247,4,False,yes,0.332305,0.449378
scene_86,6,False,no,0.074119,0.098951
scene_395,7,False,yes,0.425017,0.471202
scene_601,4,True,no,0.017467,0.077431
scene_627,8,True,no,0.384381,0.440596
scene_391,8,False,no,0.465579,0.541572
scene_559,5,False,no,0.175729,0.232746
scene_150,8,False,no,0.422644,0.450647
scene_657,5,False,yes,0.534415,0.479548
scene_63,4,True,yes,0.451547,0.427018
scene_325,8,False,yes,0.219980,0.289936
scene_637,8,False,yes,0.375464,0.463380
scene_191,6,False,no,0.014725,0.019551
scene_14,4,False,no,0.593368,0.557028
scene_293,6,True,yes,0.581043,0.504450
scene_105,4,False,yes,0.353199,0.442818
scene_400,4,True,no,0.356904,0.360004
scene_576,5,True,yes,0.422418,0.466564
scene_261,6,False,yes,0.532218,0.515759
scene_520,7,False,no,0.580698,0.526644
scene_531,8,True,no,0.181392,0.320063
scene_74,5,True,yes,0.279848,0.265482
scene_347,6,True,no,0.410717,0.488648
scene_177,8,True,yes,0.325659,0.363348
scene_375,6,False,no,0.124424,0.226363
scene_172,6,True,no,0.394779,0.422060
scene_265,6,False,yes,0.399339,0.325415
scene_398,8,False,no,0.481540,0.515817
scene_24,7,True,yes,0.461222,0.492708
scene_579,5,False,yes,0.505654,0.447632
scene_353,7,True,no,0.496372,0.471901
scene_118,5,True,no,0.434890,0.456892
scene_560,7,True,yes,0.341556,0.426198
scene_536,6,True,yes,0.405228,0.493396
scene_484,8,True,yes,0.363015,0.441956
scene_162,5,True,yes,0.562323,0.506782
scene_149,6,False,no,0.364326,0.406739
scene_626,5,True,yes,0.339613,0.382716
scene_471,5,True,no,0.003670,0.030768
scene_488,8,False,no,0.045643,0.044058
scene_222,7,True,no,0.040473,0.062688
