scenario,seq_len,ground_truth,answer
scene_16_007656,8,"(5, 6)","3,430190022041725479112106401206"
scene_3_001163,8,"(0, 1)","1,4115674423082481737583590414816"
scene_4_001837,11,"(0, 1)","1,322913870093807614561970119"
scene_7_003423,10,"(4, 5)","1,3"
scene_19_009222,9,"(3, 4)","1,4197626432014245140293313512486"
scene_14_006823,9,"(3, 4)","1,42231234567654321012362478973126"
scene_8_003746,11,"(2, 3)","3,43621151238944312864176263189293715"
scene_6_002635,8,"(5, 6)","3,4314521122343231321475321657"
scene_10_004960,10,"(1, 2)","3,91911071610141191241981617202189203"
scene_19_009083,8,"(5, 6)","1,234506798123414326547890123456"
scene_19_009404,9,"(1, 2)","3,68916307948017611732073192743"
scene_9_004496,9,"(6, 7)","1,23456789909971112131415161718"
scene_20_009625,14,"(0, 1)","1,21403567931362180470031566360675"
scene_16_007646,9,"(0, 1)","1,210812122913413298421230431421"
scene_3_001195,8,"(0, 1)","1,2621807901331327410532621707"
scene_8_003640,9,"(3, 4)","1,2009131693132169759208561743301201"
scene_7_003375,11,"(3, 4)","1,2135454233427167331429725734577"
scene_16_007682,8,"(4, 5)","1,2107752237234567891011213141516"
scene_14_006662,11,"(9, 10)","1,2371122108101750912100040712440410811"
scene_2_000704,13,"(0, 1)","1,31621421103255671232452909186"
scene_7_003334,9,"(3, 4)","1,21341529263537504713628031774"
scene_6_002522,11,"(8, 9)","1,22234421431452222213114233134151130"
scene_18_008500,8,"(3, 4)","1,2109235678104042430265031081639"
scene_18_008527,8,"(1, 2)","1,212345678910111213141516171819"
scene_17_008226,8,"(3, 4)","1,21234534689907111315182023157"
scene_1_000152,11,"(9, 10)","1,2133510312021302413331234135"
scene_14_006585,10,"(4, 5)","1,218029753421103073818273588183"
scene_14_006564,10,"(0, 1)","1,3138484044330120224632815367024"
scene_16_007997,8,"(6, 7)","1,236223435123453455465677898765"
scene_15_007114,10,"(2, 3)","1,3222143161333447722200698448716"
scene_20_009960,8,"(5, 6)","1,236062131479187621032038473917"
scene_20_009592,9,"(6, 7)","1,30958363214031433474484544415"
scene_10_004638,8,"(2, 3)","1,24876786938112850353261321349"
scene_13_006331,10,"(4, 5)","1,3631172431531125111041010112315116"
scene_17_008355,8,"(1, 2)","1,4512410132234135654321123456789012"
scene_1_000157,8,"(1, 2)","1,215635471866141041235781248237"
scene_2_000701,11,"(5, 6)","4,51483520227212917843211073112638"
scene_2_000670,9,"(1, 2)","1,2102000313380201620011151031200"
scene_12_005700,11,"(1, 2)","1,21234554656788891011121341516"
