scenario,seq_len,ground_truth,answer
scene_14124,7,"(5, 6)","10,00"
scene_10696,7,"(0, 1)","95,1"
scene_14922,8,"(0, 1)","43,8"
scene_14012,8,"(5, 6)","36,2"
scene_14779,7,"(2, 3)","47,2"
scene_13854,8,"(1, 2)","41,8"
scene_14696,7,"(1, 2)","96,65"
scene_11199,8,"(1, 2)","11,0"
scene_10716,6,"(0, 1)","47,5"
scene_12474,7,"(5, 6)","25,0"
scene_11448,8,"(5, 6)","75,10"
scene_13886,8,"(4, 5)","57,40"
scene_14268,7,"(0, 1)","97,2"
scene_10493,7,"(4, 5)","99,11"
scene_13918,6,"(3, 4)","30,00"
scene_10362,8,"(0, 1)","51,37"
scene_12332,8,"(0, 1)","33,40"
scene_11032,6,"(0, 1)","51,0"
scene_12897,8,"(1, 2)","52,2"
scene_12742,7,"(1, 2)","74,0"
scene_13909,6,"(4, 5)","51,3"
scene_11971,7,"(4, 5)","78,3"
scene_11590,8,"(0, 1)","88,6"
scene_12129,8,"(4, 5)","93,77"
scene_10165,8,"(1, 2)","17,4"
scene_12672,8,"(5, 6)","05,65"
scene_14293,8,"(5, 6)","47,6"
scene_11020,7,"(5, 6)","30,10"
scene_13493,8,"(4, 5)","53,6"
scene_13462,8,"(3, 4)","03,35"
scene_12228,8,"(1, 2)","23,4"
scene_10964,7,"(3, 4)","30,25"
scene_11140,7,"(4, 5)","88,9"
scene_14516,7,"(2, 3)","97,87"
scene_12025,7,"(0, 1)","37,56"
scene_14735,8,"(6, 7)","43,30"
scene_10015,8,"(6, 7)","59,79"
scene_11410,7,"(1, 2)","58,7"
scene_14626,8,"(5, 6)","48,94"
scene_13868,8,"(3, 4)","38,0"
scene_13307,8,"(2, 3)","88,0"
scene_11525,7,"(2, 3)","60,00"
scene_13673,7,"(1, 2)","62,60"
scene_14389,7,"(1, 2)","84,0"
scene_12832,7,"(2, 3)","48,7"
scene_10770,8,"(0, 1)","94,78"
scene_12886,7,"(0, 1)","18,64"
scene_10596,8,"(3, 4)","91,23"
scene_14118,8,"(0, 1)","73,26"
scene_13834,7,"(2, 3)","41,24"
scene_14713,7,"(2, 3)","49,59"
scene_14373,8,"(4, 5)","63,9"
scene_12294,8,"(2, 3)","52,0"
scene_10831,7,"(0, 1)","49,11"
scene_12560,8,"(5, 6)","34,5"
scene_10594,8,"(3, 4)","03,03"
scene_10701,7,"(4, 5)","62,9"
scene_14856,7,"(0, 1)","30,20"
scene_14556,7,"(3, 4)","25,50"
scene_12373,8,"(0, 1)","73,6"
scene_14305,8,"(4, 5)","75,41"
scene_10155,8,"(2, 3)","50,54"
scene_14004,8,"(6, 7)","69,56"
scene_10018,8,"(5, 6)","71,41"
scene_14886,8,"(4, 5)","45,0"
scene_12582,8,"(6, 7)","74,9"
scene_12994,7,"(2, 3)","07,9"
scene_13671,5,"(1, 2)","27,0"
scene_11122,7,"(5, 6)","59,2"
scene_14068,7,"(0, 1)","36,6"
scene_13770,8,"(0, 1)","33,34"
scene_12870,8,"(5, 6)","11,46"
scene_14943,7,"(1, 2)","40,72"
scene_14868,8,"(6, 7)","58,8"
scene_14200,8,"(2, 3)","75,45"
scene_14133,7,"(0, 1)","27,67"
scene_13915,7,"(1, 2)","25,0"
scene_14388,7,"(0, 1)","87,5"
scene_13881,8,"(3, 4)","08,55"
scene_11689,8,"(2, 3)","15,7"
scene_13872,8,"(3, 4)","45,0"
scene_14560,8,"(5, 6)","11,35"
scene_11597,8,"(6, 7)","47,9"
scene_13643,7,"(2, 3)","96,01"
scene_11135,6,"(1, 2)","73,5"
scene_11891,8,"(2, 3)","47,4"
scene_13015,7,"(2, 3)","58,72"
scene_14580,7,"(1, 2)","17,8"
scene_11251,8,"(5, 6)","25,28"
scene_11492,8,"(2, 3)","13,00"
scene_14918,8,"(5, 6)","26,30"
scene_10724,8,"(5, 6)","10,05"
scene_10238,8,"(5, 6)","95,4"
scene_14358,8,"(0, 1)","59,5"
scene_13330,8,"(4, 5)","95,77"
scene_12701,8,"(5, 6)","46,2"
scene_13902,7,"(1, 2)","94,6"
scene_12339,8,"(4, 5)","45,0"
scene_11553,8,"(5, 6)","32,5"
scene_10296,8,"(1, 2)","75,04"
scene_10544,7,"(1, 2)","64,5"
scene_12943,8,"(3, 4)","66,4"
scene_13555,8,"(3, 4)","36,7"
scene_14782,8,"(2, 3)","26,17"
scene_11835,7,"(5, 6)","50,00"
scene_12333,8,"(5, 6)","50,00"
scene_12625,8,"(4, 5)","86,50"
scene_13647,8,"(1, 2)","65,71"
scene_10251,7,"(5, 6)","42,6"
scene_14652,8,"(2, 3)","61,68"
scene_11662,8,"(6, 7)","50,51"
scene_13286,8,"(6, 7)","41,0"
scene_11066,6,"(0, 1)","69,5"
scene_14552,7,"(1, 2)","11,6"
scene_10758,7,"(0, 1)","57,55"
scene_13966,5,"(2, 3)","81,44"
scene_12106,8,"(3, 4)","36,0"
scene_11912,8,"(2, 3)","36,90"
scene_11866,8,"(0, 1)","17,03"
scene_14091,7,"(1, 2)","42,3"
scene_11679,6,"(4, 5)","10,00"
scene_13645,8,"(5, 6)","63,53"
scene_14641,8,"(2, 3)","15,0"
scene_13642,6,"(1, 2)","77,9"
scene_14928,8,"(5, 6)","42,0"
scene_13988,6,"(3, 4)","93,90"
scene_13584,8,"(3, 4)","20,26"
scene_12646,7,"(5, 6)","98,75"
scene_10673,6,"(3, 4)","31,0"
scene_11677,7,"(1, 2)","68,5"
scene_10794,6,"(2, 3)","39,46"
