scenario,seq_len,ground_truth,answer
scene_09_52,5,False,yes
scene_01_04,4,True,no
scene_13_10,5,True,yes
scene_04_54,4,False,yes
scene_01_31,5,False,yes
scene_17_170,4,False,yes
scene_05_52,4,True,yes
scene_09_76,4,True,yes
scene_26_97,5,True,yes
scene_07_71,4,False,yes
scene_13_24,5,False,yes
scene_17_85,4,False,no
scene_14_59,4,True,no
scene_02_101,5,False,yes
scene_06_02,5,False,yes
scene_01_172,5,True,yes
scene_17_110,4,False,yes
scene_04_128,4,True,yes
scene_17_04,4,True,yes
scene_02_65,5,True,yes
scene_17_150,4,True,yes
scene_09_03,5,False,yes
scene_01_94,5,False,no
scene_26_44,5,False,no
scene_18_54,4,False,yes
scene_17_10,4,False,yes
scene_01_30,5,True,no
scene_04_80,4,False,yes
scene_02_86,5,False,no
scene_01_163,5,False,yes
scene_22_02,4,False,no
scene_18_08,5,False,no
scene_09_09,5,True,yes
scene_14_86,5,False,yes
scene_02_45,5,False,yes
scene_07_26,4,False,no
scene_09_46,5,False,yes
scene_26_91,4,True,no
scene_06_06,4,False,no
scene_01_149,5,True,no
scene_26_125,4,True,yes
scene_22_01,4,True,no
scene_13_25,5,False,no
scene_01_167,4,False,yes
scene_02_83,5,True,no
scene_14_84,5,True,no
scene_26_45,4,True,no
scene_03_18,5,False,yes
scene_07_74,4,True,yes
scene_09_74,4,False,no
scene_02_16,4,False,yes
scene_01_55,5,True,yes
scene_03_41,4,False,yes
scene_01_132,5,True,yes
scene_26_27,5,True,no
scene_07_85,4,True,yes
scene_02_63,5,True,yes
scene_04_126,4,True,yes
scene_01_03,4,True,yes
scene_18_71,5,False,yes
scene_04_19,4,False,yes
scene_01_45,5,True,no
scene_17_142,4,True,yes
scene_09_80,4,False,no
scene_17_69,4,True,yes
scene_04_60,4,False,yes
scene_04_119,4,True,yes
scene_17_83,4,False,yes
scene_01_76,5,True,yes
scene_22_26,4,True,yes
scene_07_81,4,False,yes
scene_02_17,4,False,no
scene_02_04,5,False,yes
scene_01_129,5,False,no
scene_01_26,5,True,no
scene_13_08,4,False,no
scene_05_33,4,False,yes
scene_10_21,5,True,yes
scene_01_34,5,True,no
scene_05_55,5,True,yes
scene_03_67,4,False,yes
scene_26_24,4,False,yes
scene_06_40,5,True,yes
scene_10_12,5,False,no
scene_01_81,4,True,no
scene_04_11,4,True,yes
scene_26_70,5,False,no
scene_06_45,4,True,yes
scene_17_42,4,False,yes
scene_14_64,4,False,no
scene_14_28,5,False,yes
scene_07_31,4,False,yes
scene_17_68,4,True,no
scene_07_32,4,True,yes
scene_03_71,4,False,no
scene_22_23,4,False,yes
scene_17_93,4,False,yes
scene_07_40,4,True,yes
scene_18_23,4,True,yes
scene_09_26,5,False,yes
scene_18_17,5,True,yes
scene_01_97,4,False,no
scene_01_75,5,False,yes
scene_22_16,5,False,yes
scene_06_26,5,True,no
scene_14_03,4,False,yes
scene_26_103,5,True,no
scene_10_02,5,False,yes
scene_18_68,5,False,no
scene_07_36,4,False,no
scene_04_20,4,False,no
scene_22_15,5,False,yes
scene_02_75,4,True,no
scene_01_120,5,False,no
scene_01_170,5,True,yes
scene_18_36,5,True,no
scene_05_25,5,True,yes
scene_04_120,5,False,yes
scene_05_62,4,True,no
scene_10_36,5,True,yes
scene_26_63,4,True,yes
scene_22_41,4,False,yes
scene_18_27,5,True,yes
scene_17_14,4,True,no
scene_26_56,5,True,yes
scene_01_69,5,False,yes
scene_04_27,4,False,yes
scene_05_73,5,False,yes
scene_26_81,5,True,yes
scene_04_69,4,False,yes
scene_26_49,5,True,yes
scene_04_124,4,False,yes
scene_03_16,4,True,no
scene_07_22,4,True,no
scene_01_84,5,True,yes
scene_01_143,5,True,yes
scene_04_85,4,False,no
scene_02_46,5,True,no
scene_26_33,5,True,yes
scene_17_109,5,True,no
scene_03_26,4,True,yes
scene_01_188,5,False,yes
scene_26_03,4,True,no
scene_02_96,5,True,yes
scene_18_09,5,False,no
scene_01_147,5,False,no
scene_17_74,4,False,no
scene_09_12,5,True,no
scene_14_55,4,True,no
scene_06_31,5,False,no
scene_02_95,5,True,yes
scene_02_76,5,False,yes
scene_06_28,4,True,yes
scene_09_13,4,True,no
scene_03_33,5,False,no
scene_01_145,5,False,no
scene_01_39,5,False,no
scene_10_24,4,False,yes
scene_01_88,5,True,yes
scene_06_29,5,True,no
scene_14_52,4,False,no
scene_17_167,4,False,no
scene_18_35,5,False,no
scene_14_85,5,True,yes
scene_22_20,4,False,yes
scene_17_35,5,False,no
scene_02_15,5,True,yes
scene_06_57,5,False,yes
scene_03_02,4,True,no
scene_01_66,5,False,yes
scene_04_81,4,True,yes
scene_02_93,5,False,yes
scene_06_10,5,False,yes
scene_17_117,4,False,yes
scene_04_45,4,True,no
scene_14_45,5,True,no
scene_05_89,5,False,yes
scene_04_02,4,True,no
scene_17_104,4,True,yes
scene_17_49,4,True,no
scene_10_11,5,False,yes
scene_01_95,4,True,no
scene_01_189,5,True,yes
scene_01_127,5,True,yes
scene_26_117,4,False,yes
scene_06_22,4,True,no
scene_22_09,4,False,yes
scene_05_31,5,False,no
scene_26_101,4,True,no
scene_14_75,5,True,yes
scene_14_68,5,False,yes
scene_09_73,4,False,yes
scene_22_12,4,False,yes
scene_17_115,4,True,yes
scene_04_50,4,True,yes
scene_26_34,4,True,yes
scene_17_153,4,True,yes
scene_02_33,5,False,yes
scene_01_82,5,True,yes
scene_13_30,5,False,yes
