scenario,seq_len,ground_truth,answer
02_75,4,"(2, 3)","3,13314035513229152714288020616"
14_68,5,"(0, 1)","1,31681705178212321319810711245"
04_66,5,"(0, 1)","1,2119396232359682037823456788617"
03_51,5,"(2, 3)","1,23456790123421121345676790123"
02_77,5,"(1, 2)","1,284117920021083300025075200110700"
22_02,4,"(0, 1)","1,299433119800802561860317919284179208"
06_54,5,"(1, 2)","3,50021051305120181342414342105103"
06_45,4,"(2, 3)","3,47936585430793591321723237348"
07_05,4,"(0, 1)","3,426869229155515143178602368206247"
22_20,4,"(2, 3)","1,2153172015128220191261006720256"
06_22,4,"(2, 3)","3,119629475112977826389004210910037"
01_66,5,"(0, 1)","1,2347661828926690295246201185120"
01_86,5,"(3, 4)","1,21456636136353048690211532136210"
09_45,5,"(0, 1)","1,2201599856786721011090921291717"
07_14,4,"(0, 1)","1,21262021285520213462972002249427399"
07_42,4,"(0, 1)","1,21301563603321123192275229792655"
26_97,5,"(1, 2)","1,2180286213481108748771983289635"
26_12,4,"(0, 1)","1,3"
01_39,5,"(0, 1)","1,212345677891011121314567891011"
01_167,4,"(2, 3)","1,3941010734221424272934523635848"
22_12,4,"(0, 1)","1,34567891011121314151617181920"
02_10,5,"(3, 4)","1,248132695374119788565527057614"
10_13,5,"(1, 2)","1,227866107828125224504155365039"
14_52,4,"(1, 2)","1,27130663411568823256397875445"
13_30,5,"(2, 3)","1,81186411971354376085332608480855"
09_12,5,"(0, 1)","1,23373147293751228724831572462514"
17_49,4,"(0, 1)","3,40151125291829529292823109232"
26_65,4,"(2, 3)","1,36789876278119289332524873583"
22_26,4,"(1, 2)","1,23692452463534293105609829401526"
18_09,5,"(2, 3)","2,322512021091201200000000000000"
01_69,5,"(2, 3)","1,420201310744128584214031008165"
17_142,4,"(0, 1)","1,217132529301742182684277056400"
26_34,4,"(0, 1)","8,2000067913044031985561380552197329"
09_80,4,"(1, 2)","5,630428449000000000000362844900"
17_109,5,"(0, 1)","3,2851145893941426805364385764"
01_45,5,"(0, 1)","5,14419821033040116528783794948"
04_81,4,"(1, 2)","1,362165021002100610081009301128"
04_07,4,"(0, 1)","1,2115323781011891306132614167715"
04_124,4,"(1, 2)","1,41173665412877302240361706084052376"
02_50,5,"(2, 3)","1,256700000000000003300033000033"
07_85,4,"(2, 3)","2,36431431314672117130310314152091"
06_59,5,"(2, 3)","1,2431429673432011420597272336285"
26_81,5,"(0, 1)","1,222313413211211913210311511812107"
26_77,4,"(2, 3)","1,284344120547081289983420741036"
17_85,4,"(1, 2)","1,35012346907223108491589171224"
01_166,5,"(0, 1)","1,2130219211920221234321432112834"
10_34,5,"(3, 4)","1,234567908827346321096107211091"
04_126,4,"(0, 1)","3,1011242202313132103536461167973"
07_74,4,"(2, 3)","3,2841850836291751670527187370300"
17_35,5,"(2, 3)","1,270033463344339931692223453366"
02_86,5,"(2, 3)","3,59514111900003730017000037300"
17_124,4,"(2, 3)","1,2589312942436581326196474852729"
26_103,5,"(1, 2)","1,21143044503667260877933800798651125"
01_189,5,"(0, 1)","1,217142112102402466237278291777"
18_27,5,"(0, 1)","1,20001062033408633632028073033927"
09_46,5,"(1, 2)","3,200031631146380419010552901701"
04_128,4,"(1, 2)","1,2394112342423455873845461229"
01_19,5,"(0, 1)","3,41513262143263545112894185374975"
01_130,5,"(1, 2)","25,4274362790496755971129494182665"
26_51,4,"(0, 1)","1,22105120320112021427052830626"
10_19,5,"(3, 4)","0,1194114483222667830025211036400"
