scenario,seq_len,ground_truth,answer
scene_22_20,4,False,yes
scene_02_46,5,True,yes
scene_09_26,5,True,yes
scene_26_83,5,False,yes
scene_09_63,5,False,no
scene_22_14,5,False,no
scene_01_28,5,True,yes
scene_17_169,5,True,yes
scene_02_50,5,True,yes
scene_17_126,4,False,yes
scene_17_152,5,False,yes
scene_26_81,5,False,yes
scene_09_20,5,True,yes
scene_01_127,5,False,no
scene_26_107,4,False,yes
scene_22_40,5,True,yes
scene_09_39,5,False,no
scene_17_150,4,True,no
scene_05_52,4,True,yes
scene_17_74,4,True,no
scene_22_41,4,True,yes
scene_18_09,5,False,yes
scene_02_55,5,False,no
scene_01_34,5,False,no
scene_26_84,5,False,no
scene_26_33,5,False,yes
scene_18_36,5,True,yes
scene_18_27,5,False,no
scene_05_33,4,False,yes
scene_17_04,4,False,no
scene_09_03,5,False,no
scene_05_32,4,False,yes
scene_18_65,5,True,no
scene_02_47,5,False,no
scene_04_69,4,False,yes
scene_01_86,5,False,no
scene_03_29,4,False,yes
scene_17_14,4,True,yes
scene_17_83,4,False,yes
scene_17_68,4,True,yes
scene_13_12,4,True,no
scene_13_24,5,True,no
scene_09_80,4,False,yes
scene_06_31,5,True,yes
scene_02_65,5,True,yes
scene_01_147,5,True,yes
scene_01_55,5,False,no
scene_14_03,4,False,no
scene_14_45,5,False,no
scene_01_189,5,True,yes
scene_04_02,4,False,no
scene_26_63,4,True,yes
scene_13_08,4,True,yes
scene_17_127,4,False,no
scene_17_115,4,True,yes
scene_04_60,4,True,yes
scene_03_24,4,True,yes
scene_06_10,5,True,yes
scene_14_74,5,False,no
scene_02_96,5,True,yes
scene_18_12,4,True,yes
scene_03_67,4,False,yes
scene_14_16,5,True,yes
scene_02_13,5,False,no
scene_06_28,4,True,yes
scene_01_07,5,False,yes
scene_10_13,5,True,yes
scene_07_36,4,True,yes
scene_26_70,5,False,no
scene_01_95,4,False,yes
scene_09_73,4,False,yes
scene_17_70,4,False,yes
scene_05_55,5,True,yes
scene_02_77,5,False,yes
scene_04_124,4,False,no
scene_07_85,4,True,yes
scene_02_49,5,True,yes
scene_06_26,5,True,yes
scene_18_66,5,True,yes
scene_26_27,5,False,no
scene_03_02,4,False,no
scene_02_93,5,False,no
scene_09_46,5,True,no
scene_04_85,4,False,no
scene_01_76,5,False,no
scene_17_170,4,True,yes
scene_18_68,5,False,yes
scene_26_77,4,False,yes
scene_22_16,5,False,no
scene_01_85,5,False,no
scene_17_97,4,True,yes
scene_17_42,4,True,yes
scene_06_06,4,False,no
scene_09_02,5,False,yes
scene_17_85,4,False,yes
scene_18_71,5,True,no
scene_04_80,4,True,no
scene_14_68,5,False,yes
scene_02_16,4,True,yes
scene_17_110,4,False,yes
scene_26_28,4,False,no
scene_01_88,5,False,yes
scene_14_86,5,True,no
scene_01_168,5,False,no
scene_18_11,4,True,yes
scene_04_126,4,False,no
scene_22_23,4,True,no
scene_01_149,5,False,yes
scene_05_70,5,False,yes
scene_01_05,5,False,no
scene_04_18,4,False,yes
scene_07_71,4,True,no
