scenario,seq_len,ground_truth,answer
scene_02_77,5,"(3, 4)","3,4"
scene_26_122,4,"(0, 1)","3,4"
scene_09_76,4,"(0, 1)","3,4"
scene_13_25,5,"(3, 4)","2,3"
scene_17_132,4,"(0, 1)","3,4"
scene_01_30,5,"(1, 2)","3,4"
scene_13_30,5,"(1, 2)","1,2"
scene_17_167,4,"(2, 3)","2,3"
scene_04_117,4,"(0, 1)","2,3"
scene_14_86,5,"(1, 2)","2,3"
scene_03_18,5,"(1, 2)","2,3"
scene_01_31,5,"(1, 2)","1,2"
scene_09_80,4,"(2, 3)","2,3"
scene_02_45,5,"(2, 3)","3,4"
scene_05_63,4,"(1, 2)","2,3"
scene_03_08,4,"(1, 2)","2,3"
scene_01_55,5,"(3, 4)","2,3"
scene_17_117,4,"(0, 1)","4,5"
scene_10_11,5,"(1, 2)","2,3"
scene_03_41,4,"(1, 2)","3,4"
scene_17_110,4,"(0, 1)","1,2"
scene_17_49,4,"(2, 3)","2,3"
scene_17_93,4,"(0, 1)","3,4"
scene_14_16,5,"(2, 3)","2,3"
scene_04_80,4,"(0, 1)","3,4"
scene_17_97,4,"(0, 1)","3,4"
scene_18_08,5,"(1, 2)","2,3"
scene_05_89,5,"(2, 3)","4,5"
scene_17_85,4,"(1, 2)","2,3"
scene_22_09,4,"(1, 2)","2,3"
scene_04_119,4,"(1, 2)","1,2"
scene_07_34,4,"(0, 1)","1,2"
scene_04_11,4,"(0, 1)","2,3"
scene_06_57,5,"(0, 1)","1,2"
scene_17_14,4,"(1, 2)","2,3"
scene_06_40,5,"(3, 4)","3,4"
