scenario,seq_len,ground_truth,answer
scene_14124,7,False,yes
scene_10696,7,True,yes
scene_14922,8,True,no
scene_14012,8,False,no
scene_14779,7,False,no
scene_13854,8,False,yes
scene_14696,7,True,no
scene_11199,8,True,yes
scene_10716,6,True,yes
scene_12474,7,False,no
scene_11448,8,False,yes
scene_13886,8,False,no
scene_14268,7,False,no
scene_10493,7,True,yes
scene_13918,6,False,no
scene_10362,8,False,no
scene_12332,8,True,no
scene_11032,6,True,yes
scene_12897,8,True,no
scene_12742,7,True,no
scene_13909,6,True,no
scene_11971,7,True,no
scene_11590,8,False,no
scene_12129,8,False,no
scene_10165,8,False,no
scene_12672,8,False,no
scene_14293,8,False,no
scene_11020,7,True,no
scene_13493,8,True,no
scene_13462,8,False,yes
scene_12228,8,False,yes
scene_10964,7,False,no
scene_11140,7,False,no
scene_14516,7,True,no
scene_12025,7,False,no
scene_14735,8,False,no
scene_10015,8,False,no
scene_11410,7,False,no
scene_14626,8,True,yes
scene_13868,8,False,no
scene_13307,8,True,no
scene_11525,7,True,yes
scene_13673,7,True,no
scene_14389,7,False,no
scene_12832,7,False,no
scene_10770,8,True,no
scene_12886,7,True,no
scene_10596,8,True,no
scene_14118,8,False,no
scene_13834,7,True,no
scene_14713,7,False,no
scene_14373,8,False,yes
scene_12294,8,True,no
scene_10831,7,False,no
scene_12560,8,True,no
scene_10594,8,True,no
scene_10701,7,False,yes
scene_14856,7,True,yes
scene_14556,7,True,no
scene_12373,8,True,no
scene_14305,8,True,yes
scene_10155,8,False,yes
scene_14004,8,True,no
scene_10018,8,True,no
scene_14886,8,True,yes
scene_12582,8,False,yes
scene_12994,7,True,yes
scene_13671,5,True,no
scene_11122,7,False,no
scene_14068,7,True,no
scene_13770,8,False,yes
scene_12870,8,True,no
scene_14943,7,True,yes
scene_14868,8,False,no
scene_14200,8,False,yes
scene_14133,7,False,no
scene_13915,7,False,yes
scene_14388,7,True,yes
scene_13881,8,True,yes
scene_11689,8,False,no
scene_13872,8,False,yes
scene_14560,8,True,no
scene_11597,8,True,no
scene_13643,7,True,yes
scene_11135,6,False,no
scene_11891,8,True,yes
scene_13015,7,False,yes
scene_14580,7,False,yes
scene_11251,8,True,yes
scene_11492,8,True,no
scene_14918,8,False,yes
scene_10724,8,True,no
scene_10238,8,False,yes
scene_14358,8,False,no
scene_13330,8,False,yes
scene_12701,8,False,yes
scene_13902,7,True,no
scene_12339,8,True,yes
scene_11553,8,False,no
scene_10296,8,False,yes
scene_10544,7,False,yes
scene_12943,8,True,yes
scene_13555,8,True,yes
scene_14782,8,False,no
scene_11835,7,True,yes
scene_12333,8,False,no
scene_12625,8,False,no
scene_13647,8,False,yes
scene_10251,7,True,yes
scene_14652,8,True,yes
scene_11662,8,True,yes
scene_13286,8,False,yes
scene_11066,6,True,yes
scene_14552,7,False,yes
scene_10758,7,False,no
scene_13966,5,False,no
scene_12106,8,False,no
scene_11912,8,True,no
scene_11866,8,False,no
scene_14091,7,True,yes
scene_11679,6,True,no
scene_13645,8,True,no
scene_14641,8,True,no
scene_13642,6,True,no
scene_14928,8,True,no
scene_13988,6,False,no
scene_13584,8,True,no
scene_12646,7,False,no
scene_10673,6,True,no
scene_11677,7,True,yes
scene_10794,6,True,yes
scene_10590,8,False,yes
scene_11002,8,False,yes
scene_10640,7,False,no
