scenario,seq_len,ground_truth,answer
scene_01_189,5,False,yes
scene_03_26,4,True,no
scene_26_04,4,True,yes
scene_17_110,4,True,no
scene_17_142,4,True,no
scene_01_147,5,True,yes
scene_17_117,4,True,yes
scene_26_47,5,True,no
scene_14_28,5,True,yes
scene_07_36,4,False,no
scene_26_53,5,False,yes
scene_06_54,5,False,no
scene_02_49,5,False,yes
scene_17_131,4,True,yes
scene_02_95,5,True,yes
scene_18_66,5,True,yes
scene_17_21,5,False,yes
scene_05_63,4,True,yes
scene_17_68,4,True,yes
scene_04_35,5,False,no
scene_14_74,5,True,no
scene_26_47,5,False,yes
scene_07_85,4,True,yes
scene_04_54,4,True,no
scene_26_91,4,True,no
scene_26_117,4,False,no
scene_17_150,4,True,yes
scene_02_96,5,False,yes
scene_04_66,5,True,no
scene_13_30,5,False,yes
scene_17_49,4,False,no
scene_06_10,5,True,yes
scene_02_45,5,False,yes
scene_10_35,4,True,no
scene_07_40,4,False,yes
scene_01_163,5,True,no
