scenario,seq_len,ground_truth,answer,lpips
scene_8,8,"(5, 6)","3,4",0.356117
scene_190,5,"(0, 1)","3,4",0.595013
scene_268,5,"(0, 1)","2,3",0.163907
scene_504,4,"(2, 3)","2,3",0.331551
scene_39,8,"(2, 3)","5,6",0.331703
scene_381,6,"(1, 2)","3,4",0.399631
scene_262,8,"(1, 2)","4,5",0.441489
scene_607,5,"(1, 2)","3,4",0.311413
scene_594,5,"(0, 1)","2,3",0.467189
scene_138,5,"(0, 1)","2,3",0.528198
scene_518,5,"(3, 4)","3,4",0.025144
scene_2,8,"(0, 1)","5,6",0.272041
scene_598,4,"(0, 1)","1,2",0.230559
scene_115,4,"(0, 1)","2,3",0.417810
scene_308,8,"(1, 2)","2,3",0.388788
scene_620,5,"(1, 2)","4,5",0.204791
scene_507,5,"(0, 1)","1,3",0.546064
scene_209,7,"(4, 5)","3,4",0.268464
scene_101,6,"(1, 2)","4,5",0.214033
scene_584,6,"(4, 5)","3,4",0.209632
scene_421,7,"(3, 4)","3,4",0.324818
scene_176,6,"(1, 2)","3,4",0.457557
scene_5,5,"(3, 4)","1,2",0.275169
scene_247,4,"(2, 3)","2,3",0.332305
scene_86,6,"(2, 3)","3,4",0.074119
scene_395,7,"(0, 1)","5,6",0.425017
scene_601,4,"(0, 1)","2,3",0.017467
scene_627,8,"(5, 6)","4,5",0.384381
scene_391,8,"(3, 4)","3,4",0.465579
scene_559,5,"(2, 3)","2,3",0.175729
scene_150,8,"(2, 3)","3,4",0.422644
scene_657,5,"(1, 2)","3,4",0.534415
scene_63,4,"(0, 1)","2,3",0.451547
scene_325,8,"(6, 7)","3,4",0.219980
scene_637,8,"(2, 3)","2,3",0.375464
scene_191,6,"(0, 1)","3,4",0.014725
scene_14,4,"(0, 1)","2,3",0.593368
scene_293,6,"(3, 4)","4,5",0.581043
scene_105,4,"(0, 1)","3,4",0.353199
scene_400,4,"(1, 2)","2,3",0.356904
scene_576,5,"(2, 3)","2,3",0.422418
scene_261,6,"(4, 5)","3,4",0.532218
scene_520,7,"(2, 3)","3,4",0.580698
scene_531,8,"(6, 7)","3,4",0.181392
scene_74,5,"(0, 1)","2,3",0.279848
scene_347,6,"(3, 4)","4,5",0.410717
scene_177,8,"(4, 5)","1,2",0.325659
scene_375,6,"(0, 1)","3,4",0.124424
scene_172,6,"(3, 4)","3,4",0.394779
scene_265,6,"(0, 1)","3,4",0.399339
scene_398,8,"(4, 5)","3,4",0.481540
scene_24,7,"(2, 3)","3,4",0.461222
scene_579,5,"(2, 3)","2,3",0.505654
scene_353,7,"(4, 5)","5,6",0.496372
scene_118,5,"(1, 2)","3,4",0.434890
scene_560,7,"(5, 6)","3,4",0.341556
scene_536,6,"(0, 1)","2,3",0.405228
scene_484,8,"(0, 1)","2,3",0.363015
scene_162,5,"(1, 2)","3,4",0.562323
scene_149,6,"(2, 3)","2,3",0.364326
scene_626,5,"(0, 1)","2,3",0.339613
scene_471,5,"(1, 2)","1,2",0.003670
scene_488,8,"(6, 7)","6,7",0.045643
scene_222,7,"(0, 1)","5,6",0.040473
scene_100,8,"(3, 4)","6,7",0.245364
scene_132,4,"(1, 2)","2,3",0.196784
scene_212,4,"(1, 2)","2,3",0.340492
scene_677,6,"(2, 3)","3,4",0.384888
scene_380,8,"(1, 2)","3,4",0.327624
scene_10,6,"(2, 3)","2,3",0.513252
scene_69,4,"(1, 2)","2,3",0.392631
scene_357,7,"(1, 2)","3,4",0.043940
