scenario,seq_len,ground_truth,answer
scene_14124,7,5,12076707940734877333077031550193575
scene_10696,7,5,1971981413379013282511068017442787577
scene_14922,8,3,12028082476583208755872208831616693
scene_14012,8,6,1202301285717423034547405429515350340
scene_14779,7,0,114782110583031205047811160579456
scene_13854,8,0,110132561111000011102333120110003
scene_14696,7,5,1000119769841388002140410559972216
scene_11199,8,3,122714340186919879463638815325800
scene_10716,6,1,10002933679215862540177698272722929
scene_12474,7,2,119325354899542926000065149141371
scene_11448,8,3,100032261359344130639118218494756
scene_13886,8,1,120179316169844125323929474250797750
scene_14268,7,2,12021563907744322696625665465472109
scene_10493,7,4,1123742071348567874356224713293646
scene_13918,6,0,110110111010110111101100010111011001
scene_10362,8,5,141141517181920263235941193435253
scene_12332,8,1,110210101443626021801231147003606230
scene_11032,6,2,112811961022369859075278849446034
scene_12897,8,2,02001000125310004741000125061859000809
scene_12742,7,1,1123456789101112131415161718192022
scene_13909,6,5,310717047112389234712389132302615
scene_11971,7,4,110110101011000011010011001011011010
scene_11590,8,3,1201004210122312018010100001201901473
scene_12129,8,6,1202201101610923111211151401031071122
scene_10165,8,0,12023261122323123123120231234112212
scene_12672,8,6,120214132871283917642036176374968864
scene_14293,8,3,100021554462804527073456725226505
scene_11020,7,1,310317682319104412464217567240646610
scene_13493,8,6,120264683446259247146593323423433197
scene_13462,8,2,120214734017621309273492947894608220
scene_12228,8,3,1219973699314210695911295035218302613
scene_10964,7,5,1201717529052040318621333789688746
scene_11140,7,4,12021744733026120912314987008234210
scene_14516,7,1,1595200076831107366351010749072105148
scene_12025,7,6,1306959839169241377593284869669631612
scene_14735,8,2,11012041000001004101109200140200302010102
scene_10015,8,6,12021513380256163670531429846561284
scene_11410,7,5,100022003000303031210001000110101002
scene_14626,8,4,12011201120112011201120112011201
scene_13868,8,4,120225393133773905011150616271332
scene_13307,8,7,01393719275490796411544801418845989
scene_11525,7,4,1711231403203745150001412345123120
scene_13673,7,4,1202110000000411044000000044010100000
scene_14389,7,6,12023035561905151835106331506783102
scene_12832,7,6,620097292034497059313519463449023546
scene_10770,8,2,11011231314111411541224121421127122
scene_12886,7,4,1194139314787409463663092659606657890
scene_10596,8,0,198039107742143483831414295045539856
scene_14118,8,3,1202124712384523603411258070251438
scene_13834,7,4,110212312020201010120212345462310123
scene_14713,7,0,1101101101001001000110100111110101111
scene_14373,8,1,11887165110705423411943118004927
scene_12294,8,7,1101101100011101001100110011011100100
scene_10831,7,4,12022069177827171842042148573196846
scene_12560,8,5,120167142734598774335355837722414457
scene_10594,8,1,120210456577375578694270420972231
scene_10701,7,0,110112345678910111213141516171819202
scene_14856,7,4,11875772202245834548572659491922079
scene_14556,7,4,120215013544921148483335772474924499
scene_12373,8,1,120213753396182349016043605108967
scene_14305,8,1,120210910536357100089493500057131235
scene_10155,8,5,1202321004915156650022358732757119
scene_14004,8,7,11234567891245356790123034576791012340
scene_10018,8,7,11011010101111010101010110101010111
scene_14886,8,3,120216618600132970541547966703103507186128
scene_12582,8,6,1123107130124201237112221941489521309
scene_12994,7,3,11992906327890235839143337669909
scene_13671,5,0,11011011010111010001011101111110101000
scene_11122,7,5,110112341142123412341231112341142
scene_14068,7,1,14101127132528921322115532311424313521
scene_13770,8,7,1000110313107000110004014004020080100
scene_12870,8,2,200012000090591139648732177596467
scene_14943,7,1,120214876626357132535173364193844
scene_14868,8,1,11913034342198748560839921197121210930
scene_14200,8,1,120264486812428214621412052154731546
scene_14133,7,1,1000100011010101000100010110001000111
scene_13915,7,3,733110173774121964001187898768948675
scene_14388,7,3,11021112211431210132112231111011023101
scene_13881,8,7,112345677890122345678901234567890123
scene_11689,8,7,100021705915784387121322364412345678945
scene_13872,8,4,11011011110101110101011111101101011
scene_14560,8,0,314878541478485213124220182847862
scene_11597,8,2,110110100111010100111001100101001011
scene_13643,7,6,3111102231294171231103317349467416
scene_11135,6,4,52562197503388343965744933333333206
scene_11891,8,6,1101123308829622092479722108735121201
scene_13015,7,4,12021221006162162592139294117833112944
scene_14580,7,5,12122647826856540050687421580933820
scene_11251,8,4,1101121020341130120230120032020120611
scene_11492,8,3,2115902402975710030213417981748246424
scene_14918,8,2,1202999410060359517149141257911546364
scene_10724,8,5,42553292714849141433984434329022975
scene_10238,8,0,110110111010110110111010000001011011
scene_14358,8,1,1102024614313017531809973125446082
scene_13330,8,4,120210657855559501194110248143626900
scene_12701,8,4,1202147452045433405536202348203824239
scene_13902,7,6,120210031011915314401200321103101410
scene_12339,8,4,121111276777312626338828820538027
scene_11553,8,4,1123456721101232347898765425364859102
scene_10296,8,4,110112311451445141012002111014517125
scene_10544,7,5,120215844511288100271163404523296320
scene_12943,8,0,11029930999083930090584842078108003195
scene_13555,8,0,10007700701047776935796821331410314
scene_14782,8,2,12021928302932250500356602500840311
scene_11835,7,4,120118470784045419843021999441903346
scene_12333,8,0,110123115152131311271900132130121011310
scene_12625,8,2,1000671485472795489840136951135479
scene_13647,8,5,1202107923700311499463283568253606715
scene_10251,7,1,1128480781502600171548243765118680
scene_14652,8,5,1202000510060009199600080070008100
scene_11662,8,5,1101101111111111010011001100100001101
scene_13286,8,6,21349072153656808798362885873192000
scene_11066,6,1,10004130159031346599206862109036417
scene_14552,7,6,100011011110111000110110110101010100
scene_10758,7,3,12021753793176310127514084836611347
scene_13966,5,2,11961123603007626867001627198078243
scene_12106,8,2,12851076656343121723445394717930109386
scene_11912,8,0,11013021234654679187256230559231178723
scene_11866,8,3,1101101011010100000010101101101010101
scene_14091,7,2,1321194320121002212125204021071023
scene_11679,6,0,10031794374678927734555393372189458
scene_13645,8,6,177886547119731013146582748547772676
scene_14641,8,1,12021002133150800123111028331221014
scene_13642,6,5,2000300035411229324214109357063209
scene_14928,8,5,123543345651123456732346745674567
scene_13988,6,0,1202307702151134516427456475031100803
scene_13584,8,4,110110120013203300011100211837308107
scene_12646,7,4,12013142250211105233110152217610510
scene_10673,6,5,12015117082933058221271996910136767
scene_11677,7,3,120152604626623847975218792746756444
scene_10794,6,3,112350673172125621198318897234522580
scene_10590,8,0,100012025882530122384503072402929
scene_11002,8,0,11011011111111111111111111111111
scene_10640,7,3,1000595539565692004850544231442294556
scene_14797,7,5,31231274654567901232342387901243
scene_12019,7,4,11272919495817665021341860310711070548
scene_14016,7,3,10002000777710745660191735371038076
scene_10957,7,4,12012000411049162772774035194653458
scene_14182,8,6,34567898754637342825619894279345678
scene_14170,7,3,112120112312134421431123211223314112314
scene_13204,8,4,1202302742197892245774149719359522
scene_10961,6,4,11011011111101011100110110001001100100
scene_14081,8,7,100013014152132153316513458564206
scene_10588,8,5,12021894330423225346276307120349183637
scene_11650,7,6,120260946406621331443012701917465946
scene_11856,8,0,12011201220132014201520162017201
scene_10832,8,7,21668031742103363017204874120122407019
