scenario,seq_len,ground_truth,answer
scene_8,8,False,yes
scene_190,5,True,no
scene_268,5,True,yes
scene_504,4,False,no
scene_39,8,False,no
scene_381,6,False,no
scene_262,8,True,yes
scene_607,5,True,no
scene_594,5,True,yes
scene_138,5,False,no
scene_518,5,False,no
scene_2,8,False,no
scene_598,4,True,no
scene_115,4,False,no
scene_308,8,False,no
scene_620,5,True,no
scene_507,5,False,no
scene_209,7,True,yes
scene_101,6,True,yes
scene_584,6,True,no
scene_421,7,True,no
scene_176,6,False,no
scene_5,5,False,no
scene_247,4,False,no
scene_86,6,False,no
scene_395,7,False,yes
scene_601,4,True,no
scene_627,8,True,no
scene_391,8,False,yes
scene_559,5,False,no
scene_150,8,False,yes
scene_657,5,False,yes
scene_63,4,True,no
scene_325,8,False,no
scene_637,8,False,no
scene_191,6,False,no
scene_14,4,False,no
scene_293,6,True,yes
scene_105,4,False,yes
scene_400,4,True,no
scene_576,5,True,no
scene_261,6,False,yes
scene_520,7,False,no
scene_531,8,True,no
scene_74,5,True,no
scene_347,6,True,no
scene_177,8,True,yes
scene_375,6,False,no
scene_172,6,True,no
scene_265,6,False,yes
scene_398,8,False,yes
scene_24,7,True,yes
scene_579,5,False,yes
scene_353,7,True,yes
scene_118,5,True,no
scene_560,7,True,yes
scene_536,6,True,no
scene_484,8,True,yes
scene_162,5,True,no
scene_149,6,False,no
scene_626,5,True,no
scene_471,5,True,no
scene_488,8,False,no
scene_222,7,True,no
scene_100,8,False,yes
scene_132,4,True,no
scene_212,4,False,no
scene_677,6,True,no
scene_380,8,True,yes
scene_10,6,False,no
scene_69,4,False,yes
scene_357,7,False,no
scene_42,7,False,no
scene_383,5,True,no
scene_143,8,False,yes
scene_501,8,False,no
scene_251,7,True,yes
scene_386,4,True,no
scene_198,5,True,no
scene_425,5,True,yes
scene_310,8,False,no
scene_426,4,False,yes
scene_339,8,False,no
scene_545,6,True,yes
scene_350,5,False,yes
scene_33,7,False,yes
scene_581,4,True,no
scene_349,5,False,yes
scene_443,5,False,no
scene_450,5,False,yes
scene_534,5,False,yes
scene_301,5,True,yes
scene_64,5,True,no
scene_92,4,False,no
scene_254,5,False,yes
scene_56,6,False,no
scene_361,5,True,yes
scene_40,7,True,yes
scene_185,6,False,no
scene_555,4,True,yes
scene_690,5,False,yes
scene_416,8,False,yes
scene_264,8,False,no
scene_592,5,True,no
scene_193,4,False,no
scene_311,4,True,yes
scene_15,5,False,yes
scene_187,6,True,yes
scene_617,4,False,no
scene_525,7,False,no
scene_509,7,False,no
scene_227,4,False,no
scene_642,4,True,no
scene_297,8,False,yes
scene_554,4,True,no
scene_28,8,True,no
scene_327,4,True,no
scene_655,5,True,no
scene_13,7,False,no
scene_612,4,True,no
scene_553,8,False,yes
scene_510,5,True,no
scene_96,8,False,yes
scene_548,4,True,no
scene_237,4,True,no
scene_219,4,True,no
scene_180,4,False,yes
scene_568,4,False,no
scene_359,8,False,no
scene_256,6,True,no
scene_377,5,False,yes
scene_414,6,True,yes
scene_174,5,False,no
scene_106,4,True,no
scene_116,4,True,no
scene_290,6,True,no
scene_599,5,True,no
scene_62,5,False,no
scene_207,7,True,no
scene_671,6,True,no
scene_516,6,True,no
scene_639,7,True,no
scene_524,8,False,no
scene_280,4,True,no
scene_60,6,True,no
scene_23,7,False,yes
scene_431,7,False,no
scene_532,5,False,no
scene_600,7,False,no
scene_411,8,True,no
scene_43,5,True,no
scene_567,5,False,yes
scene_213,5,True,no
scene_602,6,False,yes
scene_158,4,True,no
scene_312,8,True,yes
scene_119,8,False,no
scene_564,6,False,no
scene_542,7,False,yes
scene_513,7,False,yes
scene_423,8,True,yes
scene_326,5,True,no
scene_622,8,False,yes
scene_652,5,False,no
scene_204,4,False,no
scene_140,4,True,yes
scene_255,4,True,no
scene_77,7,True,no
scene_492,6,True,no
scene_321,4,True,no
scene_650,4,False,no
scene_406,4,True,no
scene_557,8,False,yes
scene_378,8,False,no
scene_436,5,False,yes
scene_609,5,True,no
scene_306,4,True,no
scene_412,7,False,yes
scene_340,7,True,no
scene_632,8,True,no
scene_272,8,True,no
scene_573,7,True,yes
scene_192,6,False,yes
scene_455,8,True,no
scene_129,5,False,no
scene_489,4,True,no
scene_200,7,False,yes
scene_399,5,False,no
scene_502,8,True,no
scene_307,4,False,yes
scene_661,6,True,no
scene_231,4,False,no
scene_461,5,False,yes
scene_241,5,True,no
scene_110,6,True,no
scene_490,5,False,yes
scene_503,6,False,yes
scene_171,7,False,yes
scene_188,8,False,no
scene_368,6,True,yes
scene_184,5,True,no
scene_315,5,False,yes
scene_417,8,True,yes
scene_365,7,False,no
scene_547,5,False,yes
scene_636,8,True,yes
scene_437,6,False,yes
scene_614,6,False,no
scene_285,5,True,no
scene_480,8,False,yes
scene_147,7,True,no
scene_457,6,True,no
scene_454,8,False,yes
scene_449,6,True,yes
scene_155,6,False,yes
scene_286,5,False,yes
scene_335,6,True,no
scene_201,5,False,yes
scene_571,5,True,no
scene_88,6,True,yes
scene_404,7,False,yes
scene_152,8,False,no
scene_649,4,False,no
scene_9,8,True,no
scene_341,4,True,no
scene_148,4,False,no
scene_45,6,False,no
scene_302,4,False,yes
scene_468,6,False,no
scene_631,5,True,no
scene_435,6,False,no
scene_393,8,True,yes
scene_137,7,False,no
scene_215,4,True,yes
scene_585,5,False,yes
scene_540,5,False,no
scene_130,6,True,yes
scene_164,6,False,yes
scene_686,6,False,yes
scene_243,5,False,yes
scene_197,6,True,no
scene_17,6,False,yes
scene_221,4,True,no
scene_453,5,False,yes
scene_424,4,False,yes
scene_392,7,True,yes
scene_593,6,True,no
scene_168,8,False,no
scene_666,6,True,no
scene_294,6,True,no
scene_58,8,True,no
scene_680,5,True,no
scene_552,6,True,no
scene_266,5,False,yes
scene_78,5,True,no
scene_179,7,False,yes
scene_514,7,False,yes
scene_102,8,True,no
scene_113,8,True,no
scene_240,5,True,no
scene_544,4,True,yes
scene_195,6,True,yes
scene_669,7,True,no
scene_634,8,True,yes
scene_136,5,True,no
scene_472,5,False,yes
scene_474,4,True,no
scene_303,4,False,no
scene_91,8,False,no
scene_12,5,False,yes
scene_211,6,True,no
scene_90,6,True,yes
scene_83,5,False,yes
scene_578,6,False,no
scene_320,8,True,no
scene_430,8,False,yes
scene_476,8,False,yes
scene_52,4,True,no
scene_522,5,True,no
scene_316,5,True,no
scene_183,5,False,no
scene_444,4,False,no
scene_186,8,False,yes
scene_157,5,True,no
scene_515,4,True,no
scene_678,6,True,yes
scene_477,6,False,yes
scene_75,4,True,no
scene_369,8,True,no
scene_491,4,False,no
scene_18,7,False,yes
scene_279,6,False,no
scene_76,6,False,yes
scene_446,4,False,no
scene_611,4,True,no
scene_329,6,False,yes
scene_287,4,True,yes
scene_218,7,False,yes
scene_282,7,True,no
scene_563,6,True,no
scene_82,5,True,yes
scene_134,6,False,yes
scene_66,8,False,no
scene_170,5,True,yes
scene_422,7,False,no
scene_22,8,True,yes
scene_586,6,True,no
scene_415,7,False,no
scene_434,5,False,no
scene_26,6,False,yes
scene_533,8,False,no
scene_619,6,True,no
scene_258,4,True,no
scene_324,4,True,yes
scene_364,6,True,no
scene_621,4,False,no
scene_107,7,False,yes
scene_309,6,False,no
scene_144,7,False,yes
scene_139,8,False,yes
scene_407,5,False,no
scene_328,8,False,no
scene_54,6,False,no
scene_539,6,False,no
scene_625,5,False,yes
scene_68,6,False,yes
scene_53,7,False,no
scene_355,6,True,no
scene_283,4,False,yes
scene_351,4,False,no
scene_651,4,True,yes
scene_313,6,True,no
scene_154,7,True,no
scene_278,6,False,yes
scene_587,4,True,no
scene_575,7,True,no
scene_145,8,True,no
scene_189,4,True,no
scene_125,8,True,yes
scene_528,8,True,no
scene_178,7,True,no
scene_358,4,True,no
scene_360,6,False,yes
scene_259,4,True,no
scene_427,8,False,yes
scene_275,6,True,yes
scene_653,5,True,yes
scene_51,6,False,no
scene_288,5,True,no
scene_318,6,False,yes
scene_354,7,False,no
scene_4,4,True,no
scene_37,6,False,yes
scene_366,5,False,no
scene_610,6,False,yes
scene_153,8,True,no
scene_467,4,True,yes
scene_343,5,True,no
scene_493,6,False,yes
scene_202,6,False,yes
scene_420,4,False,yes
scene_122,7,False,no
scene_397,5,False,no
scene_535,5,False,no
scene_658,4,False,no
scene_133,8,False,yes
scene_562,4,True,no
scene_267,7,True,yes
scene_289,5,True,yes
scene_298,6,True,no
scene_336,6,True,yes
scene_624,7,False,yes
scene_646,7,True,yes
scene_317,7,True,no
scene_20,8,True,no
scene_384,7,False,yes
scene_402,8,False,no
scene_126,8,True,no
scene_291,4,True,no
scene_61,5,True,no
scene_561,7,False,yes
scene_120,6,True,no
scene_345,4,False,no
scene_506,5,True,yes
scene_304,4,False,no
scene_35,6,False,no
scene_681,6,True,no
scene_41,4,False,no
scene_260,7,True,yes
scene_396,8,False,yes
scene_537,5,False,no
scene_529,6,False,yes
scene_572,6,True,yes
scene_244,5,True,no
scene_299,8,False,yes
scene_439,7,False,yes
scene_403,8,False,no
scene_160,6,True,yes
scene_523,6,True,yes
scene_465,6,True,no
scene_277,5,False,no
scene_376,7,False,yes
scene_635,4,True,yes
scene_29,6,False,yes
scene_111,8,True,yes
scene_151,5,False,no
scene_456,4,True,no
scene_79,6,True,yes
scene_249,4,False,yes
scene_695,4,True,yes
scene_338,5,False,no
scene_630,5,False,yes
scene_418,6,False,no
scene_374,7,True,yes
scene_356,8,False,yes
scene_452,4,False,yes
scene_597,4,False,no
scene_232,4,False,no
scene_419,4,False,yes
scene_485,8,True,yes
scene_135,8,False,no
scene_199,8,True,no
scene_1,4,True,yes
scene_194,4,True,no
scene_84,7,True,no
scene_508,7,False,no
scene_526,6,False,no
scene_495,5,True,no
scene_538,4,False,no
scene_496,5,True,yes
scene_482,7,True,no
scene_85,8,True,no
