scenario,seq_len,ground_truth,answer
02_75,4,0,1769033673582322915271428802716
14_68,5,1,119837251705170912601319810711245
04_66,5,4,16765119391632359682037823702250077
03_51,5,0,111111011011110011010011001101001100
02_77,5,1,123331511122002133151112200213315
22_02,4,1,120211167821201809018107019284179208
06_54,5,1,11928060105130511961808024340830919
06_45,4,2,327187938858319596644367321723277348
07_05,4,1,129732569229645515143178602368206247
22_20,4,0,1121992665424711286526985657468893171
06_22,4,2,13359472947511297782638477421092537
01_66,5,4,112898324797742228926690295246201185120
01_86,5,0,110110111010010111010111010011000100
09_45,5,4,174757465736567856784789012341732
07_14,4,1,1644941262021285520213462972002249468774
07_42,4,0,11282200533060332100039226831011282655
26_97,5,0,110112111111131111213111113111213
26_12,4,3,10007077886075675908792228561838345
01_39,5,2,11993130441073422772459829594236956185
01_167,4,2,1821494379331080683342807012038623
22_12,4,1,1234423552666778899041111213141516
02_10,5,3,12022022022022022022021210202202202202202202
10_13,5,0,111111011101101100011011110110011100
14_52,4,3,142997130951354376085332608480855
13_30,5,1,11923433641128437512287241441572462514
09_12,5,1,200024337318481829529297523109232
17_49,4,3,11910001123133175133403265032524113135204
26_65,4,1,14364678989012341234567891011121314
22_26,4,1,1234332245331123452331234523451234523
18_09,5,4,21112222334354447788991011121314
01_69,5,2,1110110110100100110101001010101110100
17_142,4,3,136271713257913037631985561380167397329
26_34,4,1,1989409652344900000000896436390000
09_80,4,3,59313162845893941498805364385764
17_109,5,0,120210000110011101011101011011010110
01_45,5,0,14667441982100639981550484772817156
04_81,4,1,120232309163781011891306132614167716
04_07,4,2,11101101011000000000000001111000
04_124,4,0,12004348363840309588498093758725828
02_50,5,1,1413287922038672117363736437954788
07_85,4,2,21000064314311673434091420597272336285
06_59,5,0,140399340439307092598014741033094976107
26_81,5,2,1133991550412054708489985220741036
26_77,4,1,12029984802848483136108491589171224
17_85,4,0,1111111111111111123123123123123123123123
01_166,5,0,1201576621978752734632609616051033
10_34,5,3,102114112421344131322443536414675785
04_126,4,3,125628830864508362917516705307187370300
07_74,4,1,15515980184614283489931692223453366
17_35,5,3,11981999331119331119918171721837223
02_86,5,3,1202709582122702479441326191484852729
17_124,4,1,11702758931538366726087728800798651128
26_103,5,2,120176407821121024024662372786861777
01_189,5,4,11982171820334086273162009320633927
18_27,5,0,10001010101101101000111101001010101010
09_46,5,0,10002000300040005000600070080009
04_128,4,2,1101123441321415356677881912021023
01_19,5,3,311934001766904966459140289494182665
01_130,5,3,119942741400220221244561427702833526
26_51,4,1,100021003100032102111034041111010320100
10_19,5,3,0441327406117224419454124092943412433115
01_94,5,3,17091351289314074394176260788079775
02_64,5,0,10007119210111011710000231010110000
01_132,5,2,1011011110100011001100110101011010110100
01_03,4,1,111110001110001110001110111011101111
03_29,4,3,11615873655344100093438414882092235
03_60,5,3,184204042173043534834448652392529433
14_59,4,3,19695552243756589106936266385687809
04_45,4,0,12562100819700802002245021856050001216
05_89,5,1,15171101327166887335082534431630215624
03_33,5,3,199944621032845629437836153595628115
17_110,4,3,1101301031501181206313714810701481273102
14_45,5,1,1101101001100100011001101111010111101101
03_41,4,3,12744493089503266784352119179997
17_167,4,3,16216878148928062272528908297871305
05_55,5,1,11021022112012024122022102020220202
14_28,5,0,1201792018456108466337207137174973663469
07_89,4,2,225690891071159370907186130670126288657
10_36,5,4,100020007997470005199240006755107648
04_11,4,0,1111205004000000021000000000000002200
26_33,5,4,1142994332497918462419119280810099232
01_82,5,3,340130677260093454611272468999670108
06_28,4,0,1213112711391213135143341451451433314
04_77,5,2,11281128212821283128412851286128
09_76,4,1,23672107185854167627020021076440093
07_34,4,1,1198252780573083052574294173313252671
17_69,4,2,1196120280327422864334899912318465628
07_83,4,0,10159012034001960342128206202243030
01_104,5,0,12334578910111216508141332182529330
02_17,4,2,1397566577195974755311652859350730
13_08,4,2,11232551128179427253539715008094357
18_11,4,2,1000100011101001101101100011110000
17_87,4,1,312316227720191161577488116261382415
02_12,5,0,110110111100111010101011001101000110
03_16,4,2,174509694449034854653796495560277079
03_69,5,2,2199711978491347442287617229214532
14_26,4,0,110675431429685727809448473561053537
01_188,5,0,1
26_117,4,1,11011011110111100111011011010101011
17_123,4,3,17137375903801438751462173453796745
01_31,5,0,1091172642461133498419238351445459
02_32,5,4,12022002123134444134141202202201200202104
04_120,5,3,11281178090907879475825933838404078
02_76,5,2,1202201220122012201220151202012100
17_169,5,1,2362573459326748967143926793489732
14_54,4,2,1984242166383033829298577038875348510
02_63,5,1,1234833343733030580219712373484534347
09_02,5,3,166480632027477685841231422758582449
02_45,5,2,11231114222912332413243313443454555
03_18,5,1,120280304311349179119054312151698
14_55,4,0,178961784127895573581267025761625969
05_63,4,1,21431002114119811039023920411820226722788
02_49,5,2,123484487721039031289843954093213548939132
04_83,4,0,119220080005000119800021070007200102
06_27,4,3,1101022033044054606071110632018304605
22_40,5,0,1213527152621654093169221730868027
22_15,5,4,1111112223333444122333234344255432354
05_64,5,0,11281198112811981128119811281198
01_127,5,1,17299893594651256959060602120118
10_02,5,0,112345678810111213141516171819202
01_120,5,2,1101101111100110010011001101001100100
17_131,4,1,1773330489955389880156208379847616
03_37,5,3,161301429010002401126360221519309
01_129,5,2,120230924123123123123123123123123123123123123
17_126,4,2,12630790078013031036469927253383114
07_26,4,0,1123154431141234450263461428352634024
17_93,4,3,148453268794696427914817246952709276
02_16,4,1,100031663925831814904589366342820
01_100,5,3,12012535628893528120035536199131207
03_24,4,2,1000211819021203419341347915871978
13_10,5,2,189142287366387456628267931882074830
26_93,5,3,1333340111282012866380215530842074838
17_117,4,3,123799356063649571568113751547591985
01_30,5,4,11501740114022000049203920042291500
04_50,4,0,1198198198198198198198198198198198198198198198
05_62,4,2,390095936502749210839447496618110757275
17_42,4,0,16680368330123321330774561710320777
07_60,4,3,1256784806139296787037411240411964
14_64,4,3,125014201010311229618003102001201314
22_41,4,3,193101406000774228341213278904141192327
18_17,5,1,37268168038871083173921997348132312
07_41,4,1,14417394166769238783198277865571177633
17_127,4,1,100010001100101101100011110111101011
13_24,5,1,1123456737298117825483025467882918
07_40,4,2,1101101251211137042107110133121742625
17_132,4,3,11911992202130041520827683062155814
01_81,4,1,12122157722213345231661473248710811298
26_84,5,2,34700765562191194123124778673311226
04_80,4,2,140051394299633793516935974419570934
26_28,4,1,200011954811093606636006458921147
01_34,5,0,11279999999999999999999999999999
17_83,4,1,1000210031004150720091004230081051011
01_163,5,2,1000909082128139197603304655020291050
04_85,4,1,1128951355654859123527811371785174
01_170,5,1,179174300093546424119819140493485924
01_168,5,0,112831234567987828267542911902260
17_14,4,2,1111111111112222333344444555666777
07_16,4,3,11808218331919790741670898881515
01_147,5,3,110110101111010110110010011001111010
02_33,5,3,13518984647716770932763943843001961122
02_93,5,3,59119891598200116740117163898714259276
17_134,4,1,1201231283311283189441974447221722838
17_150,4,3,13559208499013433856009277457053331361
01_07,5,2,171054048528074687194427903519247
17_70,4,1,112202206222824432703376198447131020
03_08,4,1,120212144194042152522055974809660748
06_49,5,3,212312634364232058673146205897421234
18_65,5,0,6222158570704554223375391594765157
10_24,4,1,10001101101010101101000001000111000100
17_43,5,1,1
01_79,4,3,50007790123412857603275046345564078
03_67,4,3,3030303030303030303030303030365
14_06,4,3,164662228419945320120830230492526012437
01_97,4,0,120299220191671043224947371709727359348
06_57,5,4,18544170120110311202012099386417510
09_03,5,1,11111111111111111222222222223333
07_31,4,0,12018168698057987567119754132111438
02_83,5,1,112360123443121314987653160654774667
26_125,4,1,179970110120110200311198107201320210210
01_26,5,3,11117235627272423790251701724214019
05_33,4,2,110110111011101111011101101011010011
01_85,5,2,119721245631086112532232310231144012
05_32,4,3,12341123453445344356778123452345678
14_75,5,4,18313414168476672467842452353621350714216
10_11,5,0,10120220123013021011230130220120210301
01_01,4,0,16478673150152351676520697166683094057
18_68,5,4,117516767087791371632195078585256197623
14_01,5,0,129397110452262646107906666300092484
26_47,5,3,120214280513433832399877563593855072295
02_81,5,2,11236453111847321503319831326473213
26_04,4,1,119045119219310629421987021072276341814
17_74,4,2,400031421761324319562045321382611
17_115,4,3,10703134146540663818734827434343204687
17_166,4,1,16466232428210737136539856129861004
09_67,5,3,121234789865412301944074536198210711
14_84,5,0,11710110211111011010011010000110011000
10_12,5,3,11011010100111001010011101100010000111
01_29,5,2,125688377562246120291836140393714396
09_20,5,4,11011010010011000000101001011010000001
13_25,5,0,10001127248132805421124310964748307
01_04,4,1,110211202630344120496058741021364
06_04,5,3,11121127111271112711127111271112711127
02_47,5,2,1202302112623264674462775707569328
22_14,5,1,21211052111355807764645826239779208
26_24,4,3,127119722891031294729076452988776224
13_12,4,2,112311121121201111231111211211311221201
03_71,4,2,100083901151063503211071461608101409
18_54,4,0,110110102021011101110110100011001011
17_153,4,2,11992649785664512498730081289186320468
06_47,4,1,112364634324348343232330233456123445412
04_19,4,2,13000879851353910004039860480913075
26_03,4,1,2176603174154631295751346736182943677
10_21,5,2,100010101111110011001010101110010
18_23,4,2,112029936811378680437453927898386885
07_17,4,3,10005596502694964275311328421364017
01_75,5,3,120212312526022403242313443745555765
17_33,4,1,119066672149338849726477179172535295
26_91,4,2,1999999167619971331533791041820160
18_71,5,0,171807792183373911903432649351503768
18_36,5,0,1000100022000211111010111102221000002
05_25,5,1,1201223320132011202204142420220412203
05_52,4,1,1130053721096433922574938160059014
22_09,4,1,41117542141114111204727484306739214
02_13,5,3,11921600481656112739421109064753424
03_48,5,4,1202202202311234556672766697008505431311
04_119,4,0,125050504050507070505014023423423423
14_70,5,0,11011010100110111000100110110110111100
04_20,4,1,20002748021484884383811678567783132
06_31,5,1,2111107027440135113661320341121171113
09_63,5,3,3000700021000112002000100011100120001
17_68,4,0,120220220425008100330120469336310421958
05_75,5,2,200010001001101101001110100010001011
06_10,5,1,1000310912141518723324110818751562
09_59,5,4,1713221361222315410716511030256775288
22_01,4,3,111792633266319570064857713138466
18_40,5,0,1345678901234567890123456789012345678
02_53,4,0,12012201220122012201220122012201
17_77,4,3,1189104052124512040749447174596405438
26_44,5,0,120133927191929278657753206555753824
07_32,4,0,100040312169675581416512344576278258
17_04,4,3,142002612015076786703044187341628635
14_65,5,1,11313241128134128511712813213412851311421
26_27,5,0,1202254119581728439550246488182015
05_31,5,3,11011011011000001001110110010110110100
07_37,4,0,11021071101102010202201011811100201111
17_152,5,2,151111010608580907773205327961182
02_96,5,3,1
22_16,5,3,1526212949591443231121697189872476
14_63,4,2,119810111820104481248170008056814127124
06_26,5,3,2000101303037118177810129054107596
17_12,4,0,120220000021003900021000000021000000
14_86,5,3,199904947811234584112344567882998923
02_101,5,1,1851466647776812166246418146553895
17_170,4,3,133243625851234092312313540815503320
02_55,5,4,258428864107298400294782437057911923015
10_35,4,1,16515190337512254920008598660319829909
07_22,4,1,12016633334445774458811903118362870
26_53,5,3,1576016634040363044824953102766918
04_60,4,1,12019124170358002392114333849121168
01_28,5,4,1000000000000000000000001123456789
07_36,4,3,178531457710734696521009243767352503
26_122,4,3,10274644132802216288292996013838518
05_77,5,4,125572363112411123110001100001102224
18_12,4,1,115127282373404739696589914664835296
17_104,4,0,1782093341303108644132446801381892647
17_97,4,2,314750240120100067229127536872513323
26_83,5,2,12022031096729110512531115160794421916
03_26,4,3,12021362166430742182238329132628508
01_55,5,3,11011011010110110110101101101101101101101101
05_73,5,2,1027812939079198633908000112198639835
04_18,4,2,520115109034044041478153314661023028
09_09,5,1,10006720924377232469297597840420077086
09_52,5,1,122214782881086260837929079324038317
03_11,4,2,110299495749761442972157029818130639
09_39,5,3,1210511194014823102014870286513630
14_85,5,3,219634550132425782108782657974333164887
22_48,4,1,11231004112210101121001202000210110202
22_23,4,0,11206127279521986200221777202364627
02_01,5,4,100024199119225683082364714321948425
26_45,4,0,10001234456789101112131415161718191
18_69,5,3,1123787215811981197123841211327827
06_29,5,0,1738646210967520739297420394439
04_54,4,2,100011111011100011110000110010001111
01_185,4,2,10005894571324513245132451324513245132
01_47,5,4,12785985712018399258881499144061437
04_02,4,2,11983779724780600843196332671634169945
09_26,5,0,1128214839353239222130644348043822
06_40,5,3,120299416851873337364247047385916423
18_35,5,2,100010001111010011011011010101011101
01_76,5,2,1202240830774273008891169311921074585
09_73,4,3,1000100010010010010100100111010110100011
02_46,5,4,100071972621875449782145394353209548
18_08,5,1,1107656628286824517019235774795890173
17_10,4,1,1202200302100919070025913120092354379298
01_172,5,1,2000296724731213261396980012061111201478
05_70,5,2,119811312033342891073150536232109143
07_84,4,3,1111111011111111111111111111111
09_13,4,1,11101110111011010011100011101111011
01_95,4,2,11982195657683523262231171574754460
09_74,4,2,1764715276725787833548833433188633
26_49,5,3,1111111111111111111111111111111
26_75,5,0,120280578421319739726395460172379947
07_71,4,2,37332520531915805535948662236406865
04_22,4,2,1310780542625849438219815368120626789
02_95,5,0,192022012422888152011611286432126823
26_107,4,2,21001378921135604811304892115064
07_81,4,3,194104727769153169318226891381119359
26_56,5,2,1144301837892358112933311013894128
03_02,4,1,100063406398119717701934434202020672
01_05,5,4,1199338268282331730539185882833510026137
06_06,4,3,1666666666666666666666666666666
22_27,4,0,10001101101011001100011010010101110
14_74,5,1,234567628097895029483106293781502708
04_35,5,4,11928310193347483292591874959332798532533
14_03,4,3,1184187591236410553165753650973194814
26_70,5,4,1111111111111101101010010111101010
04_117,4,2,16409013137807093751760315750365615477
18_66,5,4,18197216511619521761681481937976569
01_145,5,1,1802735428638112533726683007667712230739
26_101,4,2,1350120131112801361331201617280126144
17_21,5,2,11011011010011000010011000100100100010
04_69,4,0,1000400000000000300040000000000010000
04_27,4,0,1123202211234123202334314516112343123123
01_88,5,0,1781849293591714727169549641032717
01_149,5,3,1123233434556789012345678901234567890
01_153,4,3,1000100011100010011010000101100100010000
14_16,5,3,12257575577570202885112322154345204
22_31,5,3,11541206375224079085141311144134256
01_84,5,2,1197238484323744251029061493751016140
18_20,5,3,5922000045343708708265361222306790
02_04,5,2,11015182426343537314055167317417244
02_65,5,3,178164009367754174629784273200211199
04_47,4,0,10001109101180111101210120120230130116
05_13,5,0,110110111104109111755311210910911055110
06_02,5,4,197392435258237892234103523692032
01_143,5,0,112029994322189100432423433253202101
02_15,5,1,11281128112811281128112811281128
26_63,4,1,1000261589787509743865988680743242379
