scenario,seq_len,ground_truth,answer
scene_11679,6,False,yes
scene_12716,7,True,no
scene_11354,6,True,yes
scene_12186,8,True,no
scene_10468,5,False,no
scene_12197,4,False,yes
scene_12440,8,True,no
scene_13897,7,False,no
scene_12742,7,True,no
scene_12725,5,True,no
scene_13972,6,False,no
scene_11789,4,True,yes
scene_11556,5,True,yes
scene_13145,8,True,no
scene_11971,7,False,yes
scene_12771,5,True,yes
scene_14954,8,False,yes
scene_13614,4,False,no
scene_10586,6,False,yes
scene_12908,6,False,no
scene_13693,7,False,no
scene_13831,8,True,no
scene_13715,7,True,no
scene_11474,7,True,no
scene_10100,8,True,yes
scene_10051,8,False,yes
scene_11175,7,True,no
scene_14822,4,True,yes
scene_12963,6,True,no
scene_14041,8,False,no
scene_11771,5,False,no
scene_14768,4,False,yes
scene_12313,5,False,no
scene_10604,4,True,no
scene_10342,6,False,no
