scenario,seq_len,ground_truth,answer
02_75,4,False,yes
14_68,5,True,yes
04_66,5,True,yes
03_51,5,True,no
02_77,5,False,yes
22_02,4,False,yes
06_54,5,False,yes
06_45,4,True,no
07_05,4,False,yes
22_20,4,True,yes
06_22,4,True,yes
01_66,5,True,yes
01_86,5,False,yes
09_45,5,False,yes
07_14,4,False,yes
07_42,4,False,no
26_97,5,False,yes
26_12,4,False,yes
01_39,5,True,no
01_167,4,False,yes
22_12,4,False,yes
02_10,5,False,yes
10_13,5,False,yes
14_52,4,False,yes
13_30,5,True,yes
09_12,5,True,yes
17_49,4,False,yes
26_65,4,False,yes
22_26,4,True,yes
18_09,5,True,no
01_69,5,False,yes
17_142,4,False,yes
26_34,4,False,yes
09_80,4,True,yes
17_109,5,True,yes
01_45,5,False,no
04_81,4,True,yes
04_07,4,True,yes
04_124,4,True,yes
02_50,5,True,yes
07_85,4,True,yes
06_59,5,True,yes
26_81,5,False,yes
26_77,4,False,yes
17_85,4,True,yes
01_166,5,True,yes
10_34,5,True,yes
04_126,4,False,no
07_74,4,True,yes
17_35,5,True,yes
02_86,5,True,yes
17_124,4,True,yes
26_103,5,True,yes
01_189,5,False,yes
18_27,5,False,yes
09_46,5,False,yes
04_128,4,False,no
01_19,5,False,yes
01_130,5,False,yes
26_51,4,False,yes
10_19,5,True,yes
01_94,5,True,yes
02_64,5,True,yes
01_132,5,True,yes
01_03,4,False,yes
03_29,4,False,no
03_60,5,True,yes
14_59,4,False,yes
04_45,4,False,no
05_89,5,False,yes
03_33,5,False,yes
17_110,4,True,yes
14_45,5,True,yes
03_41,4,True,yes
17_167,4,False,yes
05_55,5,False,yes
14_28,5,True,yes
07_89,4,False,yes
10_36,5,True,yes
04_11,4,True,yes
26_33,5,False,yes
01_82,5,True,yes
06_28,4,False,yes
04_77,5,False,yes
09_76,4,True,yes
07_34,4,True,yes
17_69,4,False,yes
07_83,4,False,yes
01_104,5,True,yes
02_17,4,True,yes
13_08,4,False,yes
18_11,4,False,no
17_87,4,False,yes
02_12,5,False,yes
03_16,4,True,yes
03_69,5,False,yes
14_26,4,False,yes
01_188,5,False,yes
26_117,4,False,yes
17_123,4,True,yes
01_31,5,False,yes
02_32,5,True,yes
04_120,5,True,yes
02_76,5,False,yes
17_169,5,True,yes
14_54,4,False,yes
02_63,5,True,yes
09_02,5,False,yes
02_45,5,True,yes
03_18,5,True,yes
14_55,4,True,yes
05_63,4,True,yes
02_49,5,False,yes
04_83,4,True,yes
06_27,4,False,yes
22_40,5,False,yes
22_15,5,False,yes
05_64,5,True,yes
01_127,5,False,yes
10_02,5,False,yes
01_120,5,True,yes
17_131,4,False,yes
03_37,5,True,yes
01_129,5,True,yes
17_126,4,True,yes
07_26,4,False,yes
17_93,4,False,yes
02_16,4,True,yes
01_100,5,False,yes
03_24,4,False,yes
13_10,5,True,yes
26_93,5,False,yes
17_117,4,True,yes
01_30,5,True,yes
04_50,4,True,no
05_62,4,True,yes
17_42,4,False,yes
07_60,4,True,yes
14_64,4,False,no
22_41,4,True,yes
18_17,5,True,yes
07_41,4,True,no
17_127,4,False,yes
13_24,5,False,yes
07_40,4,True,yes
17_132,4,True,yes
01_81,4,False,no
26_84,5,True,yes
