scenario,seq_len,ground_truth,answer
scene_8_003508,7,"(5, 6)","5,6"
scene_18_008839,8,"(0, 1)","5,6"
scene_13_006089,7,"(0, 1)","4,5"
scene_5_002377,6,"(2, 3)","3,4"
scene_15_007173,7,"(1, 2)","6,7"
scene_10_004945,7,"(1, 2)","3,4"
scene_17_008496,8,"(1, 2)","4,5"
scene_5_002237,6,"(0, 1)","4,5"
scene_2_000883,8,"(5, 6)","2,3"
scene_16_007935,6,"(4, 5)","4,5"
scene_10_004522,8,"(0, 1)","3,4"
scene_8_003591,8,"(4, 5)","4,5"
scene_10_004635,7,"(3, 4)","5,6"
scene_8_003604,8,"(0, 1)","4,6"
scene_16_007864,6,"(0, 1)","3,4"
scene_2_000775,5,"(0, 1)","4,5"
scene_7_003036,5,"(1, 2)","3,4"
scene_8_003734,8,"(1, 2)","2,3"
scene_15_007132,8,"(4, 5)","3,4"
scene_6_002571,8,"(4, 5)","7,8"
scene_2_000578,7,"(0, 1)","3,4"
scene_19_009030,8,"(4, 5)","5,6"
scene_3_001340,8,"(1, 2)","4,6"
scene_11_005060,5,"(3, 4)","3,4"
scene_17_008201,8,"(1, 2)","3,5"
scene_5_002227,5,"(3, 4)","2,3"
scene_10_004965,7,"(4, 5)","3,4"
scene_8_003662,8,"(2, 3)","3,4"
scene_5_002388,7,"(0, 1)","3,6"
scene_9_004045,5,"(1, 2)","4,5"
scene_2_000915,7,"(5, 6)","2,3"
scene_10_004581,7,"(3, 4)","2,3"
scene_13_006386,8,"(2, 3)","2,3"
scene_14_006882,8,"(2, 3)","3,4"
scene_3_001496,7,"(1, 2)","1,2"
scene_2_000638,7,"(1, 2)","4,5"
scene_12_005687,8,"(6, 7)","3,4"
scene_19_009346,6,"(2, 3)","4,5"
scene_15_007469,8,"(0, 1)","4,5"
scene_7_003183,8,"(0, 1)","5,6"
scene_12_005535,7,"(3, 4)","2,3"
scene_11_005236,6,"(0, 1)","3,4"
scene_10_004721,8,"(2, 3)","5,6"
scene_13_006373,7,"(2, 3)","2,5"
scene_16_007822,7,"(4, 5)","3,5"
scene_2_000721,7,"(2, 3)","6,7"
scene_18_008805,8,"(6, 7)","4,5"
scene_19_009134,8,"(0, 1)","5,6"
scene_12_005924,8,"(5, 6)","3,5"
scene_11_005459,7,"(3, 4)","4,6"
scene_12_005618,8,"(4, 5)","2,3"
scene_8_003878,8,"(0, 1)","2,3"
scene_5_002458,5,"(3, 4)","4,5"
scene_15_007030,7,"(0, 1)","3,4"
scene_18_008874,8,"(4, 5)","4,5"
scene_11_005240,6,"(2, 3)","4,5"
scene_11_005246,8,"(6, 7)","6,7"
scene_10_004685,8,"(5, 6)","6,7"
scene_6_002556,7,"(4, 5)","2,3"
scene_18_008672,7,"(2, 3)","6,7"
scene_15_007059,6,"(4, 5)","4,5"
scene_3_001195,8,"(1, 2)","3,4"
scene_16_007944,8,"(5, 6)","6,7"
scene_9_004202,4,"(0, 1)","1,2"
scene_11_005124,7,"(0, 1)","6,7"
scene_13_006304,8,"(5, 6)","4,5"
scene_16_007663,8,"(1, 2)","2,3"
scene_12_005945,7,"(2, 3)","5,6"
scene_12_005637,8,"(0, 1)","2,4"
scene_18_008806,8,"(6, 7)","3,5"
scene_4_001759,8,"(1, 2)","5,6"
scene_5_002085,6,"(0, 1)","4,5"
scene_13_006299,8,"(3, 4)","5,6"
scene_12_005756,5,"(2, 3)","3,4"
scene_6_002879,8,"(3, 4)","3,5"
scene_7_003053,8,"(5, 6)","7,8"
scene_11_005038,7,"(2, 3)","5,6"
scene_10_004812,8,"(1, 2)","4,5"
scene_14_006574,8,"(2, 3)","5,6"
scene_9_004318,6,"(2, 3)","1,2"
scene_15_007395,8,"(1, 2)","4,5"
scene_7_003301,8,"(5, 6)","2,4"
scene_17_008276,8,"(2, 3)","5,6"
scene_7_003461,8,"(5, 6)","2,6"
scene_18_008854,7,"(5, 6)","4,6"
scene_15_007072,7,"(5, 6)","4,5"
scene_5_002450,7,"(0, 1)","6,7"
scene_7_003434,8,"(4, 5)","4,7"
scene_14_006825,7,"(5, 6)","6,7"
scene_17_008386,7,"(1, 2)","2,5"
scene_17_008071,8,"(4, 5)","4,5"
scene_17_008016,8,"(5, 6)","6,7"
scene_9_004113,5,"(1, 2)","2,3"
scene_1_000243,5,"(1, 2)","4,5"
scene_11_005329,6,"(3, 4)","3,4"
scene_10_004536,8,"(3, 4)","4,5"
scene_12_005785,7,"(2, 3)","4,5"
scene_10_004813,7,"(5, 6)","3,4"
scene_19_009058,8,"(5, 6)","6,7"
scene_13_006292,7,"(4, 5)","5,6"
scene_14_006966,8,"(1, 2)","2,4"
scene_12_005894,8,"(5, 6)","2,3"
scene_18_008538,8,"(2, 3)","4,5"
scene_10_004983,7,"(0, 1)","5,6"
scene_16_007859,6,"(1, 2)","4,5"
scene_16_007559,8,"(6, 7)","1,2"
scene_6_002880,5,"(0, 1)","1,2"
scene_18_008675,7,"(2, 3)","3,6"
scene_5_002220,7,"(3, 4)","3,6"
scene_18_008883,8,"(2, 3)","5,6"
scene_2_000695,6,"(0, 1)","3,4"
scene_11_005495,6,"(1, 2)","5,6"
scene_14_006903,8,"(4, 5)","5,6"
scene_3_001317,7,"(5, 6)","4,5"
scene_12_005881,7,"(2, 3)","6,7"
scene_12_005585,7,"(1, 2)","2,3"
scene_17_008226,8,"(5, 6)","4,5"
scene_14_006729,7,"(3, 4)","3,5"
scene_2_000918,7,"(3, 4)","5,6"
scene_17_008468,8,"(5, 6)","5,6"
scene_7_003015,8,"(3, 4)","2,3"
scene_8_003681,8,"(1, 2)","4,5"
scene_6_002957,7,"(2, 3)","3,4"
scene_5_002170,5,"(1, 2)","4,5"
scene_16_007695,6,"(1, 2)","5,6"
scene_16_007992,7,"(5, 6)","4,7"
scene_19_009310,7,"(4, 5)","6,7"
scene_19_009300,8,"(4, 5)","5,6"
scene_10_004998,8,"(2, 3)","5,6"
scene_2_000840,6,"(4, 5)","5,6"
scene_10_004874,8,"(3, 4)","6,7"
scene_8_003754,6,"(4, 5)","3,4"
scene_19_009113,8,"(3, 4)","5,6"
scene_11_005218,6,"(2, 3)","3,4"
scene_11_005445,8,"(1, 2)","5,6"
scene_10_004547,6,"(1, 2)","3,5"
scene_2_000677,5,"(3, 4)","4,5"
scene_10_004899,7,"(0, 1)","3,4"
scene_6_002839,6,"(0, 1)","4,5"
scene_16_007623,7,"(0, 1)","4,7"
scene_6_002907,8,"(1, 2)","4,5"
scene_10_004838,8,"(5, 6)","3,7"
scene_16_007916,8,"(1, 2)","5,6"
scene_9_004128,5,"(3, 4)","4,5"
scene_14_006687,8,"(4, 5)","6,7"
scene_1_000258,8,"(0, 1)","6,7"
scene_1_000470,6,"(3, 4)","5,6"
scene_11_005076,6,"(3, 4)","3,4"
scene_8_003964,7,"(4, 5)","4,5"
scene_1_000389,8,"(3, 4)","5,6"
scene_6_002790,8,"(4, 5)","5,7"
scene_18_008524,8,"(2, 3)","2,3"
scene_17_008134,8,"(4, 5)","5,6"
scene_15_007393,8,"(6, 7)","5,7"
scene_3_001083,7,"(0, 1)","3,6"
scene_6_002564,6,"(0, 1)","1,2"
scene_18_008954,7,"(5, 6)","5,6"
scene_19_009499,7,"(4, 5)","5,6"
scene_11_005389,8,"(6, 7)","4,6"
scene_7_003398,6,"(2, 3)","2,3"
scene_15_007271,8,"(6, 7)","4,5"
scene_15_007229,6,"(2, 3)","4,5"
scene_12_005614,8,"(0, 1)","4,5"
scene_8_003933,8,"(2, 3)","4,5"
scene_15_007245,7,"(3, 4)","2,3"
scene_8_003629,6,"(1, 2)","2,3"
scene_18_008950,5,"(3, 4)","3,4"
scene_5_002030,5,"(0, 1)","4,5"
scene_2_000752,5,"(2, 3)","2,3"
scene_8_003805,5,"(1, 2)","1,2"
scene_8_003825,8,"(4, 5)","2,3"
scene_11_005211,7,"(0, 1)","3,6"
scene_6_002846,5,"(2, 3)","3,4"
scene_9_004217,7,"(5, 6)","4,6"
scene_11_005331,6,"(4, 5)","3,5"
scene_11_005126,5,"(1, 2)","4,5"
scene_9_004284,6,"(1, 2)","3,5"
scene_19_009189,8,"(2, 3)","2,3"
scene_11_005380,8,"(6, 7)","7,8"
scene_19_009148,6,"(1, 2)","4,5"
scene_14_006982,7,"(4, 5)","2,7"
scene_19_009087,8,"(6, 7)","4,5"
scene_2_000847,4,"(2, 3)","2,3"
scene_19_009145,8,"(0, 1)","6,7"
scene_5_002379,8,"(4, 5)","4,6"
scene_14_006744,8,"(2, 3)","2,3"
scene_8_003747,8,"(3, 4)","4,5"
scene_6_002567,7,"(0, 1)","4,6"
scene_15_007005,8,"(0, 1)","4,5"
scene_6_002530,8,"(2, 3)","6,7"
scene_14_006833,7,"(2, 3)","3,4"
scene_6_002950,7,"(1, 2)","4,6"
scene_12_005631,5,"(0, 1)","1,2"
scene_14_006827,8,"(1, 2)","4,5"
scene_2_000986,8,"(4, 5)","1,2"
scene_10_004911,7,"(0, 1)","4,5"
scene_16_007602,7,"(0, 1)","5,6"
scene_5_002487,7,"(5, 6)","6,5"
scene_6_002527,8,"(3, 4)","4,5"
scene_5_002151,7,"(0, 1)","2,3"
scene_14_006503,8,"(6, 7)","2,3"
scene_18_008841,7,"(4, 5)","2,3"
scene_6_002529,7,"(1, 2)","5,6"
scene_11_005070,6,"(1, 2)","3,4"
scene_17_008167,8,"(5, 6)","5,7"
scene_12_005522,7,"(3, 4)","4,6"
scene_12_005705,7,"(4, 5)","4,6"
scene_10_004598,8,"(1, 2)","4,5"
scene_5_002217,6,"(2, 3)","3,4"
scene_17_008328,8,"(4, 5)","4,5"
scene_1_000103,7,"(4, 5)","3,7"
scene_12_005530,8,"(3, 4)","3,4"
scene_5_002224,6,"(1, 2)","5,6"
scene_10_004970,8,"(4, 5)","6,7"
scene_8_003981,5,"(1, 2)","3,4"
scene_8_003874,8,"(5, 6)","4,5"
scene_6_002654,7,"(2, 3)","3,4"
scene_10_004959,7,"(3, 4)","3,4"
scene_13_006100,5,"(2, 3)","3,4"
