scenario,seq_len,ground_truth,answer
02_75,4,0,11
14_68,5,1,95
04_66,5,4,10
03_51,5,0,69
02_77,5,1,14
22_02,4,1,11
06_54,5,1,15
06_45,4,2,14
07_05,4,1,49
22_20,4,0,0
06_22,4,2,0
01_66,5,4,2
01_86,5,0,11
09_45,5,4,3
07_14,4,1,5
07_42,4,0,83
26_97,5,0,16
26_12,4,3,0
01_39,5,2,33
01_167,4,2,4
22_12,4,1,15
02_10,5,3,64
10_13,5,0,8
14_52,4,3,12
13_30,5,1,7
09_12,5,1,20
17_49,4,3,0
26_65,4,1,4
22_26,4,1,0
18_09,5,4,88
01_69,5,2,8
17_142,4,3,87
26_34,4,1,4
09_80,4,3,3
17_109,5,0,77
01_45,5,0,10
04_81,4,1,4
04_07,4,2,0
04_124,4,0,16
02_50,5,1,14
07_85,4,2,76
06_59,5,0,0
26_81,5,2,21
26_77,4,1,9
17_85,4,0,3
01_166,5,0,6
10_34,5,3,0
04_126,4,3,13
07_74,4,1,52
17_35,5,3,14
02_86,5,3,6
17_124,4,1,72
26_103,5,2,4
01_189,5,4,84
18_27,5,0,99
09_46,5,0,0
04_128,4,2,0
01_19,5,3,37
01_130,5,3,86
26_51,4,1,7
10_19,5,3,43
01_94,5,3,0
02_64,5,0,9
01_132,5,2,70
01_03,4,1,5
03_29,4,3,0
03_60,5,3,4
14_59,4,3,8
04_45,4,0,94
05_89,5,1,3
03_33,5,3,11
17_110,4,3,88
14_45,5,1,0
03_41,4,3,64
17_167,4,3,24
05_55,5,1,62
14_28,5,0,10
07_89,4,2,84
10_36,5,4,0
04_11,4,0,68
26_33,5,4,71
01_82,5,3,4
06_28,4,0,78
04_77,5,2,18
09_76,4,1,64
07_34,4,1,21
17_69,4,2,20
07_83,4,0,7
01_104,5,0,22
02_17,4,2,5
13_08,4,2,10
18_11,4,2,47
17_87,4,1,0
02_12,5,0,7
03_16,4,2,46
03_69,5,2,19
14_26,4,0,0
01_188,5,0,0
26_117,4,1,24
17_123,4,3,21
01_31,5,0,9
02_32,5,4,4
04_120,5,3,0
02_76,5,2,0
17_169,5,1,3
14_54,4,2,3
02_63,5,1,6
09_02,5,3,59
02_45,5,2,3
03_18,5,1,0
14_55,4,0,0
05_63,4,1,25
02_49,5,2,7
04_83,4,0,5
06_27,4,3,31
22_40,5,0,67
22_15,5,4,0
05_64,5,0,18
01_127,5,1,20
10_02,5,0,4
01_120,5,2,64
17_131,4,1,20
03_37,5,3,7
01_129,5,2,44
17_126,4,2,14
07_26,4,0,0
17_93,4,3,47
02_16,4,1,0
01_100,5,3,40
03_24,4,2,89
13_10,5,2,27
26_93,5,3,12
17_117,4,3,9
01_30,5,4,2
04_50,4,0,3
05_62,4,2,56
17_42,4,0,63
07_60,4,3,3
14_64,4,3,6
22_41,4,3,16
18_17,5,1,68
07_41,4,1,0
17_127,4,1,72
13_24,5,1,3
07_40,4,2,28
17_132,4,3,75
01_81,4,1,4
26_84,5,2,22
04_80,4,2,56
26_28,4,1,0
01_34,5,0,98
17_83,4,1,28
01_163,5,2,55
04_85,4,1,0
01_170,5,1,6
01_168,5,0,5
17_14,4,2,0
07_16,4,3,0
01_147,5,3,0
02_33,5,3,7
02_93,5,3,0
17_134,4,1,11
17_150,4,3,35
01_07,5,2,20
17_70,4,1,9
