scenario,seq_len,ground_truth,answer
scene_16_007656,8,False,no
scene_3_001163,8,True,no
scene_4_001837,11,True,no
scene_7_003423,10,True,yes
scene_19_009222,9,False,no
scene_14_006823,9,False,no
scene_8_003746,11,False,no
scene_6_002635,8,True,yes
scene_10_004960,10,False,no
scene_19_009083,8,True,yes
scene_19_009404,9,True,no
scene_9_004496,9,True,yes
scene_20_009625,14,False,no
scene_16_007646,9,False,no
scene_3_001195,8,False,no
scene_8_003640,9,False,no
scene_7_003375,11,False,no
scene_16_007682,8,False,no
scene_14_006662,11,True,no
scene_2_000704,13,False,no
scene_7_003334,9,False,yes
scene_6_002522,11,False,no
scene_18_008500,8,False,no
scene_18_008527,8,False,no
scene_17_008226,8,True,yes
scene_1_000152,11,True,no
scene_14_006585,10,False,no
scene_14_006564,10,False,no
scene_16_007997,8,True,no
scene_15_007114,10,True,yes
scene_20_009960,8,False,no
scene_20_009592,9,False,no
scene_10_004638,8,False,no
scene_13_006331,10,True,no
scene_17_008355,8,True,no
scene_1_000157,8,False,no
scene_2_000701,11,True,yes
scene_2_000670,9,True,yes
scene_12_005700,11,False,no
scene_13_006073,11,True,yes
scene_13_006453,8,True,no
scene_1_000045,8,True,no
scene_16_007728,9,True,no
scene_13_006293,9,True,yes
scene_9_004273,16,False,no
scene_1_000178,10,False,no
scene_8_003654,8,True,no
scene_18_008566,9,True,yes
scene_1_000415,9,True,no
scene_14_006521,10,False,no
scene_13_006221,9,True,yes
scene_8_003829,9,True,no
scene_17_008377,9,True,yes
scene_15_007332,10,True,yes
scene_1_000085,10,True,yes
scene_18_008699,8,False,no
scene_2_000661,10,False,no
scene_14_006692,8,True,yes
scene_17_008271,10,False,no
scene_18_008624,8,False,no
scene_16_007898,10,False,no
scene_7_003176,11,False,no
scene_12_005973,9,False,no
scene_1_000049,11,False,no
scene_6_002776,12,False,no
scene_1_000057,9,True,yes
scene_3_001067,9,True,no
scene_19_009478,10,True,yes
scene_4_001714,9,True,no
scene_14_006644,11,False,no
scene_12_005931,9,False,no
scene_7_003260,12,True,no
scene_10_004736,9,False,no
scene_4_001514,11,False,no
scene_6_002530,8,False,no
scene_2_000522,9,False,no
scene_14_006828,8,True,yes
scene_15_007163,11,True,no
scene_13_006116,9,True,yes
scene_2_000696,10,False,no
scene_6_002623,10,False,no
scene_4_001748,12,True,yes
scene_3_001343,8,False,no
scene_3_001482,12,True,no
scene_8_003717,9,True,no
scene_2_000524,11,False,no
scene_13_006451,12,True,no
scene_8_003749,11,False,no
scene_2_000783,9,False,no
scene_14_006909,9,True,no
scene_14_006813,10,True,yes
scene_13_006472,10,False,no
scene_15_007110,9,False,no
scene_6_002682,16,True,no
scene_7_003272,11,True,yes
scene_13_006339,9,False,no
scene_1_000251,11,False,no
scene_18_008930,9,False,no
scene_1_000339,12,False,no
scene_13_006016,10,True,no
scene_10_004781,8,False,no
scene_2_000552,9,False,no
scene_17_008378,9,False,no
scene_19_009219,11,False,no
scene_17_008197,8,True,yes
scene_14_006794,9,False,no
scene_14_006517,11,True,no
scene_17_008328,8,True,no
scene_8_003948,8,False,no
scene_17_008364,8,False,no
scene_9_004441,15,True,no
scene_13_006068,10,True,yes
scene_3_001167,9,True,no
scene_17_008147,9,False,no
scene_5_002496,8,False,no
scene_16_007585,8,True,no
scene_7_003419,11,True,no
scene_17_008202,12,False,no
scene_7_003387,12,True,yes
scene_14_006575,10,False,no
scene_14_006677,11,False,no
scene_14_006892,8,False,no
scene_12_005848,8,True,yes
scene_15_007257,11,False,no
scene_3_001342,9,False,no
scene_12_005741,11,True,yes
scene_17_008053,10,False,no
scene_19_009087,8,True,yes
scene_15_007040,11,True,no
scene_9_004189,9,True,no
scene_11_005366,10,False,no
scene_14_006631,10,False,no
scene_1_000486,12,True,no
scene_10_004522,8,False,no
scene_13_006071,11,False,no
scene_17_008326,10,True,no
scene_1_000015,10,False,no
scene_20_009728,10,True,no
scene_3_001122,10,True,no
scene_20_009878,12,True,no
scene_15_007469,8,True,yes
scene_1_000283,9,False,no
scene_3_001470,8,True,no
scene_12_005520,11,False,no
scene_7_003141,10,True,yes
scene_16_007564,13,True,yes
scene_14_006651,10,False,no
scene_16_007606,11,False,no
scene_3_001293,9,True,yes
scene_11_005456,11,False,no
scene_20_009890,15,False,no
scene_14_006643,8,True,no
scene_20_009508,12,True,no
scene_15_007433,8,False,no
scene_9_004014,10,True,yes
scene_13_006299,8,False,no
scene_14_006719,10,True,no
scene_15_007164,11,True,yes
scene_18_008561,8,True,no
scene_2_000550,10,True,no
scene_8_003628,11,True,no
scene_8_003907,12,False,no
scene_19_009058,8,False,no
scene_1_000154,9,True,no
scene_20_009696,12,False,no
scene_16_007927,10,True,yes
scene_1_000042,10,True,yes
scene_2_000567,14,False,no
scene_18_008538,8,True,no
scene_12_005615,8,True,yes
scene_6_002774,11,True,no
scene_8_003612,9,False,no
scene_15_007349,12,False,no
scene_8_003604,8,False,no
scene_16_007964,13,False,no
scene_10_004551,8,True,yes
scene_13_006176,9,False,no
scene_13_006090,9,True,no
scene_15_007090,9,True,yes
scene_10_004658,8,True,no
scene_1_000222,9,True,yes
scene_18_008648,9,False,no
scene_1_000281,9,False,no
scene_16_007663,8,True,no
scene_15_007204,11,False,no
scene_5_002327,9,False,no
scene_6_002552,8,False,no
scene_3_001486,8,False,no
scene_14_006911,8,False,no
scene_14_006530,10,False,no
scene_3_001179,11,False,no
scene_18_008748,10,False,no
scene_18_008766,8,False,no
scene_16_007526,12,False,no
scene_10_004721,8,False,no
scene_8_003862,11,False,no
scene_8_003835,12,True,no
scene_13_006456,9,False,no
scene_17_008275,12,True,yes
scene_3_001117,10,True,yes
scene_20_009733,10,True,yes
scene_4_001625,11,True,yes
scene_1_000473,9,False,no
scene_20_009581,14,True,no
scene_7_003480,13,True,no
scene_5_002190,9,True,no
scene_20_009901,13,False,no
scene_17_008176,10,False,no
scene_2_000519,11,False,no
scene_16_007944,8,False,no
scene_18_008767,9,True,yes
scene_15_007132,8,True,no
scene_4_001751,11,False,no
scene_11_005042,8,False,no
scene_10_004681,8,False,yes
scene_6_002790,8,False,no
scene_14_006756,10,False,no
scene_15_007089,10,False,no
scene_10_004552,8,False,no
scene_2_000571,14,False,no
scene_14_006882,8,True,yes
scene_1_000183,11,True,yes
scene_8_003764,11,True,yes
scene_8_003923,9,False,no
scene_8_003917,8,False,no
scene_15_007347,10,True,no
scene_6_002870,11,False,no
scene_16_007717,11,True,no
scene_17_008172,9,False,no
scene_14_006937,8,False,no
scene_10_004598,8,True,yes
scene_13_006064,10,False,no
scene_20_009665,13,True,yes
scene_15_007440,12,False,no
scene_6_002745,8,False,no
scene_12_005514,9,False,no
scene_20_009557,11,False,no
scene_10_004667,8,True,no
scene_20_009529,9,True,no
scene_8_003644,12,True,no
scene_17_008401,9,True,yes
scene_2_000965,9,True,yes
scene_11_005246,8,True,yes
scene_4_001803,10,False,no
scene_10_004666,8,True,yes
scene_7_003072,11,True,yes
scene_1_000202,9,False,no
scene_18_008809,8,False,no
scene_15_007221,9,True,yes
scene_3_001249,10,True,yes
scene_18_008782,8,True,no
scene_4_001905,13,False,no
scene_8_003788,12,False,no
scene_16_007512,9,True,no
scene_10_004678,10,True,yes
scene_4_001956,11,False,no
scene_3_001397,10,False,no
scene_17_008265,10,True,no
scene_14_006793,9,True,no
scene_16_007589,12,True,yes
scene_19_009275,8,False,no
scene_3_001018,11,False,no
scene_19_009096,9,True,yes
scene_18_008885,9,True,no
scene_2_000882,8,True,no
scene_12_005618,8,False,no
scene_3_001438,10,True,yes
scene_14_006730,10,True,no
scene_15_007458,8,False,no
scene_3_001402,9,True,no
scene_7_003001,10,False,no
scene_10_004744,8,False,no
scene_6_002553,14,True,yes
scene_17_008220,8,True,no
scene_13_006164,10,True,yes
scene_13_006058,9,False,no
scene_19_009049,9,True,yes
scene_12_005934,8,True,no
