scenario,seq_len,ground_truth,answer
scene_10258,6,"(1, 2)","6,7"
scene_14587,6,"(2, 3)","2,3"
scene_10604,4,"(0, 1)","3,4"
scene_12553,8,"(0, 1)","3,4"
scene_10218,8,"(6, 7)","4,5"
scene_12972,7,"(4, 5)","4,5"
scene_12197,4,"(1, 2)","3,4"
scene_11292,4,"(2, 3)","5,6"
scene_13220,5,"(1, 2)","3,4"
scene_13153,7,"(0, 1)","4,5"
scene_10791,5,"(3, 4)","2,3"
scene_13671,5,"(2, 3)","4,5"
scene_11556,5,"(0, 1)","1,2"
scene_10469,8,"(1, 2)","2,3"
scene_10879,7,"(5, 6)","2,3"
scene_11607,4,"(1, 2)","2,3"
scene_13219,7,"(3, 4)","2,3"
scene_14374,8,"(5, 6)","3,4"
scene_10517,8,"(6, 7)","2,3"
scene_13252,5,"(0, 1)","3,4"
scene_14768,4,"(1, 2)","5,6"
scene_14876,7,"(4, 5)","2,3"
scene_12937,6,"(1, 2)","3,4"
scene_10604,4,"(2, 3)","2,3"
scene_14121,7,"(3, 4)","3,4"
scene_12426,6,"(3, 4)","4,5"
scene_10451,4,"(2, 3)","3,4"
scene_11981,5,"(0, 1)","4,5"
scene_14184,7,"(3, 4)","4,5"
scene_13339,6,"(2, 3)","3,4"
scene_12771,5,"(2, 3)","2,3"
scene_12207,4,"(1, 2)","1,2"
scene_10706,7,"(2, 3)","2,3"
scene_14135,8,"(4, 5)","3,4"
scene_13439,8,"(6, 7)","2,3"
scene_12569,8,"(1, 2)","2,3"
