scenario,seq_len,ground_truth,answer
scene_5_002227,5,True,yes
scene_19_009153,6,True,no
scene_9_004281,4,True,yes
scene_9_004202,4,True,no
scene_12_005502,8,False,no
scene_6_002981,7,True,no
scene_3_001109,6,True,no
scene_11_005403,4,True,yes
scene_5_002157,7,True,yes
scene_10_004671,7,False,no
scene_12_005830,8,False,no
scene_1_000428,8,False,yes
scene_11_005395,5,False,no
scene_11_005403,4,True,no
scene_8_003508,7,True,yes
scene_5_002137,6,True,no
scene_9_004296,6,True,yes
scene_9_004202,4,False,yes
scene_7_003411,5,False,no
scene_11_005497,6,False,no
scene_9_004417,4,True,no
scene_18_008906,7,False,no
scene_14_006792,8,False,yes
scene_15_007005,8,False,yes
scene_11_005484,5,False,no
scene_5_002145,5,True,yes
scene_9_004230,4,True,no
scene_5_002088,6,False,yes
scene_11_005298,4,False,yes
scene_13_006304,8,True,no
scene_18_008561,8,True,yes
scene_2_000847,4,False,no
scene_6_002567,7,False,yes
scene_8_003975,7,False,no
scene_6_002573,6,True,yes
scene_15_007393,8,False,no
scene_9_004202,4,True,no
scene_9_004122,4,True,yes
scene_9_004230,4,True,yes
scene_3_001066,6,False,no
scene_18_008504,8,True,no
scene_5_002243,6,False,no
scene_19_009038,7,False,no
scene_9_004391,6,False,no
scene_14_006981,7,False,no
scene_12_005881,7,True,yes
scene_12_005614,8,True,no
scene_8_003538,5,True,no
scene_3_001310,6,True,yes
scene_14_006574,8,False,no
scene_17_008496,8,False,no
scene_8_003552,7,True,no
scene_3_001160,7,False,no
scene_11_005074,5,True,no
scene_19_009346,6,False,no
scene_11_005362,6,False,no
scene_15_007030,7,True,yes
scene_8_003963,5,True,yes
scene_11_005403,4,True,no
scene_7_003198,5,True,yes
