scenario,seq_len,ground_truth,answer,lpips
scene_22_20,4,False,yes,0.719707
scene_02_46,5,True,no,0.136402
scene_09_26,5,True,yes,0.359903
scene_26_83,5,False,no,0.572689
scene_09_63,5,False,no,0.671388
scene_22_14,5,False,no,0.629761
scene_01_28,5,True,no,0.624122
scene_17_169,5,True,yes,0.567379
scene_02_50,5,True,no,0.574277
scene_17_126,4,False,yes,0.501345
scene_17_152,5,False,yes,0.727691
scene_26_81,5,False,yes,0.332528
scene_09_20,5,True,no,0.539515
scene_01_127,5,False,yes,0.365039
scene_26_107,4,False,yes,0.643976
scene_22_40,5,True,no,0.665385
scene_09_39,5,False,no,0.240640
scene_17_150,4,True,yes,0.435794
scene_05_52,4,True,no,0.733711
scene_17_74,4,True,yes,0.623145
scene_22_41,4,True,no,0.562735
scene_18_09,5,False,no,0.548427
scene_02_55,5,False,yes,0.691957
scene_01_34,5,False,no,0.294011
scene_26_84,5,False,no,0.548927
scene_26_33,5,False,yes,0.205587
scene_18_36,5,True,no,0.600891
scene_18_27,5,False,no,0.496415
scene_05_33,4,False,yes,0.702364
scene_17_04,4,False,yes,0.622546
scene_09_03,5,False,yes,0.548256
scene_05_32,4,False,yes,0.595853
scene_18_65,5,True,yes,0.774800
scene_02_47,5,False,yes,0.581317
scene_04_69,4,False,no,0.532054
scene_01_86,5,False,yes,0.426627
scene_03_29,4,False,yes,0.074055
scene_17_14,4,True,no,0.620524
scene_17_83,4,False,yes,0.581451
scene_17_68,4,True,no,0.624806
scene_13_12,4,True,no,0.260819
scene_13_24,5,True,no,0.803041
scene_09_80,4,False,yes,0.260223
scene_06_31,5,True,yes,0.389693
scene_02_65,5,True,no,0.251024
scene_01_147,5,True,yes,0.323423
scene_01_55,5,False,no,0.389955
scene_14_03,4,False,no,0.675539
scene_14_45,5,False,no,0.566784
scene_01_189,5,True,no,0.717919
scene_04_02,4,False,yes,0.331264
scene_26_63,4,True,yes,0.446577
scene_13_08,4,True,yes,0.457396
scene_17_127,4,False,yes,0.695025
scene_17_115,4,True,yes,0.584738
scene_04_60,4,True,yes,0.687994
scene_03_24,4,True,no,0.642356
scene_06_10,5,True,yes,0.822436
scene_14_74,5,False,yes,0.123004
scene_02_96,5,True,no,0.635261
scene_18_12,4,True,yes,0.414845
scene_03_67,4,False,no,0.635507
scene_14_16,5,True,no,0.686933
scene_02_13,5,False,yes,0.311003
scene_06_28,4,True,yes,0.635329
scene_01_07,5,False,yes,0.748440
scene_10_13,5,True,no,0.733461
scene_07_36,4,True,yes,0.829352
scene_26_70,5,False,no,0.541592
scene_01_95,4,False,no,0.659644
scene_09_73,4,False,no,0.612110
scene_17_70,4,False,yes,0.679952
scene_05_55,5,True,yes,0.449107
scene_02_77,5,False,yes,0.701650
scene_04_124,4,False,yes,0.816642
scene_07_85,4,True,no,0.654680
scene_02_49,5,True,no,0.724898
scene_06_26,5,True,no,0.589955
scene_18_66,5,True,yes,0.548420
scene_26_27,5,False,yes,0.313967
scene_03_02,4,False,no,0.662409
scene_02_93,5,False,yes,0.664262
scene_09_46,5,True,yes,0.792271
scene_04_85,4,False,yes,0.270889
