scenario,seq_len,ground_truth,answer
scene_14124,7,False,no
scene_10696,7,True,yes
scene_14922,8,True,yes
scene_14012,8,True,yes
scene_14779,7,False,yes
scene_13854,8,False,yes
scene_14696,7,False,yes
scene_11199,8,True,yes
scene_10716,6,False,yes
scene_12474,7,True,yes
scene_11448,8,True,yes
scene_13886,8,True,yes
scene_14268,7,True,yes
scene_10493,7,False,yes
scene_13918,6,False,yes
scene_10362,8,True,yes
scene_12332,8,False,no
scene_11032,6,False,no
scene_12897,8,False,no
scene_12742,7,True,yes
scene_13909,6,True,yes
scene_11971,7,False,no
scene_11590,8,False,yes
scene_12129,8,True,yes
scene_10165,8,True,yes
scene_12672,8,False,yes
scene_14293,8,False,no
scene_11020,7,False,no
scene_13493,8,True,yes
scene_13462,8,True,yes
scene_12228,8,False,yes
scene_10964,7,True,yes
scene_11140,7,True,yes
scene_14516,7,False,yes
scene_12025,7,True,yes
scene_14735,8,True,yes
scene_10015,8,True,yes
scene_11410,7,True,yes
scene_14626,8,True,yes
scene_13868,8,False,yes
scene_13307,8,False,yes
scene_11525,7,True,yes
scene_13673,7,False,no
scene_14389,7,True,yes
scene_12832,7,True,yes
scene_10770,8,False,no
scene_12886,7,True,yes
scene_10596,8,True,no
scene_14118,8,True,yes
scene_13834,7,True,yes
scene_14713,7,True,yes
scene_14373,8,False,no
scene_12294,8,False,yes
scene_10831,7,True,yes
scene_12560,8,True,yes
scene_10594,8,False,no
scene_10701,7,False,yes
scene_14856,7,False,no
scene_14556,7,False,no
scene_12373,8,True,yes
scene_14305,8,True,yes
scene_10155,8,True,yes
scene_14004,8,True,yes
scene_10018,8,False,no
scene_14886,8,False,no
scene_12582,8,True,yes
scene_12994,7,False,no
scene_13671,5,False,no
scene_11122,7,False,no
scene_14068,7,False,yes
scene_13770,8,True,yes
scene_12870,8,True,yes
scene_14943,7,True,yes
scene_14868,8,False,yes
scene_14200,8,False,no
scene_14133,7,True,yes
scene_13915,7,False,no
scene_14388,7,True,yes
scene_13881,8,True,yes
scene_11689,8,False,no
scene_13872,8,True,yes
scene_14560,8,False,yes
scene_11597,8,False,no
scene_13643,7,False,no
scene_11135,6,True,yes
scene_11891,8,False,yes
scene_13015,7,False,yes
scene_14580,7,True,yes
scene_11251,8,True,yes
scene_11492,8,False,yes
scene_14918,8,False,no
scene_10724,8,False,yes
scene_10238,8,False,no
scene_14358,8,True,yes
scene_13330,8,False,yes
scene_12701,8,False,no
scene_13902,7,False,no
scene_12339,8,False,no
scene_11553,8,True,yes
scene_10296,8,False,yes
scene_10544,7,True,yes
scene_12943,8,True,yes
scene_13555,8,False,no
scene_14782,8,False,no
scene_11835,7,True,yes
scene_12333,8,True,yes
scene_12625,8,True,yes
scene_13647,8,False,no
scene_10251,7,False,no
scene_14652,8,True,yes
scene_11662,8,True,yes
scene_13286,8,False,no
scene_11066,6,True,yes
scene_14552,7,False,no
scene_10758,7,False,yes
scene_13966,5,False,yes
scene_12106,8,True,yes
scene_11912,8,False,no
scene_11866,8,False,no
scene_14091,7,True,yes
scene_11679,6,False,no
scene_13645,8,True,yes
scene_14641,8,True,yes
scene_13642,6,True,yes
scene_14928,8,False,yes
scene_13988,6,False,no
scene_13584,8,True,no
scene_12646,7,False,yes
scene_10673,6,False,no
scene_11677,7,True,yes
scene_10794,6,False,no
scene_10590,8,True,yes
scene_11002,8,True,yes
scene_10640,7,True,yes
scene_14797,7,True,yes
scene_12019,7,False,yes
scene_14016,7,False,yes
scene_10957,7,False,yes
scene_14182,8,False,yes
scene_14170,7,True,yes
scene_13204,8,False,no
scene_10961,6,True,yes
scene_14081,8,True,yes
scene_10588,8,True,yes
scene_11650,7,False,yes
scene_11856,8,False,yes
scene_10832,8,True,yes
scene_11967,7,True,yes
scene_11476,8,False,no
scene_14734,8,True,yes
scene_13927,8,True,yes
scene_10839,8,True,yes
scene_14884,7,True,yes
scene_11931,7,False,no
scene_13839,7,True,no
scene_14879,7,True,yes
scene_12785,8,True,yes
scene_14864,7,False,yes
scene_11106,8,False,yes
scene_14207,7,True,yes
scene_10394,7,False,no
scene_11012,8,True,no
scene_10810,8,True,yes
scene_12023,8,False,yes
scene_12513,8,True,no
scene_11138,8,True,yes
scene_13137,8,True,yes
scene_14021,8,False,no
scene_11972,7,False,yes
scene_12817,7,False,yes
scene_10180,8,False,no
scene_12508,7,True,yes
scene_11026,7,False,yes
scene_10854,8,False,yes
scene_10202,8,False,yes
scene_13177,8,True,yes
scene_11224,8,True,yes
scene_11609,7,True,yes
scene_10256,7,False,yes
scene_13390,8,True,no
scene_12396,6,False,yes
scene_11162,8,True,yes
scene_10693,7,True,yes
scene_14823,8,True,yes
scene_12376,7,True,yes
scene_11103,7,False,no
scene_12677,8,False,yes
scene_14213,7,False,yes
scene_11040,8,False,no
scene_10163,8,False,no
scene_14405,7,False,no
scene_14595,8,False,no
scene_11996,8,False,yes
scene_10000,8,False,no
scene_14469,8,True,no
scene_11291,7,False,no
scene_13985,8,True,yes
scene_14117,7,True,yes
scene_11284,7,True,yes
scene_10875,8,True,yes
scene_10559,8,True,yes
scene_12707,7,True,yes
scene_10294,8,True,yes
scene_12516,8,True,yes
scene_11174,7,False,no
scene_13936,7,False,no
scene_12729,8,False,yes
scene_12340,7,False,no
scene_10022,5,True,yes
scene_13931,8,True,yes
scene_10146,8,False,yes
scene_12947,7,False,yes
scene_11018,8,False,no
scene_10117,7,False,no
scene_13443,7,False,no
scene_12767,7,False,no
scene_14591,6,False,no
scene_14149,8,False,yes
scene_14249,6,True,yes
scene_13962,7,True,yes
scene_10717,8,True,yes
scene_14558,8,False,no
scene_14866,8,False,no
scene_11874,8,True,yes
scene_10071,8,False,yes
scene_13454,8,True,yes
scene_10061,8,False,yes
scene_12223,8,False,no
scene_13500,8,True,yes
scene_12375,7,False,no
scene_11745,7,True,yes
scene_10042,7,False,no
scene_14150,7,False,yes
scene_14528,7,False,no
scene_12051,8,False,yes
scene_10331,7,True,yes
scene_14981,7,True,yes
scene_10377,7,False,no
scene_14275,7,False,yes
scene_13257,8,True,yes
scene_14749,7,True,yes
scene_10915,8,True,yes
scene_12619,8,True,yes
scene_10436,7,False,no
scene_10730,6,True,yes
scene_13768,8,False,yes
scene_14465,7,False,yes
scene_11145,8,False,yes
scene_12094,8,True,yes
scene_14942,8,True,yes
scene_13122,8,True,yes
scene_14532,7,True,no
scene_11089,8,True,yes
scene_10088,8,False,no
scene_14665,8,True,yes
scene_14888,8,True,yes
scene_10221,8,False,no
scene_11248,7,True,yes
scene_11201,7,True,yes
scene_14789,8,True,yes
scene_14187,8,True,yes
scene_11058,8,True,yes
scene_10133,8,True,yes
scene_10032,7,False,no
scene_11480,7,True,no
scene_10225,7,True,yes
scene_10858,8,False,no
scene_11076,8,True,no
scene_10870,8,False,yes
scene_14309,6,False,no
scene_11156,7,True,no
scene_14271,8,True,yes
scene_11803,7,True,yes
scene_12675,7,False,yes
scene_11905,7,True,yes
scene_10297,7,False,no
scene_13978,8,True,yes
scene_10631,8,True,no
scene_10371,8,False,yes
scene_11340,8,True,yes
scene_10030,8,False,no
scene_12769,7,True,yes
scene_14893,8,True,yes
scene_12731,7,False,no
scene_13763,8,True,yes
scene_13675,7,True,yes
scene_13214,7,True,yes
scene_11669,7,True,yes
scene_14606,8,False,no
scene_14814,7,True,yes
scene_13794,8,True,yes
scene_13607,8,False,yes
scene_12252,8,False,no
scene_14258,8,True,yes
scene_11637,7,False,no
scene_10047,8,False,yes
scene_10676,7,False,no
scene_13446,8,True,yes
scene_11783,8,False,yes
scene_14082,6,False,yes
scene_11462,8,False,yes
scene_11616,7,True,no
scene_11315,7,False,yes
scene_10432,8,False,no
scene_13699,8,False,no
scene_14468,7,True,yes
scene_13351,7,False,no
scene_10901,7,False,no
scene_13219,7,True,yes
scene_10723,7,False,no
scene_10337,8,True,no
scene_12185,8,False,yes
scene_10996,8,True,yes
scene_11279,8,True,yes
scene_13268,8,False,no
scene_13043,8,True,yes
scene_13861,7,False,no
scene_11182,7,False,yes
scene_11330,8,True,no
scene_13912,7,True,yes
scene_13452,7,False,yes
scene_11275,7,False,no
scene_13836,8,True,yes
scene_14066,6,False,no
scene_10876,7,True,yes
scene_13484,8,True,yes
scene_10293,8,True,yes
scene_10056,8,False,yes
scene_10474,8,False,yes
scene_13053,7,True,yes
scene_10918,8,True,yes
scene_14815,8,True,yes
scene_11730,7,False,yes
scene_13934,8,False,no
scene_14160,7,True,yes
scene_10348,7,True,yes
