scenario,seq_len,ground_truth,answer
scene_14804,6,False,no
scene_11447,6,True,no
scene_13671,5,True,yes
scene_12331,5,False,no
scene_10725,7,False,no
scene_10815,8,False,no
scene_12830,8,True,no
scene_12469,6,True,no
scene_10828,7,True,no
scene_11936,7,False,no
scene_12747,8,False,no
scene_12675,7,False,no
scene_10069,7,False,no
scene_12293,8,True,no
scene_13950,7,False,no
scene_14420,6,False,no
scene_13625,6,True,no
scene_12002,5,False,no
scene_11208,5,True,no
scene_14163,6,True,no
scene_11226,6,True,yes
scene_13252,5,True,no
scene_13387,6,False,no
scene_13589,7,False,no
scene_13421,6,False,no
scene_11556,5,False,no
scene_12725,5,False,no
scene_14667,6,True,no
scene_10586,6,True,no
scene_14247,8,False,no
scene_14660,5,True,no
scene_11768,6,False,no
scene_10022,5,True,no
scene_13685,8,False,no
scene_10451,4,False,no
scene_11009,5,False,no
scene_12233,6,False,no
scene_11618,5,True,no
scene_13285,8,False,no
scene_11771,5,True,no
scene_14461,5,True,no
scene_11607,4,False,no
scene_10367,6,False,no
scene_11367,8,True,no
scene_14034,8,True,no
scene_14199,6,True,no
scene_12197,4,True,no
scene_11370,7,False,no
scene_10432,8,True,no
scene_12154,6,False,no
scene_10854,8,False,no
scene_12950,6,True,no
scene_14213,7,False,no
scene_11033,5,True,no
scene_12819,7,True,no
scene_12439,6,False,no
scene_12580,5,True,no
scene_11486,5,True,no
scene_10199,5,True,no
scene_11789,4,True,no
scene_14798,7,False,no
scene_12048,8,False,no
scene_10489,7,True,no
scene_13874,5,True,no
scene_12105,6,False,no
scene_13940,7,True,no
scene_10385,5,True,no
scene_10004,8,False,no
scene_12904,7,True,no
scene_14010,5,False,no
scene_14768,4,True,no
scene_12691,5,True,no
scene_14053,8,False,no
scene_11154,7,False,no
scene_11847,7,False,no
scene_10976,5,True,no
scene_13535,6,False,no
scene_12527,6,False,no
scene_10785,7,True,no
scene_13860,5,True,no
scene_14801,8,True,no
scene_12718,4,True,no
scene_13766,8,False,no
scene_12446,6,True,no
scene_12482,8,False,no
scene_11183,8,False,no
scene_10722,7,True,no
scene_10645,6,True,no
scene_10021,8,False,no
scene_11292,4,True,no
scene_12409,7,False,no
scene_10592,7,False,no
scene_13944,5,False,no
scene_14596,5,True,no
scene_14553,8,True,no
scene_10851,8,False,no
scene_14683,8,False,no
scene_12024,6,False,no
scene_13060,7,True,no
scene_11315,7,True,no
scene_12767,7,False,no
scene_10602,5,True,no
scene_14099,5,False,no
scene_10260,7,False,no
scene_13987,8,False,no
scene_13614,4,True,no
scene_12180,7,True,no
scene_12910,6,True,no
scene_13748,6,False,no
scene_13815,8,True,no
scene_12207,4,False,no
scene_11291,7,False,no
scene_14005,7,False,no
scene_12178,6,False,no
scene_11953,7,True,no
scene_14614,7,False,no
scene_10791,5,True,no
scene_10437,6,True,no
scene_10129,8,True,yes
scene_13133,7,False,no
scene_10190,5,True,no
scene_13220,5,True,no
scene_13345,6,True,no
scene_12042,7,False,no
scene_11534,8,True,no
scene_12217,7,True,no
scene_10821,5,True,no
scene_11850,8,False,no
scene_10660,5,False,no
scene_14487,8,False,yes
scene_10643,8,True,no
scene_11523,6,False,no
scene_10868,6,True,no
scene_13808,7,False,no
scene_12365,8,True,no
scene_12456,6,True,no
scene_13346,4,False,no
scene_10587,8,False,no
scene_12026,8,True,no
scene_11234,5,False,no
scene_14950,5,False,yes
scene_10604,4,True,no
scene_12141,6,True,no
scene_10673,6,True,no
scene_13430,8,True,no
scene_14822,4,False,no
scene_12027,6,True,no
scene_13429,5,True,no
scene_12714,6,False,no
scene_14104,6,False,no
scene_13400,5,False,no
scene_13299,7,True,no
scene_10869,8,True,no
scene_14617,7,True,no
scene_12954,7,True,no
scene_13054,7,False,no
scene_10533,6,True,no
scene_13941,5,True,no
scene_12252,8,True,no
scene_10633,6,True,no
scene_12562,7,False,no
scene_11238,8,False,no
scene_14818,8,False,no
scene_13250,6,True,no
scene_12771,5,True,no
scene_11213,8,True,no
scene_10336,7,True,no
scene_11861,8,True,no
scene_10468,5,False,no
scene_12593,8,True,no
scene_13966,5,False,no
scene_13130,7,False,no
