scenario,seq_len,ground_truth,answer
scene_596,7,False,no
scene_185,6,True,no
scene_327,4,True,yes
scene_392,7,False,no
scene_518,5,False,no
scene_266,5,False,no
scene_572,6,True,no
scene_110,6,True,no
scene_245,7,True,no
scene_297,8,False,no
scene_541,7,False,no
scene_379,6,False,no
scene_65,6,False,no
scene_586,6,True,no
scene_294,6,False,no
scene_679,6,False,no
scene_538,4,True,no
scene_87,6,False,no
scene_501,8,True,no
scene_672,8,True,no
scene_220,6,True,no
scene_628,5,True,no
scene_148,4,False,yes
scene_166,7,False,yes
scene_397,5,False,no
scene_543,8,False,no
scene_560,7,False,no
scene_381,6,False,no
scene_198,5,True,no
scene_258,4,False,no
scene_390,5,False,no
scene_640,7,False,no
scene_196,5,False,yes
scene_695,4,False,no
scene_396,8,True,no
scene_399,5,False,yes
scene_136,5,False,yes
scene_488,8,False,no
scene_262,8,False,no
scene_577,7,True,no
scene_292,4,False,no
scene_45,6,True,no
scene_395,7,True,no
scene_217,4,True,no
scene_641,5,False,no
scene_677,6,False,no
scene_304,4,True,no
scene_649,4,True,no
scene_143,8,True,yes
scene_384,7,False,no
scene_683,4,True,no
scene_403,8,False,no
scene_103,5,False,no
scene_171,7,True,no
scene_207,7,False,no
scene_53,7,True,no
scene_57,8,True,no
scene_59,8,False,no
scene_660,7,True,no
scene_75,4,True,no
scene_627,8,True,no
scene_12,5,True,no
scene_544,4,False,no
scene_490,5,True,no
scene_27,8,True,no
scene_61,5,False,no
scene_287,4,True,no
scene_646,7,False,no
scene_332,5,True,no
scene_376,7,False,no
scene_118,5,True,no
scene_189,4,True,no
scene_278,6,False,no
scene_145,8,False,no
scene_223,6,False,no
scene_301,5,False,no
scene_328,8,True,no
scene_73,6,True,no
scene_429,5,False,no
scene_669,7,False,yes
scene_438,8,True,no
scene_63,4,True,no
scene_600,7,True,no
scene_453,5,False,no
scene_267,7,True,no
scene_477,6,False,no
scene_674,8,False,no
scene_363,6,True,no
scene_616,6,False,no
scene_140,4,False,no
scene_482,7,True,no
scene_293,6,False,no
scene_331,8,False,no
scene_507,5,False,no
scene_264,8,False,yes
scene_291,4,True,no
scene_300,4,True,no
scene_180,4,False,no
scene_314,8,False,no
scene_69,4,False,no
