scenario,seq_len,ground_truth,answer,lpips
scene_02_75,4,"(2, 3)","10,00",0.801607
scene_14_68,5,"(0, 1)","95,1",0.162579
scene_04_66,5,"(0, 1)","43,80",0.377478
scene_03_51,5,"(2, 3)","64,65",0.467936
scene_02_77,5,"(1, 2)","47,20",0.701650
scene_22_02,4,"(0, 1)","10,66",0.586959
scene_06_54,5,"(1, 2)","36,04",0.595030
scene_06_45,4,"(2, 3)","81,15",0.487986
scene_07_05,4,"(0, 1)","14,49",0.555909
scene_22_20,4,"(2, 3)","02,22",0.719707
scene_06_22,4,"(2, 3)","11,00",0.818031
scene_01_66,5,"(0, 1)","65,51",0.668880
scene_01_86,5,"(3, 4)","30,33",0.426627
scene_09_45,5,"(0, 1)","40,51",0.641086
scene_07_14,4,"(0, 1)","02,21",0.673949
scene_07_42,4,"(0, 1)","67,00",0.638244
scene_26_97,5,"(1, 2)","00,30",0.573974
scene_26_12,4,"(0, 1)","88,88",0.125153
scene_01_39,5,"(0, 1)","76,93",0.353989
scene_01_167,4,"(2, 3)","77,5",0.624681
scene_22_12,4,"(0, 1)","54,0",0.445701
scene_02_10,5,"(3, 4)","16,64",0.471184
scene_10_13,5,"(1, 2)","76,00",0.733461
scene_14_52,4,"(1, 2)","10,00",0.707845
scene_13_30,5,"(2, 3)","66,3",0.651130
scene_09_12,5,"(0, 1)","35,2",0.719698
scene_17_49,4,"(0, 1)","10,00",0.309409
scene_26_65,4,"(2, 3)","25,00",0.282481
scene_22_26,4,"(1, 2)","99,5",0.751304
scene_18_09,5,"(2, 3)","87,37",0.729609
scene_01_69,5,"(2, 3)","36,73",0.707758
scene_17_142,4,"(0, 1)","30,00",0.541797
scene_26_34,4,"(0, 1)","79,5",0.097100
scene_09_80,4,"(1, 2)","37,4",0.819570
scene_17_109,5,"(0, 1)","49,0",0.092098
scene_01_45,5,"(0, 1)","89,98",0.642991
scene_04_81,4,"(1, 2)","70,64",0.600446
scene_04_07,4,"(0, 1)","04,62",0.620610
scene_04_124,4,"(1, 2)","60,00",0.647393
scene_02_50,5,"(2, 3)","06,86",0.748838
scene_07_85,4,"(2, 3)","19,67",0.654680
scene_06_59,5,"(2, 3)","89,96",0.811010
scene_26_81,5,"(0, 1)","00,62",0.332528
scene_26_77,4,"(2, 3)","17,22",0.639899
scene_17_85,4,"(1, 2)","50,00",0.589924
scene_01_166,5,"(0, 1)","77,00",0.596046
scene_10_34,5,"(3, 4)","46,89",0.223169
scene_04_126,4,"(0, 1)","52,0",0.209295
scene_07_74,4,"(2, 3)","49,11",0.724931
scene_17_35,5,"(2, 3)","94,0",0.475869
scene_02_86,5,"(2, 3)","00,03",0.678717
scene_17_124,4,"(2, 3)","62,94",0.448091
