scenario,seq_len,ground_truth,answer
scene_8,8,"(5, 6)","3,18793806215676993641912053200218"
scene_190,5,"(0, 1)","1,21331362202112131127671312030821"
scene_268,5,"(0, 1)","1,31444715124434211314629081826718"
scene_504,4,"(2, 3)","1,3128586774640613030338317119479198"
scene_39,8,"(2, 3)","4,2115017910221973210006294905987"
scene_381,6,"(1, 2)","1,2117114944345714022233007391249"
scene_262,8,"(1, 2)","1,2"
scene_607,5,"(1, 2)","1,214313164719162965613261119507"
scene_594,5,"(0, 1)","1,23367297310663089698996754138"
scene_138,5,"(0, 1)","1,21274834130473947124813721347"
scene_518,5,"(3, 4)","1,3227848122110351545084803034"
scene_2,8,"(0, 1)","1,2316161480784120271611381866"
scene_598,4,"(0, 1)","1,31171611221343415471627283529"
scene_115,4,"(0, 1)","1,2000132021084914031105481331212116"
scene_308,8,"(1, 2)","1,162125281953482312061388032710008"
scene_620,5,"(1, 2)","1,3598542391638557857048457616968"
scene_507,5,"(0, 1)","1,215614450267053832831202211176300"
scene_209,7,"(4, 5)","1,131073001000135881145428813141194"
scene_101,6,"(1, 2)","1,234512568709629338075293455678"
scene_584,6,"(4, 5)","1,2999120213774724993314233022"
scene_421,7,"(3, 4)","1,22172376957916279341012003803128"
scene_176,6,"(1, 2)","8,11212389134712411913230261547"
scene_5,5,"(3, 4)","1,490687611071712621706130586667"
scene_247,4,"(2, 3)","1,310032312015165237621155147313"
scene_86,6,"(2, 3)","3,454394313421121514035587112224"
scene_395,7,"(0, 1)","1,228828237629767865198706919955"
scene_601,4,"(0, 1)","1,213528141764203619261826364568"
scene_627,8,"(5, 6)","1,218942809299073456725226505167"
scene_391,8,"(3, 4)","1,30181576161246421756724064661078"
scene_559,5,"(2, 3)","3,51282160271465933273993319728"
scene_150,8,"(2, 3)","1,26831074731311111312335544315630"
scene_657,5,"(1, 2)","1,21628045959130503521830261368"
scene_63,4,"(0, 1)","3,419030202891124131234354883117"
scene_325,8,"(6, 7)","3,43517261209123149870027421023"
scene_637,8,"(2, 3)",120220802133925332310124114672105148989
scene_191,6,"(0, 1)","1,2483701105217484110963161218"
scene_14,4,"(0, 1)","1,2000110419112000140140009000213002"
scene_293,6,"(3, 4)","3,41509016367053142984116971344"
