scenario,seq_len,ground_truth,answer,lpips
scene_14124,7,"(5, 6)","1,2",0.068232
scene_10696,7,"(0, 1)","3,4",0.229447
scene_14922,8,"(0, 1)","2,3",0.163542
scene_14012,8,"(5, 6)","2,3",0.111775
scene_14779,7,"(2, 3)","2,3",0.073117
scene_13854,8,"(1, 2)","2,3",0.319949
scene_14696,7,"(1, 2)","1,2",0.076829
scene_11199,8,"(1, 2)","1,2",0.069885
scene_10716,6,"(0, 1)","1,2",0.115730
scene_12474,7,"(5, 6)","1,2",0.132346
scene_11448,8,"(5, 6)","2,3",0.081286
scene_13886,8,"(4, 5)","2,3",0.144652
scene_14268,7,"(0, 1)","2,3",0.030309
scene_10493,7,"(4, 5)","3,4",0.261895
scene_13918,6,"(3, 4)","2,3",0.179476
scene_10362,8,"(0, 1)","2,3",0.044303
scene_12332,8,"(0, 1)","2,3",0.080803
scene_11032,6,"(0, 1)","1,2",0.050812
scene_12897,8,"(1, 2)","2,3",0.135262
scene_12742,7,"(1, 2)","2,3",0.110801
scene_13909,6,"(4, 5)","2,3",0.106237
scene_11971,7,"(4, 5)","2,3",0.168380
scene_11590,8,"(0, 1)","2,3",0.107337
scene_12129,8,"(4, 5)","1,2",0.168779
scene_10165,8,"(1, 2)","2,3",0.288638
scene_12672,8,"(5, 6)","2,3",0.101791
scene_14293,8,"(5, 6)","2,3",0.141601
scene_11020,7,"(5, 6)","2,3",0.105038
scene_13493,8,"(4, 5)","2,3",0.095486
scene_13462,8,"(3, 4)","2,3",0.127042
scene_12228,8,"(1, 2)","1,2",0.140108
scene_10964,7,"(3, 4)","2,3",0.281788
scene_11140,7,"(4, 5)","2,3",0.082638
scene_14516,7,"(2, 3)","2,3",0.308933
scene_12025,7,"(0, 1)","1,2",0.031479
scene_14735,8,"(6, 7)","1,2",0.129236
scene_10015,8,"(6, 7)","1,2",0.134948
scene_11410,7,"(1, 2)","2,3",0.083208
scene_14626,8,"(5, 6)","1,2",0.141158
