model_prediction_first,model_prediction_second,ground_truth_first,ground_truth_second,prediction_series_length
11,12,11,12,13
3,4,2,3,6
2,3,1,2,5
1,2,0,1,8
2,3,1,2,8
2,3,1,2,7
5,6,4,5,6
5,6,4,5,6
8,9,8,9,11
5,6,4,5,6
5,6,5,6,12
4,5,3,4,10
4,5,3,4,5
5,6,4,5,14
1,2,0,1,14
1,2,0,1,7
5,6,4,5,13
5,6,5,6,11
7,8,6,7,12
10,11,10,11,14
2,3,2,3,13
1,2,0,1,9
1,2,0,1,9
1,2,0,1,10
3,4,2,3,11
2,3,1,2,13
13,14,12,13,14
3,4,2,3,11
1,2,0,1,8
11,12,11,12,13
4,5,3,4,5
8,9,8,9,12
7,8,7,8,9
6,7,5,6,7
7,8,7,8,12
1,2,0,1,12
3,4,2,3,5
4,5,3,4,7
2,3,1,2,9
8,9,8,9,11
2,3,1,2,8
2,3,2,3,10
2,3,1,2,6
7,8,6,7,10
13,14,12,13,14
1,2,0,1,5
6,7,5,6,7
2,3,1,2,8
1,2,0,1,9
5,6,5,6,10
