scenario,seq_len,ground_truth,answer
scene_8_003508,7,"(5, 6)","3,615393933611968216430472120220"
scene_18_008839,8,"(0, 1)","1,2973812046759165490784290385516"
scene_13_006089,7,"(0, 1)","1,32021461824384356897311624860820129"
scene_5_002377,6,"(2, 3)","1,3154333313013161115072411524213"
scene_15_007173,7,"(1, 2)","1,4"
scene_10_004945,7,"(1, 2)","1,23456790123567901243555679132"
scene_17_008496,8,"(1, 2)","3,4200119033711261736123683115196"
scene_5_002237,6,"(0, 1)","3,5842731312313245345465353534534"
scene_2_000883,8,"(5, 6)","1,23456789012346303456478961011"
scene_16_007935,6,"(4, 5)","1,213015222173334247353628384411"
scene_10_004522,8,"(0, 1)","1,2356780921451329468306457828"
scene_8_003591,8,"(4, 5)","1,213465789021123450679832145658"
scene_10_004635,7,"(3, 4)","1,34940313301229403130014206566"
scene_8_003604,8,"(0, 1)","1,1125682742148310829313974537467"
scene_16_007864,6,"(0, 1)","1,238541234567891011121314151617"
scene_2_000775,5,"(0, 1)","1,310731128430639137489618401265"
scene_7_003036,5,"(1, 2)","1,21791111117311161402261842015256"
scene_8_003734,8,"(1, 2)","1,313435679120180269141144321126"
scene_15_007132,8,"(4, 5)","1,3772130931314138417951512578"
scene_6_002571,8,"(4, 5)","1,22174523546467128913531325767"
scene_2_000578,7,"(0, 1)","1,319211120810725047168272399112162"
scene_19_009030,8,"(4, 5)","1,213543647829083625782463827834"
scene_3_001340,8,"(1, 2)","1,2323443456567789112133141516"
scene_11_005060,5,"(3, 4)","1,3235465789101112131415161718"
scene_17_008201,8,"(1, 2)","1,310738125433631913776951768564"
scene_5_002227,5,"(3, 4)","0,112328542845119119107202030402146"
scene_10_004965,7,"(4, 5)","1,2178263378119852238077987888071"
scene_8_003662,8,"(2, 3)","1,27330128161236831587288389677"
scene_5_002388,7,"(0, 1)","3,4296962123594621549635186861932"
scene_9_004045,5,"(1, 2)","1,214223434345678356225778951112"
scene_2_000915,7,"(5, 6)","3,4166235787768701892073110341165"
scene_10_004581,7,"(3, 4)","1,3102762170532131733853740425"
