scenario,seq_len,ground_truth,answer
scene_8,8,"(5, 6)","11,00"
scene_190,5,"(0, 1)","65,11"
scene_268,5,"(0, 1)","08,04"
scene_504,4,"(2, 3)","79,04"
scene_39,8,"(2, 3)","70,00"
scene_381,6,"(1, 2)","21,13"
scene_262,8,"(1, 2)","56,3"
scene_607,5,"(1, 2)","16,00"
scene_594,5,"(0, 1)","34,0"
scene_138,5,"(0, 1)","51,0"
scene_518,5,"(3, 4)","82,2"
scene_2,8,"(0, 1)","74,0"
scene_598,4,"(0, 1)","01,3"
scene_115,4,"(0, 1)","78,3"
scene_308,8,"(1, 2)","88,6"
scene_620,5,"(1, 2)","93,77"
scene_507,5,"(0, 1)","17,4"
scene_209,7,"(4, 5)","05,65"
scene_101,6,"(1, 2)","47,6"
scene_584,6,"(4, 5)","30,00"
scene_421,7,"(3, 4)","39,6"
scene_176,6,"(1, 2)","03,35"
scene_5,5,"(3, 4)","23,0"
scene_247,4,"(2, 3)","60,25"
scene_86,6,"(2, 3)","88,9"
scene_395,7,"(0, 1)","97,87"
scene_601,4,"(0, 1)","37,56"
scene_627,8,"(5, 6)","73,30"
scene_391,8,"(3, 4)","59,79"
scene_559,5,"(2, 3)","58,7"
scene_150,8,"(2, 3)","48,94"
scene_657,5,"(1, 2)","38,00"
scene_63,4,"(0, 1)","87,26"
scene_325,8,"(6, 7)","35,00"
scene_637,8,"(2, 3)","96,0"
scene_191,6,"(0, 1)","47,6"
scene_14,4,"(0, 1)","86,1"
scene_293,6,"(3, 4)","46,88"
scene_105,4,"(0, 1)","89,46"
scene_400,4,"(1, 2)","19,00"
scene_576,5,"(2, 3)","32,65"
scene_261,6,"(4, 5)","10,47"
scene_520,7,"(2, 3)","93,94"
scene_531,8,"(6, 7)","34,8"
scene_74,5,"(0, 1)","20,00"
scene_347,6,"(3, 4)","21,99"
scene_177,8,"(4, 5)","95,00"
scene_375,6,"(0, 1)","33,62"
scene_172,6,"(3, 4)","94,0"
scene_265,6,"(0, 1)","20,25"
scene_398,8,"(4, 5)","70,00"
scene_24,7,"(2, 3)","86,00"
scene_579,5,"(2, 3)","18,00"
scene_353,7,"(4, 5)","45,9"
scene_118,5,"(1, 2)","20,71"
scene_560,7,"(5, 6)","41,4"
scene_536,6,"(0, 1)","00,54"
scene_484,8,"(0, 1)","24,78"
scene_162,5,"(1, 2)","02,8"
scene_149,6,"(2, 3)","25,00"
scene_626,5,"(0, 1)","36,6"
scene_471,5,"(1, 2)","37,31"
scene_488,8,"(6, 7)","39,46"
scene_222,7,"(0, 1)","40,72"
scene_100,8,"(3, 4)","38,8"
scene_132,4,"(1, 2)","75,4"
scene_212,4,"(1, 2)","22,56"
scene_677,6,"(2, 3)","62,84"
scene_380,8,"(1, 2)","87,5"
scene_10,6,"(2, 3)","08,55"
scene_69,4,"(1, 2)","15,00"
scene_357,7,"(1, 2)","75,9"
scene_42,7,"(5, 6)","17,50"
scene_383,5,"(2, 3)","32,09"
scene_143,8,"(5, 6)","50,00"
scene_501,8,"(5, 6)","65,00"
scene_251,7,"(5, 6)","4,5"
scene_386,4,"(0, 1)","87,9"
scene_198,5,"(1, 2)","73,74"
scene_425,5,"(1, 2)","62,31"
scene_310,8,"(1, 2)","50,00"
scene_426,4,"(1, 2)","43,6"
scene_339,8,"(3, 4)","42,5"
scene_545,6,"(2, 3)","92,4"
scene_350,5,"(1, 2)","59,0"
scene_33,7,"(5, 6)","92,3"
scene_581,4,"(1, 2)","84,0"
scene_349,5,"(0, 1)","09,36"
scene_443,5,"(1, 2)","45,0"
scene_450,5,"(0, 1)","32,9"
scene_534,5,"(2, 3)","75,04"
scene_301,5,"(3, 4)","64,54"
scene_64,5,"(2, 3)","82,73"
scene_92,4,"(0, 1)","37,26"
scene_254,5,"(1, 2)","17,50"
scene_56,6,"(4, 5)","33,5"
scene_361,5,"(2, 3)","80,00"
scene_40,7,"(1, 2)","65,76"
scene_185,6,"(3, 4)","57,6"
scene_555,4,"(1, 2)","23,00"
scene_690,5,"(3, 4)","86,75"
scene_416,8,"(1, 2)","33,44"
scene_264,8,"(2, 3)","70,69"
scene_592,5,"(1, 2)","39,13"
scene_193,4,"(0, 1)","15,00"
scene_311,4,"(2, 3)","48,2"
scene_15,5,"(2, 3)","46,6"
scene_187,6,"(4, 5)","35,6"
scene_617,4,"(1, 2)","90,00"
scene_525,7,"(4, 5)","03,4"
scene_509,7,"(3, 4)","43,5"
scene_227,4,"(1, 2)","32,66"
scene_642,4,"(0, 1)","30,00"
scene_297,8,"(1, 2)","10,00"
scene_554,4,"(2, 3)","90,5"
scene_28,8,"(3, 4)","80,00"
scene_327,4,"(0, 1)","01,00"
scene_655,5,"(0, 1)","65,89"
scene_13,7,"(0, 1)","70,1"
scene_612,4,"(0, 1)","02,80"
scene_553,8,"(5, 6)","75,00"
scene_510,5,"(1, 2)","75,75"
scene_96,8,"(6, 7)","47,6"
scene_548,4,"(2, 3)","84,67"
scene_237,4,"(1, 2)","91,66"
scene_219,4,"(2, 3)","75,00"
scene_180,4,"(0, 1)","76,94"
scene_568,4,"(1, 2)","80,6"
scene_359,8,"(3, 4)","87,00"
scene_256,6,"(4, 5)","04,31"
scene_377,5,"(3, 4)","64,92"
scene_414,6,"(4, 5)","72,00"
scene_174,5,"(2, 3)","44,8"
scene_106,4,"(2, 3)","96,91"
scene_116,4,"(0, 1)","32,18"
scene_290,6,"(0, 1)","35,2"
scene_599,5,"(2, 3)","35,00"
scene_62,5,"(2, 3)","09,45"
scene_207,7,"(0, 1)","60,41"
scene_671,6,"(2, 3)","55,6"
scene_516,6,"(3, 4)","45,3"
scene_639,7,"(1, 2)","22,00"
scene_524,8,"(3, 4)","16,6"
scene_280,4,"(0, 1)","30,00"
scene_60,6,"(2, 3)","34,03"
scene_23,7,"(4, 5)","88,8"
scene_431,7,"(1, 2)","83,08"
scene_532,5,"(0, 1)","54,0"
scene_600,7,"(5, 6)","57,03"
scene_411,8,"(2, 3)","97,5"
scene_43,5,"(1, 2)","11,22"
scene_567,5,"(1, 2)","22,00"
scene_213,5,"(2, 3)","15,90"
scene_602,6,"(1, 2)","84,03"
scene_158,4,"(2, 3)","45,63"
scene_312,8,"(6, 7)","44,2"
scene_119,8,"(4, 5)","41,41"
scene_564,6,"(0, 1)","20,00"
scene_542,7,"(4, 5)","77,2"
scene_513,7,"(2, 3)","67,2"
scene_423,8,"(3, 4)","69,00"
scene_326,5,"(0, 1)","19,72"
scene_622,8,"(0, 1)","46,9"
scene_652,5,"(2, 3)","47,4"
scene_204,4,"(1, 2)","77,9"
scene_140,4,"(0, 1)","37,16"
scene_255,4,"(0, 1)","45,00"
scene_77,7,"(1, 2)","03,23"
scene_492,6,"(4, 5)","44,8"
scene_321,4,"(0, 1)","50,00"
scene_650,4,"(0, 1)","63,3"
scene_406,4,"(2, 3)","74,31"
scene_557,8,"(3, 4)","02,6"
scene_378,8,"(6, 7)","77,71"
scene_436,5,"(0, 1)","72,69"
scene_609,5,"(1, 2)","41,0"
scene_306,4,"(0, 1)","00,50"
scene_412,7,"(5, 6)","58,0"
scene_340,7,"(3, 4)","27,5"
scene_632,8,"(4, 5)","10,00"
scene_272,8,"(1, 2)","40,35"
scene_573,7,"(2, 3)","87,5"
scene_192,6,"(4, 5)","45,2"
scene_455,8,"(6, 7)","35,00"
scene_129,5,"(3, 4)","65,06"
scene_489,4,"(0, 1)","10,00"
scene_200,7,"(4, 5)","30,00"
scene_399,5,"(1, 2)","37,68"
scene_502,8,"(5, 6)","65,3"
scene_307,4,"(1, 2)","14,00"
scene_661,6,"(3, 4)","30,00"
scene_231,4,"(2, 3)","96,30"
scene_461,5,"(2, 3)","45,8"
scene_241,5,"(3, 4)","34,8"
scene_110,6,"(4, 5)","40,3"
scene_490,5,"(3, 4)","39,2"
scene_503,6,"(0, 1)","05,49"
scene_171,7,"(1, 2)","61,00"
scene_188,8,"(1, 2)","79,77"
scene_368,6,"(0, 1)","52,4"
scene_184,5,"(2, 3)","21,53"
scene_315,5,"(0, 1)","40,06"
scene_417,8,"(4, 5)","66,00"
scene_365,7,"(4, 5)","47,8"
