scenario,seq_len,ground_truth,answer
scene_507,5,"(1, 2)","2,3"
scene_230,6,"(4, 5)","4,5"
scene_137,7,"(4, 5)","5,6"
scene_647,5,"(3, 4)","2,3"
scene_411,8,"(3, 4)","7,8"
scene_348,8,"(6, 7)","1,2"
scene_677,6,"(4, 5)","1,2"
scene_650,4,"(2, 3)","1,2"
scene_483,5,"(3, 4)","2,3"
scene_489,4,"(2, 3)","2,3"
scene_303,4,"(0, 1)","3,4"
scene_185,6,"(1, 2)","1,2"
scene_285,5,"(3, 4)","2,3"
scene_635,4,"(2, 3)","1,2"
scene_320,8,"(3, 4)","4,5"
scene_625,5,"(0, 1)","1,2"
scene_97,6,"(2, 3)","2,3"
scene_528,8,"(4, 5)","4,5"
scene_442,7,"(5, 6)","5,6"
scene_161,4,"(0, 1)","1,2"
scene_42,7,"(3, 4)","4,5"
scene_608,6,"(4, 5)","3,4"
scene_548,4,"(2, 3)","2,3"
scene_448,6,"(0, 1)","3,4"
scene_155,6,"(3, 4)","4,5"
scene_432,6,"(2, 3)","2,3"
scene_376,7,"(1, 2)","1,2"
scene_244,5,"(3, 4)","1,2"
scene_359,8,"(1, 2)","1,2"
scene_637,8,"(0, 1)","1,2"
scene_218,7,"(1, 2)","3,4"
scene_53,7,"(4, 5)","2,3"
scene_564,6,"(3, 4)","1,2"
scene_255,4,"(0, 1)","1,2"
scene_598,4,"(0, 1)","4,5"
scene_103,5,"(2, 3)","3,4"
