scenario,seq_len,ground_truth,answer,lpips,seq_lpips
scene_14124,7,False,no,0.068232,0.150085
scene_10696,7,True,yes,0.229447,0.163694
scene_14922,8,True,yes,0.163542,0.297995
scene_14012,8,False,no,0.111775,0.262413
scene_14779,7,False,yes,0.073117,0.136032
scene_13854,8,False,no,0.319949,0.238441
scene_14696,7,True,no,0.076829,0.261796
scene_11199,8,True,no,0.069885,0.301398
scene_10716,6,True,yes,0.115730,0.112523
scene_12474,7,False,no,0.132346,0.183218
scene_11448,8,False,yes,0.081286,0.172920
scene_13886,8,False,no,0.144652,0.213972
scene_14268,7,False,no,0.030309,0.167057
scene_10493,7,True,no,0.261895,0.265864
scene_13918,6,False,yes,0.179476,0.148127
scene_10362,8,False,no,0.044303,0.324718
scene_12332,8,True,no,0.080803,0.210206
scene_11032,6,True,no,0.050812,0.123206
scene_12897,8,True,no,0.135262,0.216707
scene_12742,7,True,no,0.110801,0.182832
scene_13909,6,True,no,0.106237,0.117575
scene_11971,7,True,no,0.168380,0.222516
scene_11590,8,False,no,0.107337,0.266409
scene_12129,8,False,no,0.168779,0.214902
scene_10165,8,False,no,0.288638,0.220670
scene_12672,8,False,yes,0.101791,0.203073
scene_14293,8,False,no,0.141601,0.210828
scene_11020,7,True,no,0.105038,0.201587
scene_13493,8,True,no,0.095486,0.175636
scene_13462,8,False,no,0.127042,0.196347
scene_12228,8,False,no,0.140108,0.285980
scene_10964,7,False,no,0.281788,0.252160
scene_11140,7,False,no,0.082638,0.176243
scene_14516,7,True,no,0.308933,0.327477
scene_12025,7,False,no,0.031479,0.141468
scene_14735,8,False,no,0.129236,0.260382
scene_10015,8,False,no,0.134948,0.282208
scene_11410,7,False,no,0.083208,0.236394
scene_14626,8,True,no,0.141158,0.280132
scene_13868,8,False,no,0.110754,0.185780
scene_13307,8,True,no,0.277131,0.292521
scene_11525,7,True,no,0.151609,0.138849
scene_13673,7,True,no,0.083866,0.144438
scene_14389,7,False,no,0.121331,0.149333
scene_12832,7,False,no,0.119398,0.130416
