scenario,seq_len,ground_truth,answer
scene_14124,7,"(5, 6)","2,3"
scene_10696,7,"(0, 1)","2,3"
scene_14922,8,"(0, 1)","2,3"
scene_14012,8,"(5, 6)","4,5"
scene_14779,7,"(2, 3)","5,6"
scene_13854,8,"(1, 2)","2,3"
scene_14696,7,"(1, 2)","5,6"
scene_11199,8,"(1, 2)","2,3"
scene_10716,6,"(0, 1)","1,2"
scene_12474,7,"(5, 6)","5,6"
scene_11448,8,"(5, 6)","5,6"
scene_13886,8,"(4, 5)","5,6"
scene_14268,7,"(0, 1)","2,3"
scene_10493,7,"(4, 5)","4,5"
scene_13918,6,"(3, 4)","3,4"
scene_10362,8,"(0, 1)","2,3"
scene_12332,8,"(0, 1)","7,8"
scene_11032,6,"(0, 1)","2,3"
scene_12897,8,"(1, 2)","3,4"
scene_12742,7,"(1, 2)","2,3"
scene_13909,6,"(4, 5)","2,3"
scene_11971,7,"(4, 5)","4,6"
scene_11590,8,"(0, 1)","6,7"
scene_12129,8,"(4, 5)","5,6"
scene_10165,8,"(1, 2)","2,3"
scene_12672,8,"(5, 6)","6,7"
scene_14293,8,"(5, 6)","3,4"
scene_11020,7,"(5, 6)","2,3"
scene_13493,8,"(4, 5)","2,3"
scene_13462,8,"(3, 4)","4,5"
scene_12228,8,"(1, 2)","2,3"
scene_10964,7,"(3, 4)","5,6"
scene_11140,7,"(4, 5)","5,6"
scene_14516,7,"(2, 3)","2,3"
scene_12025,7,"(0, 1)","2,3"
scene_14735,8,"(6, 7)","6,7"
scene_10015,8,"(6, 7)","6,7"
scene_11410,7,"(1, 2)","4,5"
scene_14626,8,"(5, 6)","5,6"
scene_13868,8,"(3, 4)","4,5"
scene_13307,8,"(2, 3)","2,3"
scene_11525,7,"(2, 3)","2,3"
scene_13673,7,"(1, 2)","2,3"
scene_14389,7,"(1, 2)","2,3"
scene_12832,7,"(2, 3)","2,3"
scene_10770,8,"(0, 1)","2,3"
scene_12886,7,"(0, 1)","2,3"
scene_10596,8,"(3, 4)","4,5"
scene_14118,8,"(0, 1)","2,3"
scene_13834,7,"(2, 3)","2,3"
scene_14713,7,"(2, 3)","2,3"
