task,input_mode,scenario,sequence_length,has_anomaly,model_answer,outcome
localize,series,seq_040,13,True,5,correct
localize,composite,seq_040,13,True,5,correct
localize,series,seq_007,6,True,3,correct
localize,composite,seq_007,6,True,3,correct
localize,series,seq_001,5,True,3,correct
localize,composite,seq_001,5,True,3,correct
localize,series,seq_017,8,True,6,correct
localize,composite,seq_017,8,True,6,correct
localize,series,seq_015,8,True,8,correct
localize,composite,seq_015,8,True,7,wrong
localize,series,seq_014,7,True,3,correct
localize,composite,seq_014,7,True,3,correct
localize,series,seq_008,6,True,1,correct
localize,composite,seq_008,6,True,1,correct
localize,series,seq_006,6,True,3,correct
localize,composite,seq_006,6,True,3,correct
localize,series,seq_034,11,True,10,correct
localize,composite,seq_034,11,True,10,correct
localize,series,seq_005,6,True,4,correct
localize,composite,seq_005,6,True,4,correct
localize,series,seq_037,12,True,3,correct
localize,composite,seq_037,12,True,3,correct
localize,series,seq_027,10,True,10,correct
localize,composite,seq_027,10,True,10,correct
localize,series,seq_002,5,True,5,correct
localize,composite,seq_002,5,True,5,correct
localize,series,seq_047,14,True,9,correct
localize,composite,seq_047,14,True,8,wrong
localize,series,seq_049,14,True,7,correct
localize,composite,seq_049,14,True,7,correct
localize,series,seq_013,7,True,7,correct
localize,composite,seq_013,7,True,6,wrong
localize,series,seq_044,13,True,1,correct
localize,composite,seq_044,13,True,1,correct
localize,series,seq_032,11,True,7,correct
localize,composite,seq_032,11,True,7,correct
localize,series,seq_036,12,True,9,correct
localize,composite,seq_036,12,True,9,correct
localize,series,seq_046,14,True,1,correct
localize,composite,seq_046,14,True,1,correct
localize,series,seq_042,13,True,1,correct
localize,composite,seq_042,13,True,1,correct
localize,series,seq_022,9,True,3,correct
localize,composite,seq_022,9,True,3,correct
localize,series,seq_020,9,True,5,correct
localize,composite,seq_020,9,True,5,correct
localize,series,seq_028,10,True,8,correct
localize,composite,seq_028,10,True,8,correct
localize,series,seq_030,11,True,5,correct
localize,composite,seq_030,11,True,5,correct
localize,series,seq_041,13,True,9,correct
localize,composite,seq_041,13,True,8,wrong
localize,series,seq_048,14,True,10,correct
localize,composite,seq_048,14,True,10,correct
localize,series,seq_033,11,True,3,correct
localize,composite,seq_033,11,True,3,correct
localize,series,seq_018,8,True,3,correct
localize,composite,seq_018,8,True,3,correct
localize,series,seq_043,13,True,3,correct
localize,composite,seq_043,13,True,3,correct
localize,series,seq_000,5,True,5,correct
localize,composite,seq_000,5,True,5,correct
localize,series,seq_035,12,True,7,correct
localize,composite,seq_035,12,True,7,correct
localize,series,seq_024,9,True,8,correct
localize,composite,seq_024,9,True,8,correct
localize,series,seq_010,7,True,7,correct
localize,composite,seq_010,7,True,6,wrong
localize,series,seq_038,12,True,12,correct
localize,composite,seq_038,12,True,11,wrong
localize,series,seq_039,12,True,12,correct
localize,composite,seq_039,12,True,11,wrong
localize,series,seq_003,5,True,5,correct
localize,composite,seq_003,5,True,5,correct
localize,series,seq_012,7,True,5,correct
localize,composite,seq_012,7,True,5,correct
localize,series,seq_021,9,True,6,correct
localize,composite,seq_021,9,True,6,correct
localize,series,seq_031,11,True,11,correct
localize,composite,seq_031,11,True,10,wrong
localize,series,seq_016,8,True,1,correct
localize,composite,seq_016,8,True,1,correct
localize,series,seq_029,10,True,1,correct
localize,composite,seq_029,10,True,1,correct
localize,series,seq_009,6,True,5,correct
localize,composite,seq_009,6,True,5,correct
localize,series,seq_026,10,True,2,correct
localize,composite,seq_026,10,True,2,correct
localize,series,seq_045,14,True,4,correct
localize,composite,seq_045,14,True,4,correct
localize,series,seq_004,5,True,3,correct
localize,composite,seq_004,5,True,3,correct
localize,series,seq_011,7,True,3,correct
localize,composite,seq_011,7,True,3,correct
localize,series,seq_019,8,True,3,correct
localize,composite,seq_019,8,True,3,correct
localize,series,seq_023,9,True,2,correct
localize,composite,seq_023,9,True,2,correct
localize,series,seq_025,10,True,10,correct
localize,composite,seq_025,10,True,9,wrong
