scenario,seq_len,ground_truth,answer
scene_16_007735,7,"(4, 5)","2,3"
scene_5_002063,5,"(3, 4)","1,2"
scene_10_004563,7,"(1, 2)","2,3"
scene_12_005502,8,"(0, 1)","2,3"
scene_2_000897,7,"(5, 6)","2,3"
scene_9_004201,4,"(2, 3)","2,3"
scene_1_000052,8,"(1, 2)","2,3"
scene_11_005298,4,"(2, 3)","2,3"
scene_9_004230,4,"(0, 1)","2,3"
scene_5_002311,5,"(2, 3)","1,2"
scene_12_005575,8,"(5, 6)","2,3"
scene_13_006141,5,"(0, 1)","2,3"
scene_11_005403,4,"(2, 3)","2,3"
scene_6_002810,7,"(1, 2)","2,3"
scene_14_006563,5,"(0, 1)","1,2"
scene_9_004230,4,"(2, 3)","2,3"
scene_18_008805,8,"(1, 2)","2,3"
scene_17_008468,8,"(3, 4)","2,3"
scene_19_009178,6,"(0, 1)","2,3"
scene_5_002430,5,"(3, 4)","1,2"
scene_10_004983,7,"(2, 3)","2,3"
scene_2_000940,5,"(0, 1)","2,3"
scene_11_005298,4,"(1, 2)","2,3"
scene_2_000915,7,"(4, 5)","2,3"
scene_10_004643,7,"(1, 2)","2,3"
scene_9_004122,4,"(1, 2)","2,3"
scene_19_009044,8,"(2, 3)","2,3"
scene_8_003981,5,"(2, 3)","2,3"
scene_2_000840,6,"(1, 2)","2,3"
scene_19_009148,6,"(3, 4)","2,3"
scene_2_000914,4,"(2, 3)","2,3"
scene_11_005170,7,"(0, 1)","2,3"
scene_12_005602,8,"(4, 5)","2,3"
scene_5_002362,8,"(4, 5)","1,2"
scene_15_007059,6,"(4, 5)","2,3"
