scenario,seq_len,ground_truth,answer
scene_8,8,"(5, 6)","2,3"
scene_190,5,"(0, 1)","2,3"
scene_268,5,"(0, 1)","2,3"
scene_504,4,"(2, 3)","1,2"
scene_39,8,"(2, 3)","2,3"
scene_381,6,"(1, 2)","2,3"
scene_262,8,"(1, 2)","2,3"
scene_607,5,"(1, 2)","1,2"
scene_594,5,"(0, 1)","1,2"
scene_138,5,"(0, 1)","1,2"
scene_518,5,"(3, 4)","2,3"
scene_2,8,"(0, 1)","2,3"
scene_598,4,"(0, 1)","1,2"
scene_115,4,"(0, 1)","1,2"
scene_308,8,"(1, 2)","2,3"
scene_620,5,"(1, 2)","2,3"
scene_507,5,"(0, 1)","2,3"
scene_209,7,"(4, 5)","2,3"
scene_101,6,"(1, 2)","1,2"
scene_584,6,"(4, 5)","2,3"
scene_421,7,"(3, 4)","2,3"
scene_176,6,"(1, 2)","2,3"
scene_5,5,"(3, 4)","2,3"
scene_247,4,"(2, 3)","1,2"
scene_86,6,"(2, 3)","2,3"
scene_395,7,"(0, 1)","2,3"
scene_601,4,"(0, 1)","2,3"
scene_627,8,"(5, 6)","2,3"
scene_391,8,"(3, 4)","2,3"
scene_559,5,"(2, 3)","1,2"
scene_150,8,"(2, 3)","2,3"
scene_657,5,"(1, 2)","2,3"
scene_63,4,"(0, 1)","1,2"
scene_325,8,"(6, 7)","2,3"
scene_637,8,"(2, 3)","2,3"
scene_191,6,"(0, 1)","1,2"
scene_14,4,"(0, 1)","1,2"
scene_293,6,"(3, 4)","2,3"
scene_105,4,"(0, 1)","1,2"
scene_400,4,"(1, 2)","1,2"
scene_576,5,"(2, 3)","2,3"
scene_261,6,"(4, 5)","2,3"
scene_520,7,"(2, 3)","2,3"
scene_531,8,"(6, 7)","2,3"
scene_74,5,"(0, 1)","1,2"
scene_347,6,"(3, 4)","2,3"
scene_177,8,"(4, 5)","2,3"
scene_375,6,"(0, 1)","2,3"
scene_172,6,"(3, 4)","2,3"
scene_265,6,"(0, 1)","1,2"
scene_398,8,"(4, 5)","2,3"
scene_24,7,"(2, 3)","2,3"
scene_579,5,"(2, 3)","1,2"
scene_353,7,"(4, 5)","2,3"
scene_118,5,"(1, 2)","1,2"
scene_560,7,"(5, 6)","2,3"
scene_536,6,"(0, 1)","1,2"
scene_484,8,"(0, 1)","2,3"
scene_162,5,"(1, 2)","2,3"
scene_149,6,"(2, 3)","2,3"
scene_626,5,"(0, 1)","2,3"
scene_471,5,"(1, 2)","1,2"
scene_488,8,"(6, 7)","1,2"
scene_222,7,"(0, 1)","4,5"
scene_100,8,"(3, 4)","2,3"
scene_132,4,"(1, 2)","1,2"
scene_212,4,"(1, 2)","1,2"
scene_677,6,"(2, 3)","2,3"
scene_380,8,"(1, 2)","2,3"
scene_10,6,"(2, 3)","1,2"
scene_69,4,"(1, 2)","1,2"
scene_357,7,"(1, 2)","2,3"
scene_42,7,"(5, 6)","2,3"
scene_383,5,"(2, 3)","1,2"
scene_143,8,"(5, 6)","1,2"
scene_501,8,"(5, 6)","2,3"
scene_251,7,"(5, 6)","2,3"
scene_386,4,"(0, 1)","1,2"
scene_198,5,"(1, 2)","2,3"
scene_425,5,"(1, 2)","2,3"
scene_310,8,"(1, 2)","3,4"
scene_426,4,"(1, 2)","1,2"
scene_339,8,"(3, 4)","2,3"
scene_545,6,"(2, 3)","1,2"
scene_350,5,"(1, 2)","2,3"
scene_33,7,"(5, 6)","2,3"
scene_581,4,"(1, 2)","1,2"
scene_349,5,"(0, 1)","1,2"
scene_443,5,"(1, 2)","2,3"
scene_450,5,"(0, 1)","2,3"
scene_534,5,"(2, 3)","2,3"
scene_301,5,"(3, 4)","2,3"
scene_64,5,"(2, 3)","1,2"
scene_92,4,"(0, 1)","1,2"
scene_254,5,"(1, 2)","1,2"
scene_56,6,"(4, 5)","2,3"
scene_361,5,"(2, 3)","2,3"
scene_40,7,"(1, 2)","2,3"
scene_185,6,"(3, 4)","2,3"
scene_555,4,"(1, 2)","1,2"
scene_690,5,"(3, 4)","1,2"
scene_416,8,"(1, 2)","2,3"
scene_264,8,"(2, 3)","2,3"
scene_592,5,"(1, 2)","2,3"
scene_193,4,"(0, 1)","1,2"
scene_311,4,"(2, 3)","1,2"
scene_15,5,"(2, 3)","1,2"
scene_187,6,"(4, 5)","2,3"
scene_617,4,"(1, 2)","1,2"
scene_525,7,"(4, 5)","2,3"
scene_509,7,"(3, 4)","2,3"
scene_227,4,"(1, 2)","1,2"
scene_642,4,"(0, 1)","1,2"
scene_297,8,"(1, 2)","2,3"
scene_554,4,"(2, 3)","1,2"
scene_28,8,"(3, 4)","2,3"
scene_327,4,"(0, 1)","1,2"
scene_655,5,"(0, 1)","2,3"
scene_13,7,"(0, 1)","2,3"
scene_612,4,"(0, 1)","1,2"
scene_553,8,"(5, 6)","2,3"
scene_510,5,"(1, 2)","2,3"
scene_96,8,"(6, 7)","2,3"
scene_548,4,"(2, 3)","1,2"
scene_237,4,"(1, 2)","1,2"
scene_219,4,"(2, 3)","1,2"
scene_180,4,"(0, 1)","1,2"
scene_568,4,"(1, 2)","1,2"
scene_359,8,"(3, 4)","2,3"
scene_256,6,"(4, 5)","2,3"
scene_377,5,"(3, 4)","2,3"
scene_414,6,"(4, 5)","2,3"
scene_174,5,"(2, 3)","1,2"
scene_106,4,"(2, 3)","1,2"
scene_116,4,"(0, 1)","1,2"
scene_290,6,"(0, 1)","2,3"
scene_599,5,"(2, 3)","1,2"
scene_62,5,"(2, 3)","2,3"
scene_207,7,"(0, 1)","2,3"
scene_671,6,"(2, 3)","2,3"
scene_516,6,"(3, 4)","2,3"
scene_639,7,"(1, 2)","2,3"
scene_524,8,"(3, 4)","2,3"
scene_280,4,"(0, 1)","1,2"
scene_60,6,"(2, 3)","2,3"
scene_23,7,"(4, 5)","2,3"
scene_431,7,"(1, 2)","2,3"
scene_532,5,"(0, 1)","2,3"
scene_600,7,"(5, 6)","2,3"
scene_411,8,"(2, 3)","2,3"
scene_43,5,"(1, 2)","1,2"
scene_567,5,"(1, 2)","1,2"
scene_213,5,"(2, 3)","2,3"
scene_602,6,"(1, 2)","1,2"
scene_158,4,"(2, 3)","1,2"
scene_312,8,"(6, 7)","2,3"
scene_119,8,"(4, 5)","2,3"
scene_564,6,"(0, 1)","2,3"
scene_542,7,"(4, 5)","2,3"
scene_513,7,"(2, 3)","2,3"
scene_423,8,"(3, 4)","2,3"
scene_326,5,"(0, 1)","2,3"
scene_622,8,"(0, 1)","2,3"
scene_652,5,"(2, 3)","2,3"
scene_204,4,"(1, 2)","1,2"
scene_140,4,"(0, 1)","1,2"
scene_255,4,"(0, 1)","1,2"
scene_77,7,"(1, 2)","2,3"
scene_492,6,"(4, 5)","1,2"
scene_321,4,"(0, 1)","1,2"
scene_650,4,"(0, 1)","1,2"
scene_406,4,"(2, 3)","1,2"
scene_557,8,"(3, 4)","2,3"
scene_378,8,"(6, 7)","2,3"
scene_436,5,"(0, 1)","2,3"
scene_609,5,"(1, 2)","2,3"
scene_306,4,"(0, 1)","1,2"
scene_412,7,"(5, 6)","2,3"
scene_340,7,"(3, 4)","2,3"
scene_632,8,"(4, 5)","2,3"
scene_272,8,"(1, 2)","2,3"
scene_573,7,"(2, 3)","2,3"
scene_192,6,"(4, 5)","2,3"
scene_455,8,"(6, 7)","2,3"
scene_129,5,"(3, 4)","1,2"
scene_489,4,"(0, 1)","1,2"
