scenario,seq_len,ground_truth,answer
scene_22_20,4,0,11
scene_02_46,5,1,95
scene_09_26,5,4,43
scene_26_83,5,0,64
scene_09_63,5,1,4
scene_22_14,5,1,56
scene_01_28,5,1,91
scene_17_169,5,2,4
scene_02_50,5,1,11
scene_17_126,4,0,15
scene_17_152,5,2,14
scene_26_81,5,4,49
scene_09_20,5,0,02
scene_01_127,5,4,99
scene_26_107,4,1,11
scene_22_40,5,0,3
scene_09_39,5,0,5
scene_17_150,4,3,83
scene_05_52,4,2,16
scene_17_74,4,2,0
scene_22_41,4,1,33
scene_18_09,5,3,4
scene_02_55,5,0,15
scene_01_34,5,3,60
scene_26_84,5,1,52
scene_26_33,5,1,2
scene_18_36,5,3,74
scene_18_27,5,1,0
scene_05_33,4,1,0
scene_17_04,4,3,43
scene_09_03,5,1,7
scene_05_32,4,0,8
scene_18_65,5,1,8
scene_02_47,5,3,87
scene_04_69,4,3,4
scene_01_86,5,4,0
scene_03_29,4,0,77
scene_17_14,4,0,10
scene_17_83,4,1,4
scene_17_68,4,2,0
scene_13_12,4,0,16
scene_13_24,5,1,15
scene_09_80,4,2,76
scene_06_31,5,0,0
scene_02_65,5,2,21
scene_01_147,5,1,95
scene_01_55,5,0,16
scene_14_03,4,0,0
scene_14_45,5,3,10
scene_01_189,5,4,52
scene_04_02,4,2,14
scene_26_63,4,0,6
scene_13_08,4,0,72
scene_17_127,4,1,1
scene_17_115,4,0,84
scene_04_60,4,1,99
scene_03_24,4,1,0
scene_06_10,5,4,0
scene_14_74,5,3,37
scene_02_96,5,1,86
scene_18_12,4,3,0
scene_03_67,4,3,43
scene_14_16,5,0,0
scene_02_13,5,2,97
scene_06_28,4,1,9
scene_01_07,5,3,58
scene_10_13,5,3,74
scene_07_36,4,3,8
scene_26_70,5,4,94
scene_01_95,4,0,3
scene_09_73,4,1,11
scene_17_70,4,3,88
scene_05_55,5,3,0
scene_02_77,5,3,64
scene_04_124,4,3,0
scene_07_85,4,2,86
scene_02_49,5,0,9
scene_06_26,5,4,0
scene_18_66,5,0,84
scene_26_27,5,4,0
scene_03_02,4,3,68
scene_02_93,5,4,71
scene_09_46,5,4,46
scene_04_85,4,2,88
scene_01_76,5,3,89
scene_17_170,4,3,40
scene_18_68,5,3,16
scene_26_77,4,1,0
scene_22_16,5,1,7
scene_01_85,5,0,22
scene_17_97,4,2,5
scene_17_42,4,3,10
scene_06_06,4,0,47
scene_09_02,5,0,4
scene_17_85,4,0,89
scene_18_71,5,4,64
scene_04_80,4,2,9
scene_14_68,5,2,0
scene_02_16,4,0,00
