scenario,seq_len,ground_truth,answer
scene_14124,7,"(5, 6)","3,18793806215676993641912053200218"
scene_10696,7,"(0, 1)","1,21331362169722753867134230821"
scene_14922,8,"(0, 1)","1,3824715124434211314629081826718"
scene_14012,8,"(5, 6)","1,3128586274640613030338317119479198"
scene_14779,7,"(2, 3)","1,210004100619780006294905987"
scene_13854,8,"(1, 2)","1,2117114944345714022233007391249"
scene_14696,7,"(1, 2)","1,2"
scene_11199,8,"(1, 2)","1,214313164719162940523261119507"
scene_10716,6,"(0, 1)","1,23367149984663089698996751698"
scene_12474,7,"(5, 6)","1,3354834130193947124813771344"
scene_11448,8,"(5, 6)","1,3223342122110351545084803036"
scene_13886,8,"(4, 5)","1,23161614807841204791611381866"
scene_14268,7,"(0, 1)","1,31171611221343415471627863529"
scene_10493,7,"(4, 5)","1,200013202164914031403401331270116"
scene_13918,6,"(3, 4)","1,262125281953482942061388032710008"
scene_10362,8,"(0, 1)","1,300052391638557857048457616968"
scene_12332,8,"(0, 1)","1,20001445013901103003120221140300"
scene_11032,6,"(0, 1)","1,234567810121351920234567892227"
scene_12897,8,"(1, 2)","0,10001252112134293380752922288365"
scene_12742,7,"(1, 2)","1,29991202137747242112214231121"
scene_13909,6,"(4, 5)","1,220423450677162793410120031079"
scene_11971,7,"(4, 5)","8,1121238923471232913230261547"
scene_11590,8,"(0, 1)","1,490687611071728621706130586667"
scene_12129,8,"(4, 5)","1,310032312015165237621155147313"
scene_10165,8,"(1, 2)","3,45439431146351514035587112224"
scene_12672,8,"(5, 6)","1,2288902376396914465198706919955"
scene_14293,8,"(5, 6)","1,21352814176420361926185264568"
scene_11020,7,"(5, 6)","1,218942804527073456725226505167"
scene_13493,8,"(4, 5)","1,30181576161246421756724064661078"
scene_13462,8,"(3, 4)","1,31282160271465933273993319728"
scene_12228,8,"(1, 2)","1,245678901111111315213244345567"
scene_10964,7,"(3, 4)","3,41628045959130503521830261368"
scene_11140,7,"(4, 5)","3,25630204031862133334961328314"
scene_14516,7,"(2, 3)","1,23517261209123149870027421023"
scene_12025,7,"(0, 1)","1202204802,1202205021070120510110511102"
scene_14735,8,"(6, 7)","1,2483701105217484110963161218"
scene_10015,8,"(6, 7)","1,26218331682208140143022629797940"
scene_11410,7,"(1, 2)","1,21509016367053142984116971344"
scene_14626,8,"(5, 6)","1,2512343567789810121314161819"
scene_13868,8,"(3, 4)","3,567101012131415171819202227"
scene_13307,8,"(2, 3)","1,200020202120202020210120213030"
scene_11525,7,"(2, 3)","1,211544161629155242899681342916"
scene_13673,7,"(1, 2)","1,2561929221198210764466574893139"
scene_14389,7,"(1, 2)","1,21083497311919678419314283289450"
scene_12832,7,"(2, 3)","1,2179507469699755141128334003922256"
scene_10770,8,"(0, 1)","1,452647411032952369119852401637"
scene_12886,7,"(0, 1)","1,3196218857203082634550335214999"
scene_10596,8,"(3, 4)","1,52063318761397159309666726373129"
scene_14118,8,"(0, 1)","1,393000117413437433078780020833"
scene_13834,7,"(2, 3)","1,41002000432077472135463602110"
scene_14713,7,"(2, 3)","1,3511014310433511150124351221762"
scene_14373,8,"(4, 5)","1,20007466353568805065174374630"
