input_mode,scenario,sequence_length,has_swap,model_answer,outcome
series,seq_040,13,True,False,FN
composite,seq_040,13,True,True,TP
series,seq_040,13,False,False,TN
composite,seq_040,13,False,True,FP
series,seq_007,6,True,False,FN
composite,seq_007,6,True,False,FN
series,seq_007,6,False,False,TN
composite,seq_007,6,False,False,TN
series,seq_001,5,True,True,TP
composite,seq_001,5,True,True,TP
series,seq_001,5,False,True,FP
composite,seq_001,5,False,True,FP
series,seq_017,8,True,False,FN
composite,seq_017,8,True,True,TP
series,seq_017,8,False,False,TN
composite,seq_017,8,False,True,FP
series,seq_015,8,True,False,FN
composite,seq_015,8,True,True,TP
series,seq_015,8,False,False,TN
composite,seq_015,8,False,True,FP
series,seq_014,7,True,False,FN
composite,seq_014,7,True,True,TP
series,seq_014,7,False,False,TN
composite,seq_014,7,False,True,FP
series,seq_008,6,True,True,TP
composite,seq_008,6,True,True,TP
series,seq_008,6,False,False,TN
composite,seq_008,6,False,True,FP
series,seq_006,6,True,True,TP
composite,seq_006,6,True,True,TP
series,seq_006,6,False,True,FP
composite,seq_006,6,False,True,FP
series,seq_034,11,True,True,TP
composite,seq_034,11,True,False,FN
series,seq_034,11,False,True,FP
composite,seq_034,11,False,False,TN
series,seq_005,6,True,False,FN
composite,seq_005,6,True,False,FN
series,seq_005,6,False,False,TN
composite,seq_005,6,False,True,FP
series,seq_037,12,True,False,FN
composite,seq_037,12,True,True,TP
series,seq_037,12,False,False,TN
composite,seq_037,12,False,False,TN
series,seq_027,10,True,False,FN
composite,seq_027,10,True,False,FN
series,seq_027,10,False,False,TN
composite,seq_027,10,False,False,TN
series,seq_002,5,True,True,TP
composite,seq_002,5,True,False,FN
series,seq_002,5,False,True,FP
composite,seq_002,5,False,True,FP
series,seq_047,14,True,False,FN
composite,seq_047,14,True,False,FN
series,seq_047,14,False,False,TN
composite,seq_047,14,False,False,TN
series,seq_049,14,True,False,FN
composite,seq_049,14,True,False,FN
series,seq_049,14,False,False,TN
composite,seq_049,14,False,False,TN
series,seq_013,7,True,True,TP
composite,seq_013,7,True,False,FN
series,seq_013,7,False,False,TN
composite,seq_013,7,False,False,TN
series,seq_044,13,True,False,FN
composite,seq_044,13,True,False,FN
series,seq_044,13,False,False,TN
composite,seq_044,13,False,False,TN
series,seq_032,11,True,False,FN
composite,seq_032,11,True,True,TP
series,seq_032,11,False,False,TN
composite,seq_032,11,False,True,FP
series,seq_036,12,True,False,FN
composite,seq_036,12,True,False,FN
series,seq_036,12,False,False,TN
composite,seq_036,12,False,False,TN
series,seq_046,14,True,False,FN
composite,seq_046,14,True,True,TP
series,seq_046,14,False,False,TN
composite,seq_046,14,False,True,FP
series,seq_042,13,True,False,FN
composite,seq_042,13,True,False,FN
series,seq_042,13,False,False,TN
composite,seq_042,13,False,False,TN
series,seq_022,9,True,True,TP
composite,seq_022,9,True,False,FN
series,seq_022,9,False,True,FP
composite,seq_022,9,False,False,TN
series,seq_020,9,True,False,FN
composite,seq_020,9,True,True,TP
series,seq_020,9,False,False,TN
composite,seq_020,9,False,True,FP
series,seq_028,10,True,False,FN
composite,seq_028,10,True,False,FN
series,seq_028,10,False,False,TN
composite,seq_028,10,False,False,TN
series,seq_030,11,True,False,FN
composite,seq_030,11,True,True,TP
series,seq_030,11,False,False,TN
composite,seq_030,11,False,True,FP
series,seq_041,13,True,False,FN
composite,seq_041,13,True,False,FN
series,seq_041,13,False,False,TN
composite,seq_041,13,False,False,TN
series,seq_048,14,True,False,FN
composite,seq_048,14,True,False,FN
series,seq_048,14,False,False,TN
