scenario,seq_len,ground_truth,answer
scene_8,8,False,no
scene_190,5,True,yes
scene_268,5,False,yes
scene_504,4,False,yes
scene_39,8,False,yes
scene_381,6,True,no
scene_262,8,True,no
scene_607,5,True,yes
scene_594,5,True,yes
scene_138,5,False,yes
scene_518,5,True,no
scene_2,8,False,yes
scene_598,4,False,no
scene_115,4,True,yes
scene_308,8,True,yes
scene_620,5,True,yes
scene_507,5,True,yes
scene_209,7,False,yes
scene_101,6,False,yes
scene_584,6,True,yes
scene_421,7,False,yes
scene_176,6,False,yes
scene_5,5,True,yes
scene_247,4,True,yes
scene_86,6,True,no
scene_395,7,True,yes
scene_601,4,False,yes
scene_627,8,True,yes
scene_391,8,True,yes
scene_559,5,True,yes
scene_150,8,False,no
scene_657,5,True,yes
scene_63,4,False,yes
scene_325,8,False,yes
scene_637,8,True,yes
scene_191,6,False,no
scene_14,4,True,yes
scene_293,6,False,yes
scene_105,4,True,yes
scene_400,4,False,no
scene_576,5,False,yes
scene_261,6,True,yes
scene_520,7,False,yes
scene_531,8,True,yes
scene_74,5,True,yes
scene_347,6,False,no
scene_177,8,False,yes
scene_375,6,True,no
scene_172,6,False,no
scene_265,6,False,yes
scene_398,8,False,yes
scene_24,7,True,yes
scene_579,5,True,yes
scene_353,7,False,yes
scene_118,5,False,yes
scene_560,7,False,yes
scene_536,6,True,no
scene_484,8,False,yes
scene_162,5,True,no
scene_149,6,False,yes
scene_626,5,False,no
scene_471,5,False,no
scene_488,8,True,no
scene_222,7,True,yes
scene_100,8,True,yes
scene_132,4,False,no
scene_212,4,False,yes
scene_677,6,True,yes
scene_380,8,True,yes
scene_10,6,True,yes
scene_69,4,False,yes
scene_357,7,False,no
scene_42,7,False,no
scene_383,5,False,no
scene_143,8,True,no
scene_501,8,False,yes
scene_251,7,True,yes
scene_386,4,False,no
scene_198,5,False,yes
scene_425,5,True,yes
scene_310,8,False,no
scene_426,4,True,yes
scene_339,8,True,yes
scene_545,6,False,no
scene_350,5,True,no
scene_33,7,False,yes
scene_581,4,True,no
scene_349,5,False,yes
scene_443,5,False,no
scene_450,5,True,yes
scene_534,5,True,yes
scene_301,5,False,yes
scene_64,5,False,no
scene_92,4,False,yes
scene_254,5,False,yes
scene_56,6,False,yes
scene_361,5,True,yes
scene_40,7,True,yes
scene_185,6,True,yes
scene_555,4,True,yes
scene_690,5,False,yes
scene_416,8,False,yes
scene_264,8,True,no
scene_592,5,True,yes
scene_193,4,True,yes
scene_311,4,True,yes
scene_15,5,False,yes
scene_187,6,True,no
scene_617,4,True,yes
scene_525,7,True,yes
scene_509,7,True,yes
scene_227,4,False,no
scene_642,4,True,yes
scene_297,8,False,no
scene_554,4,False,yes
scene_28,8,False,no
scene_327,4,False,no
scene_655,5,False,yes
scene_13,7,True,no
scene_612,4,True,no
scene_553,8,False,yes
scene_510,5,False,yes
scene_96,8,False,yes
scene_548,4,True,no
scene_237,4,False,no
scene_219,4,True,yes
scene_180,4,True,no
scene_568,4,False,no
scene_359,8,True,yes
scene_256,6,False,no
scene_377,5,True,no
scene_414,6,True,yes
scene_174,5,True,no
scene_106,4,False,no
scene_116,4,True,yes
scene_290,6,False,yes
scene_599,5,True,yes
scene_62,5,True,yes
scene_207,7,True,no
scene_671,6,True,no
scene_516,6,False,no
scene_639,7,False,yes
scene_524,8,True,yes
scene_280,4,False,yes
scene_60,6,True,no
scene_23,7,True,no
scene_431,7,False,yes
scene_532,5,False,no
scene_600,7,True,yes
scene_411,8,True,yes
scene_43,5,False,no
scene_567,5,False,yes
scene_213,5,False,no
scene_602,6,True,yes
scene_158,4,True,yes
scene_312,8,True,yes
scene_119,8,False,yes
scene_564,6,False,yes
scene_542,7,True,yes
scene_513,7,False,yes
scene_423,8,False,no
scene_326,5,True,yes
scene_622,8,True,yes
scene_652,5,True,yes
scene_204,4,True,yes
scene_140,4,True,yes
scene_255,4,True,yes
scene_77,7,True,yes
scene_492,6,False,yes
scene_321,4,True,yes
scene_650,4,True,yes
scene_406,4,True,yes
scene_557,8,True,yes
scene_378,8,False,no
scene_436,5,False,yes
scene_609,5,True,yes
scene_306,4,False,yes
scene_412,7,True,yes
scene_340,7,False,yes
scene_632,8,True,no
scene_272,8,False,yes
scene_573,7,True,yes
scene_192,6,True,yes
scene_455,8,False,yes
scene_129,5,False,yes
scene_489,4,True,yes
scene_200,7,True,yes
scene_399,5,False,no
scene_502,8,False,no
scene_307,4,False,yes
scene_661,6,True,yes
scene_231,4,False,yes
scene_461,5,True,yes
scene_241,5,False,yes
scene_110,6,False,no
scene_490,5,False,yes
scene_503,6,False,yes
scene_171,7,False,yes
scene_188,8,False,yes
scene_368,6,False,yes
scene_184,5,False,yes
scene_315,5,True,no
scene_417,8,False,yes
scene_365,7,True,yes
scene_547,5,True,yes
scene_636,8,True,yes
scene_437,6,True,no
scene_614,6,False,yes
scene_285,5,True,no
scene_480,8,True,no
scene_147,7,True,yes
scene_457,6,True,yes
scene_454,8,True,yes
scene_449,6,False,yes
scene_155,6,True,yes
scene_286,5,False,yes
scene_335,6,False,yes
scene_201,5,True,no
scene_571,5,True,no
scene_88,6,False,yes
scene_404,7,False,yes
scene_152,8,False,yes
scene_649,4,True,no
scene_9,8,True,yes
scene_341,4,False,no
scene_148,4,True,no
scene_45,6,False,yes
scene_302,4,True,yes
scene_468,6,False,no
scene_631,5,True,yes
scene_435,6,False,no
scene_393,8,False,no
scene_137,7,True,yes
scene_215,4,True,yes
scene_585,5,False,no
scene_540,5,False,yes
scene_130,6,True,yes
scene_164,6,False,yes
scene_686,6,True,yes
scene_243,5,True,yes
scene_197,6,False,yes
scene_17,6,False,yes
scene_221,4,False,no
scene_453,5,True,yes
scene_424,4,True,yes
scene_392,7,True,yes
scene_593,6,False,no
scene_168,8,False,no
scene_666,6,False,yes
scene_294,6,True,yes
scene_58,8,False,yes
scene_680,5,True,yes
scene_552,6,True,yes
scene_266,5,False,no
scene_78,5,True,no
scene_179,7,False,yes
scene_514,7,False,no
scene_102,8,False,no
scene_113,8,False,yes
scene_240,5,False,yes
scene_544,4,True,yes
scene_195,6,True,yes
scene_669,7,True,yes
scene_634,8,False,yes
scene_136,5,False,yes
scene_472,5,True,yes
scene_474,4,False,no
scene_303,4,True,yes
scene_91,8,True,no
scene_12,5,False,yes
scene_211,6,True,no
scene_90,6,True,yes
scene_83,5,True,yes
scene_578,6,True,yes
scene_320,8,False,yes
scene_430,8,False,yes
scene_476,8,True,yes
scene_52,4,False,yes
scene_522,5,True,yes
scene_316,5,True,yes
scene_183,5,False,yes
scene_444,4,False,yes
scene_186,8,False,yes
scene_157,5,False,yes
scene_515,4,True,yes
scene_678,6,True,yes
scene_477,6,False,yes
scene_75,4,False,no
scene_369,8,False,yes
scene_491,4,True,yes
scene_18,7,True,yes
scene_279,6,False,yes
scene_76,6,True,yes
scene_446,4,True,no
scene_611,4,False,no
scene_329,6,False,yes
scene_287,4,False,yes
scene_218,7,True,yes
scene_282,7,False,yes
scene_563,6,False,yes
scene_82,5,True,yes
scene_134,6,False,yes
scene_66,8,False,no
scene_170,5,False,yes
scene_422,7,True,yes
scene_22,8,True,yes
scene_586,6,False,yes
scene_415,7,False,no
scene_434,5,False,yes
scene_26,6,True,yes
scene_533,8,False,yes
scene_619,6,True,yes
scene_258,4,True,yes
scene_324,4,True,yes
scene_364,6,True,no
scene_621,4,False,yes
scene_107,7,False,yes
scene_309,6,True,yes
scene_144,7,True,yes
scene_139,8,False,yes
scene_407,5,False,yes
scene_328,8,True,yes
scene_54,6,True,yes
scene_539,6,True,no
scene_625,5,True,yes
scene_68,6,False,yes
scene_53,7,False,no
scene_355,6,False,no
scene_283,4,True,yes
scene_351,4,False,no
scene_651,4,True,yes
scene_313,6,False,yes
scene_154,7,True,yes
scene_278,6,False,no
scene_587,4,True,yes
scene_575,7,True,yes
scene_145,8,True,yes
scene_189,4,True,yes
scene_125,8,True,yes
scene_528,8,True,yes
scene_178,7,False,yes
scene_358,4,False,yes
scene_360,6,True,yes
scene_259,4,True,yes
scene_427,8,True,yes
scene_275,6,True,yes
scene_653,5,False,yes
scene_51,6,False,yes
scene_288,5,False,no
scene_318,6,False,yes
scene_354,7,True,yes
scene_4,4,False,no
scene_37,6,False,no
scene_366,5,True,yes
scene_610,6,False,yes
scene_153,8,True,yes
scene_467,4,False,no
scene_343,5,False,yes
scene_493,6,True,yes
scene_202,6,True,yes
scene_420,4,False,yes
scene_122,7,False,yes
scene_397,5,True,no
scene_535,5,False,yes
scene_658,4,True,yes
scene_133,8,False,yes
scene_562,4,False,yes
scene_267,7,False,yes
scene_289,5,False,yes
scene_298,6,True,no
scene_336,6,False,yes
scene_624,7,True,yes
scene_646,7,True,yes
scene_317,7,True,yes
scene_20,8,False,yes
scene_384,7,True,yes
scene_402,8,True,yes
scene_126,8,True,yes
scene_291,4,True,yes
scene_61,5,True,no
scene_561,7,False,yes
scene_120,6,True,no
scene_345,4,True,yes
scene_506,5,True,yes
scene_304,4,True,yes
scene_35,6,False,yes
scene_681,6,False,no
scene_41,4,False,yes
scene_260,7,True,yes
scene_396,8,False,yes
scene_537,5,True,yes
scene_529,6,False,yes
scene_572,6,True,yes
scene_244,5,False,yes
scene_299,8,True,yes
scene_439,7,False,yes
scene_403,8,True,no
scene_160,6,False,yes
scene_523,6,False,yes
scene_465,6,False,yes
scene_277,5,True,yes
scene_376,7,False,yes
scene_635,4,True,yes
scene_29,6,False,yes
scene_111,8,True,yes
scene_151,5,True,yes
scene_456,4,True,yes
scene_79,6,False,yes
scene_249,4,True,yes
