scenario,seq_len,ground_truth,answer
scene_16_007656,8,1,3101104301900220417122071312061085218
scene_3_001163,8,3,12021341324444243331737583590414816
scene_4_001837,11,9,16815342147267120501280761456197366221
scene_7_003423,10,0,120210134426432014245140334213512152
scene_19_009222,9,3,1317913413213322343121524363413
scene_14_006823,9,3,120494112312421421064176263189293715
scene_8_003746,11,2,345781629130217028279859962020092657
scene_6_002635,8,5,32310001000100010001000100000100010
scene_10_004960,10,3,1101101010100110110100001111010001000
scene_19_009083,8,1,20008000800080008000800080008000
scene_19_009404,9,5,163663637394958073589026379729529
scene_9_004496,9,4,120210032014011021312010120032012013101
scene_20_009625,14,11,1220214035702917673698499850431421
scene_16_007646,9,1,1202252312012109013112120310532120051
scene_3_001195,8,5,1202112031111031021030203041120211301101
scene_8_003640,9,1,10008441196233427167331429720320773128
scene_7_003375,11,4,119711359022192345670876542356635467
scene_16_007682,8,2,12762110775288491789121000407887343337
scene_14_006662,11,3,15765473365200737556739894392909186
scene_2_000704,13,11,11011011100011011011010011101001101101
scene_7_003334,9,2,127767483774722884076833824641130
scene_6_002522,11,7,12022027442113147921358811005031081639
scene_18_008500,8,3,1100011110111110110010000111101011
scene_18_008527,8,0,1123456789101112131415161718192021
scene_17_008226,8,4,11234567312345678912345678899876543210
scene_1_000152,11,9,1202103120211211110101101101010100110
scene_14_006585,10,7,1202111110110011100101011000010110
scene_14_006564,10,4,100031388055934119270038867900813429
scene_16_007997,8,4,1202122222122131203141121202102112023
scene_15_007114,10,5,174334444454456566778729808080811617
scene_20_009960,8,7,1201382282287329922987308474484544415
scene_20_009592,9,2,1202196218778443811289731353261321315
scene_10_004638,8,6,100021012012000000100000201010110100101
scene_13_006331,10,1,10008402117101102342110710837082010258
scene_17_008355,8,1,2200810041171866141041210410121010
scene_1_000157,8,2,1202645360204062761291784329453112638
scene_2_000701,11,4,40001000100010001000100010001000
scene_2_000670,9,8,120264036454656947622536262183895
scene_12_005700,11,10,12021411722513231141010284616014191
scene_13_006073,11,2,129405940549284634904692406284910
scene_13_006453,8,5,11922016248593130655444176454158035
scene_1_000045,8,1,262500077341621084311538348274304382629
scene_16_007728,9,4,12345678012131415161718192022324
scene_13_006293,9,3,11011011101001010110011010111101010
scene_9_004273,16,2,1101101111011101100101111011001001
scene_1_000178,10,1,121346578910111214151617181921101
scene_8_003654,8,7,1331384343644440866404339342013486
scene_18_008566,9,8,12021231204121351123121145621110132
scene_1_000415,9,5,11234567888910111213141516171819
scene_14_006521,10,1,1202204234345676789012131415161819
scene_13_006221,9,1,110215017052112220402200121075012810112
scene_8_003829,9,8,119212211292121311313012123122312
scene_17_008377,9,1,11011010000100100101101110100010100011011
scene_15_007332,10,1,30009107101000200101000100010001010000
scene_1_000085,10,5,12021091111213033323131411202101312101
