scenario,seq_len,ground_truth,answer
scene_8,8,False,no
scene_190,5,True,yes
scene_268,5,True,yes
scene_504,4,True,yes
scene_39,8,False,no
scene_381,6,False,no
scene_262,8,False,no
scene_607,5,True,yes
scene_594,5,False,no
scene_138,5,True,yes
scene_518,5,True,yes
scene_2,8,True,yes
scene_598,4,False,no
scene_115,4,False,no
scene_308,8,False,no
scene_620,5,False,no
scene_507,5,False,no
scene_209,7,False,no
scene_101,6,True,yes
scene_584,6,False,no
scene_421,7,False,no
scene_176,6,False,no
scene_5,5,False,no
scene_247,4,False,no
scene_86,6,True,yes
scene_395,7,True,yes
scene_601,4,False,no
scene_627,8,False,no
scene_391,8,True,yes
scene_559,5,True,yes
scene_150,8,False,no
scene_657,5,False,no
scene_63,4,False,no
scene_325,8,True,yes
scene_637,8,True,yes
scene_191,6,False,no
scene_14,4,True,yes
scene_293,6,True,yes
scene_105,4,False,no
scene_400,4,True,yes
scene_576,5,False,no
scene_261,6,False,no
scene_520,7,True,yes
scene_531,8,True,yes
scene_74,5,False,no
scene_347,6,False,no
scene_177,8,True,yes
scene_375,6,True,yes
scene_172,6,True,yes
scene_265,6,False,no
scene_398,8,True,yes
scene_24,7,False,no
scene_579,5,False,no
scene_353,7,False,no
scene_118,5,False,no
scene_560,7,True,yes
scene_536,6,True,yes
scene_484,8,True,yes
scene_162,5,True,yes
scene_149,6,False,no
scene_626,5,False,no
scene_471,5,False,no
scene_488,8,False,no
scene_222,7,False,no
scene_100,8,False,no
scene_132,4,False,no
scene_212,4,True,yes
scene_677,6,True,yes
scene_380,8,True,yes
scene_10,6,True,yes
scene_69,4,True,yes
scene_357,7,True,yes
scene_42,7,False,no
scene_383,5,False,no
scene_143,8,False,no
scene_501,8,False,no
scene_251,7,True,yes
scene_386,4,True,yes
scene_198,5,True,yes
scene_425,5,False,no
scene_310,8,False,no
scene_426,4,True,yes
scene_339,8,False,no
scene_545,6,True,yes
scene_350,5,True,yes
scene_33,7,False,no
scene_581,4,True,yes
scene_349,5,False,no
scene_443,5,False,no
scene_450,5,False,no
scene_534,5,True,yes
scene_301,5,False,no
scene_64,5,False,no
scene_92,4,True,yes
scene_254,5,True,yes
scene_56,6,False,no
scene_361,5,False,no
scene_40,7,False,no
scene_185,6,False,no
scene_555,4,True,yes
scene_690,5,False,no
scene_416,8,False,no
scene_264,8,False,no
scene_592,5,False,no
scene_193,4,True,yes
scene_311,4,False,no
scene_15,5,True,yes
scene_187,6,True,yes
scene_617,4,False,no
scene_525,7,True,yes
scene_509,7,False,no
scene_227,4,True,yes
scene_642,4,False,no
scene_297,8,True,yes
scene_554,4,True,yes
scene_28,8,False,no
scene_327,4,False,no
scene_655,5,False,no
scene_13,7,True,yes
scene_612,4,False,no
scene_553,8,False,no
scene_510,5,False,no
scene_96,8,True,yes
scene_548,4,False,no
scene_237,4,False,no
scene_219,4,True,yes
scene_180,4,False,no
scene_568,4,True,yes
scene_359,8,True,yes
scene_256,6,True,yes
scene_377,5,False,no
scene_414,6,False,no
scene_174,5,True,yes
scene_106,4,False,no
scene_116,4,False,no
scene_290,6,True,yes
scene_599,5,False,no
scene_62,5,True,yes
scene_207,7,True,yes
scene_671,6,False,no
scene_516,6,False,no
scene_639,7,True,yes
scene_524,8,False,no
scene_280,4,False,no
scene_60,6,False,no
scene_23,7,False,no
scene_431,7,True,yes
scene_532,5,False,no
scene_600,7,True,yes
scene_411,8,True,yes
scene_43,5,True,yes
scene_567,5,False,no
scene_213,5,False,no
scene_602,6,True,yes
scene_158,4,True,yes
scene_312,8,False,no
scene_119,8,True,yes
scene_564,6,True,yes
scene_542,7,True,yes
scene_513,7,True,yes
scene_423,8,False,no
scene_326,5,True,yes
scene_622,8,True,yes
scene_652,5,True,yes
scene_204,4,False,no
scene_140,4,True,yes
scene_255,4,False,no
scene_77,7,True,yes
scene_492,6,True,yes
scene_321,4,False,no
scene_650,4,True,yes
scene_406,4,True,yes
scene_557,8,True,yes
scene_378,8,False,no
scene_436,5,False,yes
scene_609,5,False,no
scene_306,4,False,no
scene_412,7,True,yes
scene_340,7,False,no
scene_632,8,False,no
scene_272,8,False,no
scene_573,7,True,yes
scene_192,6,True,yes
scene_455,8,True,yes
scene_129,5,True,yes
scene_489,4,True,yes
scene_200,7,True,yes
scene_399,5,True,yes
scene_502,8,True,yes
scene_307,4,True,yes
scene_661,6,True,yes
scene_231,4,True,yes
scene_461,5,True,yes
scene_241,5,True,yes
scene_110,6,True,yes
scene_490,5,False,no
scene_503,6,False,no
scene_171,7,False,no
scene_188,8,False,no
scene_368,6,True,yes
scene_184,5,True,yes
scene_315,5,False,no
scene_417,8,False,no
scene_365,7,False,no
scene_547,5,False,no
scene_636,8,False,no
scene_437,6,False,no
scene_614,6,False,no
scene_285,5,False,no
scene_480,8,True,yes
scene_147,7,True,yes
scene_457,6,True,yes
scene_454,8,False,no
scene_449,6,False,no
scene_155,6,True,yes
scene_286,5,False,no
scene_335,6,True,yes
scene_201,5,False,no
scene_571,5,False,no
scene_88,6,True,yes
scene_404,7,False,no
scene_152,8,True,yes
scene_649,4,True,yes
scene_9,8,False,no
scene_341,4,False,no
scene_148,4,False,no
scene_45,6,False,no
scene_302,4,True,yes
scene_468,6,True,yes
scene_631,5,True,yes
scene_435,6,True,yes
scene_393,8,False,no
scene_137,7,False,no
scene_215,4,True,yes
scene_585,5,False,no
scene_540,5,True,yes
scene_130,6,True,yes
scene_164,6,True,yes
scene_686,6,False,no
scene_243,5,True,yes
scene_197,6,True,yes
scene_17,6,True,yes
scene_221,4,True,yes
scene_453,5,False,no
scene_424,4,True,yes
scene_392,7,True,yes
scene_593,6,True,yes
scene_168,8,True,yes
scene_666,6,True,yes
scene_294,6,False,no
scene_58,8,False,no
scene_680,5,True,yes
scene_552,6,True,yes
scene_266,5,True,yes
scene_78,5,True,yes
scene_179,7,False,no
scene_514,7,False,no
scene_102,8,True,yes
scene_113,8,True,yes
scene_240,5,False,no
scene_544,4,False,no
scene_195,6,False,no
scene_669,7,True,yes
scene_634,8,True,yes
scene_136,5,True,yes
scene_472,5,False,no
scene_474,4,True,yes
scene_303,4,True,yes
scene_91,8,False,no
scene_12,5,False,no
scene_211,6,True,yes
scene_90,6,False,no
scene_83,5,False,no
scene_578,6,True,yes
scene_320,8,False,no
scene_430,8,True,yes
scene_476,8,False,no
scene_52,4,False,no
scene_522,5,False,no
scene_316,5,True,yes
scene_183,5,True,yes
scene_444,4,True,yes
scene_186,8,True,yes
scene_157,5,False,no
scene_515,4,True,yes
scene_678,6,False,no
scene_477,6,False,no
scene_75,4,False,no
scene_369,8,False,no
scene_491,4,True,yes
scene_18,7,False,no
scene_279,6,False,no
scene_76,6,True,yes
scene_446,4,False,no
scene_611,4,False,no
scene_329,6,False,no
scene_287,4,True,yes
scene_218,7,False,no
scene_282,7,False,no
scene_563,6,False,no
scene_82,5,True,yes
scene_134,6,False,no
scene_66,8,False,no
scene_170,5,False,no
scene_422,7,True,yes
scene_22,8,False,no
scene_586,6,False,no
scene_415,7,True,yes
scene_434,5,False,no
scene_26,6,True,yes
scene_533,8,False,no
scene_619,6,True,yes
scene_258,4,True,yes
scene_324,4,False,no
scene_364,6,True,yes
scene_621,4,False,no
scene_107,7,True,yes
scene_309,6,True,yes
scene_144,7,True,yes
scene_139,8,False,no
scene_407,5,False,no
scene_328,8,True,yes
scene_54,6,False,no
scene_539,6,True,yes
scene_625,5,True,yes
scene_68,6,False,no
scene_53,7,True,yes
scene_355,6,False,no
scene_283,4,False,no
scene_351,4,True,yes
scene_651,4,True,yes
scene_313,6,False,no
scene_154,7,False,no
scene_278,6,True,yes
scene_587,4,True,yes
scene_575,7,True,yes
scene_145,8,True,yes
scene_189,4,True,yes
scene_125,8,False,no
scene_528,8,True,yes
scene_178,7,False,no
scene_358,4,False,no
scene_360,6,True,yes
scene_259,4,False,no
scene_427,8,True,yes
scene_275,6,True,yes
scene_653,5,False,no
scene_51,6,False,no
scene_288,5,False,no
scene_318,6,True,yes
scene_354,7,True,yes
scene_4,4,False,no
scene_37,6,False,no
scene_366,5,True,yes
scene_610,6,False,no
scene_153,8,False,no
scene_467,4,False,no
scene_343,5,False,no
scene_493,6,True,yes
scene_202,6,False,no
scene_420,4,True,yes
scene_122,7,False,no
scene_397,5,True,yes
scene_535,5,True,yes
scene_658,4,True,yes
scene_133,8,True,yes
scene_562,4,True,yes
scene_267,7,False,no
scene_289,5,True,yes
scene_298,6,True,yes
scene_336,6,False,no
scene_624,7,False,no
scene_646,7,True,yes
scene_317,7,False,no
scene_20,8,True,yes
scene_384,7,True,yes
scene_402,8,True,yes
scene_126,8,False,no
scene_291,4,True,yes
scene_61,5,False,no
scene_561,7,False,no
scene_120,6,False,no
scene_345,4,True,yes
scene_506,5,False,no
scene_304,4,True,yes
scene_35,6,False,no
scene_681,6,True,yes
scene_41,4,True,yes
scene_260,7,True,yes
scene_396,8,False,no
scene_537,5,False,no
scene_529,6,False,no
scene_572,6,True,yes
scene_244,5,False,no
scene_299,8,True,yes
scene_439,7,False,no
scene_403,8,False,no
scene_160,6,False,no
scene_523,6,False,no
scene_465,6,False,no
scene_277,5,True,yes
scene_376,7,False,no
scene_635,4,True,yes
scene_29,6,False,no
scene_111,8,False,no
scene_151,5,True,yes
scene_456,4,False,no
scene_79,6,False,no
scene_249,4,True,yes
scene_695,4,False,no
scene_338,5,True,yes
scene_630,5,True,yes
scene_418,6,True,yes
scene_374,7,True,yes
scene_356,8,True,yes
scene_452,4,False,no
scene_597,4,False,no
scene_232,4,False,no
