scenario,seq_len,ground_truth,answer,lpips
scene_8_003508,7,"(5, 6)","11,0",0.050641
scene_18_008839,8,"(0, 1)","96,56",0.190523
scene_13_006089,7,"(0, 1)","45,98",0.066962
scene_5_002377,6,"(2, 3)","99,9",0.100395
scene_15_007173,7,"(1, 2)","68,3",0.111420
scene_10_004945,7,"(1, 2)","28,99",0.150851
scene_17_008496,8,"(1, 2)","65,3",0.200736
scene_5_002237,6,"(0, 1)","45,0",0.087245
scene_2_000883,8,"(5, 6)","80,71",0.069206
scene_16_007935,6,"(4, 5)","55,55",0.037184
scene_10_004522,8,"(0, 1)","81,5",0.091043
scene_8_003591,8,"(4, 5)","10,00",0.063309
scene_10_004635,7,"(3, 4)","21,54",0.113828
scene_8_003604,8,"(0, 1)","16,02",0.051367
scene_16_007864,6,"(0, 1)","12,5",0.089545
scene_2_000775,5,"(0, 1)","74,5",0.128690
scene_7_003036,5,"(1, 2)","67,32",0.120490
scene_8_003734,8,"(1, 2)","39,4",0.031883
scene_15_007132,8,"(4, 5)","14,9",0.082098
scene_6_002571,8,"(4, 5)","45,0",0.037259
scene_2_000578,7,"(0, 1)","90,17",0.093930
scene_19_009030,8,"(4, 5)","44,6",0.042237
scene_3_001340,8,"(1, 2)","06,43",0.070468
scene_11_005060,5,"(3, 4)","75,3",0.056052
scene_17_008201,8,"(1, 2)","44,32",0.180826
scene_5_002227,5,"(3, 4)","93,52",0.039466
scene_10_004965,7,"(4, 5)","64,42",0.087637
scene_8_003662,8,"(2, 3)","45,7",0.067542
scene_5_002388,7,"(0, 1)","41,38",0.090646
scene_9_004045,5,"(1, 2)","48,7",0.074561
scene_2_000915,7,"(5, 6)","26,55",0.038382
scene_10_004581,7,"(3, 4)","48,9",0.104616
scene_13_006386,8,"(2, 3)","33,35",0.138976
scene_14_006882,8,"(2, 3)","20,00",0.100591
scene_3_001496,7,"(1, 2)","31,50",0.062498
scene_2_000638,7,"(1, 2)","47,76",0.129076
scene_12_005687,8,"(6, 7)","14,16",0.065550
scene_19_009346,6,"(2, 3)","95,0",0.155464
scene_15_007469,8,"(0, 1)","46,41",0.144822
scene_7_003183,8,"(0, 1)","61,5",0.136327
scene_12_005535,7,"(3, 4)","53,45",0.118017
scene_11_005236,6,"(0, 1)","50,00",0.158212
scene_10_004721,8,"(2, 3)","75,33",0.151189
scene_13_006373,7,"(2, 3)","80,76",0.116449
scene_16_007822,7,"(4, 5)","45,98",0.055600
scene_2_000721,7,"(2, 3)","41,0",0.127443
scene_18_008805,8,"(6, 7)","07,15",0.040559
scene_19_009134,8,"(0, 1)","33,7",0.183334
scene_12_005924,8,"(5, 6)","47,8",0.042429
scene_11_005459,7,"(3, 4)","17,0",0.104520
scene_12_005618,8,"(4, 5)","24,82",0.082187
scene_8_003878,8,"(0, 1)","19,55",0.039581
scene_5_002458,5,"(3, 4)","38,4",0.064872
scene_15_007030,7,"(0, 1)","10,00",0.083379
scene_18_008874,8,"(4, 5)","88,6",0.094484
scene_11_005240,6,"(2, 3)","28,29",0.091958
scene_11_005246,8,"(6, 7)","93,30",0.059457
scene_10_004685,8,"(5, 6)","80,68",0.099277
scene_6_002556,7,"(4, 5)","13,31",0.036471
scene_18_008672,7,"(2, 3)","40,45",0.095732
scene_15_007059,6,"(4, 5)","85,01",0.071625
scene_3_001195,8,"(1, 2)","26,11",0.047652
scene_16_007944,8,"(5, 6)","43,8",0.034695
scene_9_004202,4,"(0, 1)","22,32",0.071775
scene_11_005124,7,"(0, 1)","30,00",0.120324
scene_13_006304,8,"(5, 6)","60,73",0.085000
scene_16_007663,8,"(1, 2)","48,30",0.097653
scene_12_005945,7,"(2, 3)","30,28",0.170665
scene_12_005637,8,"(0, 1)","43,52",0.094722
scene_18_008806,8,"(6, 7)","55,56",0.043260
scene_4_001759,8,"(1, 2)","10,00",0.167629
scene_5_002085,6,"(0, 1)","48,9",0.094473
scene_13_006299,8,"(3, 4)","25,80",0.114444
scene_12_005756,5,"(2, 3)","41,56",0.150917
scene_6_002879,8,"(3, 4)","33,4",0.068959
scene_7_003053,8,"(5, 6)","64,0",0.073032
scene_11_005038,7,"(2, 3)","82,4",0.114128
scene_10_004812,8,"(1, 2)","05,06",0.158231
scene_14_006574,8,"(2, 3)","25,0",0.095970
scene_9_004318,6,"(2, 3)","87,74",0.073134
scene_15_007395,8,"(1, 2)","40,33",0.111518
scene_7_003301,8,"(5, 6)","88,89",0.104054
scene_17_008276,8,"(2, 3)","40,0",0.184253
scene_7_003461,8,"(5, 6)","00,40",0.090556
scene_18_008854,7,"(5, 6)","50,00",0.082516
scene_15_007072,7,"(5, 6)","64,66",0.036590
scene_5_002450,7,"(0, 1)","22,4",0.085034
scene_7_003434,8,"(4, 5)","42,0",0.082728
scene_14_006825,7,"(5, 6)","21,0",0.069291
scene_17_008386,7,"(1, 2)","64,66",0.206709
scene_17_008071,8,"(4, 5)","67,0",0.072322
scene_17_008016,8,"(5, 6)","84,57",0.045206
scene_9_004113,5,"(1, 2)","50,00",0.033706
scene_1_000243,5,"(1, 2)","33,95",0.181332
scene_11_005329,6,"(3, 4)","41,66",0.053776
scene_10_004536,8,"(3, 4)","71,65",0.117889
scene_12_005785,7,"(2, 3)","24,12",0.174735
scene_10_004813,7,"(5, 6)","00,40",0.052939
