scenario,seq_len,ground_truth,answer
scene_8,8,1,315690707940734877333077031550431275
scene_190,5,1,1977038713377612130811068017442787577
scene_268,5,4,19380824765832083130708398831616693
scene_504,4,0,12023012858617423034547405429515350340
scene_39,8,3,4246782110583031205047811160579456
scene_381,6,1,11013256111100000000000000000000
scene_262,8,2,11011921151111813112002115111011711101107
scene_607,5,2,12271431011076919879463638815325800
scene_594,5,1,10002933679215862540177698272722929
scene_138,5,0,11932535489950513083712280149141371
scene_518,5,2,10003227897344130639118218494756
scene_2,8,4,1201494356169844125323929474250797750
scene_598,4,3,12343117131124158265725665478472109
scene_115,4,3,112319207138345787435678243689736646
scene_308,8,3,110110111010110110110001101101011001
scene_620,5,0,1411415046539442632329157083463991
scene_507,5,0,110210101111101111101111110011010
scene_209,7,3,0107373910703698590752788491706034
scene_101,6,2,10001000100111011010001100101001010001
scene_584,6,5,11011217031437276800333791291533459
scene_421,7,4,3107170471123892347123891323014615
scene_176,6,4,110110101011000011010011111010001010
scene_5,5,1,238418421812382078077973138211551473
scene_247,4,2,120220120316109201220210120601201009108140
scene_86,6,5,51796561192319876192105144651987069199
scene_395,7,6,87894431047821046797642036176374968864
scene_601,4,2,1000215510928654527073456725226505
scene_627,8,5,120217683080761612464217567240646610
scene_391,8,7,120264683440904247146593323423433197
scene_559,5,1,11011011000011010001100100100010000
scene_150,8,6,10009973699399910695912015090218302613
scene_657,5,1,12017762979208218621333789688746
scene_63,4,0,12021744413026120362273108773134210
scene_325,8,1,1101196576831107366351010749072105148
scene_637,8,1,1306959839169011077593284869669631612
scene_191,6,4,921702701048167331682198140143022629797
scene_14,4,2,12021513380256163670531429846561284
scene_293,6,5,10002200300090002000100090000040745
scene_105,4,2,1201100110010101000101011100000101100
scene_400,4,3,1202253931337739050111506350271332
scene_576,5,0,0308901927359040912079801418845989
scene_261,6,5,1711114032037451500014108211211244
scene_520,7,1,120280466384441304400183444095830050
scene_531,8,5,110130911561977151835106331588783102
scene_74,5,0,10112972911073977059313519463449023546
scene_347,6,2,110112313141502120854159295461457235298
scene_177,8,3,253422441352647409463663092659606657890
scene_375,6,0,120212107742113483831414290587001209
scene_172,6,0,511512471238452472083411253721982581324
scene_265,6,5,110212259300031711011218210701410133
scene_398,8,4,1101101101001000011101000111110101111
scene_24,7,1,11021089211070542341208009498004910
scene_579,5,2,11011011000111011011001100110110100100
scene_353,7,4,120220691778407171190942148573196846
scene_118,5,1,19480276813298774335355837722414457
scene_560,7,2,120210456577679119731131420972231
scene_536,6,4,110112345678910111213141516171819202
scene_484,8,1,1000607722022422823221197432491922079
scene_162,5,0,120143021111055088901911000202131200018
scene_149,6,2,1202100491515665002235873275711939
scene_626,5,3,5770001245356745453170080934394098
scene_471,5,3,1213340694068331086558006006152982
scene_488,8,3,110130342128403061910240449228847567720
scene_222,7,5,112322345455800310102224631013224650
scene_100,8,6,10003636932053000318032008057048068
scene_132,4,0,2107223903445735435318280973117257811993
scene_212,4,3,211867213430466683548421809976341027
scene_677,6,0,035311963751979351710719517990921847524
scene_380,8,3,120219780046893104139292200005164397540
scene_10,6,1,110290388829672305863550844502575436
scene_69,4,2,33283373845617247290320543170578330850
scene_357,7,6,74796724490141263322140137904214833206
scene_42,7,3,1101101110110110111011011101001110110
scene_383,5,4,1892706650584863280052066603853584214
scene_143,8,1,019851362954247442622007216636255824
scene_501,8,2,120140409026362454501217527681337
scene_251,7,3,31001197634510961145337706199707206389
scene_386,4,3,120211887781199110220279059170070023
scene_198,5,3,120220231201011959007889290032010210194
scene_425,5,4,1211434143349857797992550003479011
scene_310,8,3,110110110000101100111101001010100100
scene_426,4,0,01001011000000001111001011010001010
scene_339,8,5,120213628073702107602500000394229699
scene_545,6,4,2202122823425972235566116072144416
scene_350,5,0,110110111111010110110110101111100010011
scene_33,7,4,4111101111010110110110010011101110111
scene_581,4,3,112313311212333212413211231112314123
scene_349,5,4,10002718271122611227225127127281273727
scene_443,5,4,1333160629705201600112122102021242029
scene_450,5,2,100073071999386349684474743105507799
scene_534,5,3,11011011111111100100101111111111110
scene_301,5,3,6403907210105670461321315674218830
scene_64,5,3,112833883863259399416517468449354844
scene_92,4,1,12022405653382183287632105731107959
scene_254,5,1,110119212823713269164774974285271637
scene_56,6,0,110120111200110101101000010111111100000
scene_361,5,2,31448280266224647221359133131014464
scene_40,7,3,1202252109078411568371857272961589838
scene_185,6,4,110210210102102102102102102102103102102102102
scene_555,4,2,1711960702187666594680881964183597
scene_690,5,2,1101202787298220233930173821404533
scene_416,8,4,1000100011111101011100101010001100011
scene_264,8,4,4333503374390100373107294494750107428
scene_592,5,2,820280153593111210848793876806736
