scenario,seq_len,ground_truth,answer
scene_8_003508,7,5,312545677890121314151617181920212
scene_18_008839,8,4,12211221123121041101070110110102112
scene_13_006089,7,1,10001202100201102201220110021002020110
scene_5_002377,6,5,13168394331194576167715586652931597
scene_15_007173,7,4,125234567890121314151617181920212
scene_10_004945,7,0,120212103201120122012102120012012201
scene_17_008496,8,3,3048212629212120008745345816354504534
scene_5_002237,6,1,31515102015116714234444642121762818
scene_2_000883,8,2,100021001222220120220120210202210120111
scene_16_007935,6,2,2205402176158092204025946044564500028
scene_10_004522,8,3,1101101110110011101011111001110110
scene_8_003591,8,1,1195352110863012294031396703166566
scene_10_004635,7,2,1123146411234567891011120211234567891011
scene_8_003604,8,4,131125138147932711212437140312814
scene_16_007864,6,5,10003100570762730639137489618448312
scene_2_000775,5,0,1202101073112327311161402261842015256
scene_7_003036,5,4,100022003201103111220614111052001126
scene_8_003734,8,3,1201613480229312201708439591512578
scene_15_007132,8,1,1101101111111101111011011011100111100
scene_6_002571,8,1,10001000100010001000100010001001
scene_2_000578,7,3,111231921111139211192131211191123123
scene_19_009030,8,5,1123444230434545676722271481427832
scene_3_001340,8,4,1313432456567687912203350667811
scene_11_005060,5,4,1256120154122077631913776951768564
scene_17_008201,8,2,131243445678910111213141516171819
scene_5_002227,5,2,1611418828479219193191915816888016
scene_10_004965,7,5,12023234526667789001011021041061203810208
scene_8_003662,8,0,110110101110111101111101111101111
scene_5_002388,7,3,14340296914749801973562257279539256
scene_9_004045,5,1,22552111122277687018920733463204022
scene_2_000915,7,1,2144298202351011980320051733853740425
scene_10_004581,7,3,1202134102735471161663120440319528245206
scene_13_006386,8,2,112314221252506262221358211231345433
scene_14_006882,8,3,11101010111000111111111111111111
scene_3_001496,7,5,18215711968082482184396480268164706198
scene_2_000638,7,4,1201120112011201120112011010000010
scene_12_005687,8,3,12021508265520762908237198852062589
scene_19_009346,6,0,110212121213213213213121312212121312
scene_15_007469,8,2,1202111220310120111021010112011101101
scene_7_003183,8,6,119611986198719871984198619841988
scene_12_005535,7,3,112831074215506251298498618947807295
scene_11_005236,6,4,131231111001220100000000001111110
scene_10_004721,8,1,120213141620221142150318523252130
scene_13_006373,7,0,100033110000111000110011011011101010
scene_16_007822,7,1,120211123444355678910111213141516
scene_2_000721,7,5,48218931115197371433187680834516
scene_18_008805,8,4,1202302293328450654785059314278880
scene_19_009134,8,5,1202248132456734387015264589871269
scene_12_005924,8,0,12134355678991011131517192132345
scene_11_005459,7,3,12020004054040439330002094051301034062
scene_12_005618,8,5,2000311299162955445926499584141000299
scene_8_003878,8,0,1256344234778855249697260811114484277
scene_5_002458,5,3,11992104504972952110705665327211225537
scene_15_007030,7,6,110869307264610345664325020513313057
scene_18_008874,8,7,112831763128245971083613458940023278568
scene_11_005240,6,4,185776224153974865405755610643738
scene_11_005246,8,5,10001101101101001100011100001100010101
scene_10_004685,8,1,1123456789101112131415161718192021
scene_6_002556,7,0,42556725847575739579603311032391087
scene_18_008672,7,4,1000101010111111110111101010000011011
scene_15_007059,6,4,11234567354562322132434567645678
scene_3_001195,8,1,100011011011001011001000110010001011
scene_16_007944,8,1,153209090042118465816407100087010419
scene_9_004202,4,2,136223910654175487625347984135141728032
scene_11_005124,7,5,1411051171214051250603201619712216169
scene_13_006304,8,2,311310022120703335435250216306210423
scene_16_007663,8,3,1930004540354001401676000339871646250
scene_12_005945,7,6,1413310294941195822242764855015
scene_12_005637,8,1,112313443359848931541644079224844257159
scene_18_008806,8,6,1822310820004276235052172401001708
scene_4_001759,8,0,10007100610081009100902011020112003
scene_5_002085,6,3,037310071357021281213422061827142732
scene_13_006299,8,1,11236471325762082005184357983273484657
scene_12_005756,5,1,1101101110111011001010110111100110
scene_6_002879,8,2,471123117891211711231224641711231224
scene_7_003053,8,4,11500006918456473650273796228220820
scene_11_005038,7,6,100010001101101011110001001100100110
scene_10_004812,8,7,100021001122221001000111000100010010101
scene_14_006574,8,0,1101101111101111111110010110111111
scene_9_004318,6,1,3302141231094344936000118881209381210
scene_15_007395,8,7,112345678090111213141516171819202
scene_7_003301,8,6,1194190519784732182961902630395816
scene_17_008276,8,2,188182212312512702113101001102151110
scene_7_003461,8,6,100022563000112021011002200002022001
scene_18_008854,7,3,11010001101101100101010100001010110
scene_15_007072,7,1,199696969809698475802965098298696512
scene_5_002450,7,0,1433212014220112021211222041200112201
scene_7_003434,8,5,113701550977783770312046303003138
scene_14_006825,7,4,1202131952224111172112112623214112109
scene_17_008386,7,0,54048121239345818022394572123465478
scene_17_008071,8,1,173668148063836286926351688970834
scene_17_008016,8,1,12029704544248328028814375543123060
scene_9_004113,5,4,31312021156470648667721322529634567
scene_1_000243,5,4,1190101011011110011010001101101001111
scene_11_005329,6,5,10001001100110010001010110010110011
scene_10_004536,8,4,100010001010101010101010101010101
scene_12_005785,7,1,21063034123434345678691132973516275
scene_10_004813,7,1,1202131417211992293511611935504219
scene_19_009058,8,5,11234567999984509392594922767854562
scene_13_006292,7,0,26407567213046258622063997022300094
scene_14_006966,8,1,3124911101031225303828362982005852
scene_12_005894,8,4,1199510212851985912931915187337847
scene_18_008538,8,4,1202171272529716222977023169042447028
scene_10_004983,7,6,1711010001110010001101101010010001
scene_16_007859,6,5,10001104230111101101010101101110001
scene_16_007559,8,2,1213437586461126578990971399777207
scene_6_002880,5,0,12700002211002114002211000201011011
scene_18_008675,7,2,120215742494360020600100010010001001
scene_5_002220,7,5,15000500517411203821300359295932078
scene_18_008883,8,4,119851781244896934118418373214034
scene_2_000695,6,2,21366433769510552293495477123904584
scene_11_005495,6,0,1202102140510112110210210200050005101102
