scenario,seq_len,ground_truth,answer
scene_8,8,"(5, 6)","11,00"
scene_190,5,"(0, 1)","65,91"
scene_268,5,"(0, 1)","08,01"
scene_504,4,"(2, 3)","79,04"
scene_39,8,"(2, 3)","70,00"
scene_381,6,"(1, 2)","21,13"
scene_262,8,"(1, 2)","56,3"
scene_607,5,"(1, 2)","16,00"
scene_594,5,"(0, 1)","34,0"
scene_138,5,"(0, 1)","51,0"
scene_518,5,"(3, 4)","82,2"
scene_2,8,"(0, 1)","74,0"
scene_598,4,"(0, 1)","01,3"
scene_115,4,"(0, 1)","78,3"
scene_308,8,"(1, 2)","88,6"
scene_620,5,"(1, 2)","93,77"
scene_507,5,"(0, 1)","17,4"
scene_209,7,"(4, 5)","05,65"
scene_101,6,"(1, 2)","47,6"
scene_584,6,"(4, 5)","30,00"
scene_421,7,"(3, 4)","83,6"
scene_176,6,"(1, 2)","03,35"
scene_5,5,"(3, 4)","23,0"
scene_247,4,"(2, 3)","60,25"
scene_86,6,"(2, 3)","88,9"
scene_395,7,"(0, 1)","97,87"
scene_601,4,"(0, 1)","37,56"
scene_627,8,"(5, 6)","73,30"
scene_391,8,"(3, 4)","59,79"
scene_559,5,"(2, 3)","58,7"
scene_150,8,"(2, 3)","48,9"
scene_657,5,"(1, 2)","43,9"
scene_63,4,"(0, 1)","98,70"
scene_325,8,"(6, 7)","60,00"
scene_637,8,"(2, 3)","62,60"
scene_191,6,"(0, 1)","84,00"
scene_14,4,"(0, 1)","86,1"
scene_293,6,"(3, 4)","46,8"
scene_105,4,"(0, 1)","98,64"
scene_400,4,"(1, 2)","91,2"
scene_576,5,"(2, 3)","17,22"
scene_261,6,"(4, 5)","50,00"
scene_520,7,"(2, 3)","77,3"
scene_531,8,"(6, 7)","94,38"
scene_74,5,"(0, 1)","85,00"
scene_347,6,"(3, 4)","49,1"
scene_177,8,"(4, 5)","99,99"
scene_375,6,"(0, 1)","04,03"
scene_172,6,"(3, 4)","62,9"
scene_265,6,"(0, 1)","30,00"
scene_398,8,"(4, 5)","25,50"
scene_24,7,"(2, 3)","73,6"
scene_579,5,"(2, 3)","75,41"
scene_353,7,"(4, 5)","52,8"
scene_118,5,"(1, 2)","56,0"
scene_560,7,"(5, 6)","66,84"
scene_536,6,"(0, 1)","11,50"
scene_484,8,"(0, 1)","47,5"
scene_162,5,"(1, 2)","40,89"
scene_149,6,"(2, 3)","27,00"
scene_626,5,"(0, 1)","95,84"
scene_471,5,"(1, 2)","56,67"
scene_488,8,"(6, 7)","31,0"
scene_222,7,"(0, 1)","64,84"
scene_100,8,"(3, 4)","67,9"
scene_132,4,"(1, 2)","82,87"
scene_212,4,"(1, 2)","74,2"
scene_677,6,"(2, 3)","75,76"
scene_380,8,"(1, 2)","98,28"
scene_10,6,"(2, 3)","45,0"
scene_69,4,"(1, 2)","65,8"
scene_357,7,"(1, 2)","50,00"
scene_42,7,"(5, 6)","10,11"
scene_383,5,"(2, 3)","35,00"
scene_143,8,"(5, 6)","99,65"
scene_501,8,"(5, 6)","11,3"
scene_251,7,"(5, 6)","37,79"
scene_386,4,"(0, 1)","85,00"
scene_198,5,"(1, 2)","89,3"
scene_425,5,"(1, 2)","12,62"
scene_310,8,"(1, 2)","31,56"
scene_426,4,"(1, 2)","32,53"
