scenario,seq_len,ground_truth,answer
scene_8_003508,7,False,yes
scene_18_008839,8,True,yes
scene_13_006089,7,False,yes
scene_5_002377,6,False,no
scene_15_007173,7,True,no
scene_10_004945,7,False,yes
scene_17_008496,8,False,yes
scene_5_002237,6,False,no
scene_2_000883,8,False,yes
scene_16_007935,6,False,yes
scene_10_004522,8,True,yes
scene_8_003591,8,True,yes
scene_10_004635,7,False,yes
scene_8_003604,8,False,yes
scene_16_007864,6,False,yes
scene_2_000775,5,True,yes
scene_7_003036,5,False,yes
scene_8_003734,8,False,no
scene_15_007132,8,False,yes
scene_6_002571,8,True,yes
scene_2_000578,7,True,yes
scene_19_009030,8,True,yes
scene_3_001340,8,True,yes
scene_11_005060,5,True,yes
scene_17_008201,8,False,yes
scene_5_002227,5,True,yes
scene_10_004965,7,True,yes
scene_8_003662,8,False,yes
scene_5_002388,7,False,yes
scene_9_004045,5,True,no
scene_2_000915,7,True,yes
scene_10_004581,7,False,yes
scene_13_006386,8,True,yes
scene_14_006882,8,False,yes
scene_3_001496,7,True,no
scene_2_000638,7,True,yes
scene_12_005687,8,True,yes
scene_19_009346,6,False,no
scene_15_007469,8,False,yes
scene_7_003183,8,True,yes
scene_12_005535,7,False,yes
scene_11_005236,6,True,yes
scene_10_004721,8,False,no
scene_13_006373,7,False,yes
scene_16_007822,7,True,no
scene_2_000721,7,True,yes
scene_18_008805,8,True,yes
scene_19_009134,8,True,yes
scene_12_005924,8,True,yes
scene_11_005459,7,True,yes
scene_12_005618,8,False,no
scene_8_003878,8,True,yes
scene_5_002458,5,True,yes
scene_15_007030,7,True,yes
scene_18_008874,8,False,yes
scene_11_005240,6,False,yes
scene_11_005246,8,False,yes
scene_10_004685,8,False,yes
scene_6_002556,7,False,yes
scene_18_008672,7,False,yes
scene_15_007059,6,False,yes
scene_3_001195,8,False,yes
scene_16_007944,8,False,yes
scene_9_004202,4,True,yes
scene_11_005124,7,True,yes
scene_13_006304,8,True,yes
scene_16_007663,8,False,yes
scene_12_005945,7,False,no
scene_12_005637,8,False,yes
scene_18_008806,8,False,yes
scene_4_001759,8,True,yes
scene_5_002085,6,False,yes
scene_13_006299,8,False,yes
scene_12_005756,5,False,yes
scene_6_002879,8,False,no
scene_7_003053,8,False,yes
scene_11_005038,7,False,no
scene_10_004812,8,False,yes
scene_14_006574,8,False,yes
scene_9_004318,6,True,yes
scene_15_007395,8,True,yes
scene_7_003301,8,True,yes
scene_17_008276,8,False,yes
scene_7_003461,8,True,no
scene_18_008854,7,False,yes
scene_15_007072,7,True,yes
scene_5_002450,7,False,yes
scene_7_003434,8,False,no
scene_14_006825,7,True,no
scene_17_008386,7,False,no
scene_17_008071,8,False,yes
scene_17_008016,8,False,no
scene_9_004113,5,True,yes
scene_1_000243,5,True,yes
scene_11_005329,6,False,yes
scene_10_004536,8,False,yes
scene_12_005785,7,True,no
scene_10_004813,7,False,yes
scene_19_009058,8,True,yes
scene_13_006292,7,True,no
scene_14_006966,8,True,yes
scene_12_005894,8,False,yes
scene_18_008538,8,False,yes
scene_10_004983,7,False,yes
scene_16_007859,6,True,no
scene_16_007559,8,True,yes
scene_6_002880,5,True,yes
scene_18_008675,7,True,yes
scene_5_002220,7,True,yes
scene_18_008883,8,True,yes
scene_2_000695,6,False,yes
scene_11_005495,6,False,yes
scene_14_006903,8,True,yes
scene_3_001317,7,True,no
scene_12_005881,7,True,yes
scene_12_005585,7,True,yes
scene_17_008226,8,False,yes
scene_14_006729,7,False,yes
scene_2_000918,7,True,yes
scene_17_008468,8,True,yes
scene_7_003015,8,True,yes
scene_8_003681,8,False,no
scene_6_002957,7,False,yes
scene_5_002170,5,True,no
scene_16_007695,6,False,yes
scene_16_007992,7,False,yes
scene_19_009310,7,False,yes
scene_19_009300,8,False,no
scene_10_004998,8,False,yes
scene_2_000840,6,True,yes
scene_10_004874,8,True,yes
scene_8_003754,6,False,no
scene_19_009113,8,False,yes
scene_11_005218,6,False,no
scene_11_005445,8,True,yes
scene_10_004547,6,True,no
scene_2_000677,5,True,yes
scene_10_004899,7,False,no
scene_6_002839,6,True,no
scene_16_007623,7,False,yes
scene_6_002907,8,False,yes
scene_10_004838,8,True,yes
scene_16_007916,8,True,yes
scene_9_004128,5,True,yes
scene_14_006687,8,False,yes
scene_1_000258,8,True,no
scene_1_000470,6,True,yes
