input_mode,model_prediction_first,model_prediction_second,ground_truth_first,ground_truth_second,prediction_series_length
series,3,4,0,1,13
composite,4,5,0,1,13
series,0,1,0,1,6
composite,4,5,0,1,6
series,3,4,3,4,5
composite,3,4,3,4,5
series,3,4,3,4,8
composite,3,4,3,4,8
series,3,4,4,5,8
composite,3,4,4,5,8
series,3,4,4,5,7
composite,3,4,4,5,7
series,3,4,4,5,6
composite,4,5,4,5,6
series,1,2,1,2,6
composite,3,4,1,2,6
series,3,4,2,3,11
composite,3,4,2,3,11
series,0,3,0,1,6
composite,4,5,0,1,6
series,3,4,10,11,12
composite,4,5,10,11,12
series,1,2,2,3,10
composite,3,4,2,3,10
series,1,2,0,1,5
composite,3,4,0,1,5
series,3,4,7,8,14
composite,4,5,7,8,14
series,4,5,2,3,14
composite,4,5,2,3,14
series,3,4,5,6,7
composite,3,4,5,6,7
series,3,4,8,9,13
composite,3,4,8,9,13
series,1,2,1,2,11
composite,3,4,1,2,11
series,1,2,1,2,12
composite,4,5,1,2,12
series,4,5,9,10,14
composite,3,4,9,10,14
series,3,4,8,9,13
composite,3,4,8,9,13
series,3,4,2,3,9
composite,3,4,2,3,9
series,3,4,6,7,9
composite,3,4,6,7,9
series,3,4,3,4,10
composite,3,4,3,4,10
series,3,4,4,5,11
composite,3,4,4,5,11
series,3,4,0,1,13
composite,4,5,0,1,13
series,3,4,0,1,14
composite,3,4,0,1,14
series,3,4,6,7,11
composite,3,4,6,7,11
series,3,4,3,4,8
composite,4,5,3,4,8
series,3,4,4,5,13
composite,3,4,4,5,13
series,0,2,0,1,5
composite,3,4,0,1,5
series,3,4,3,4,12
composite,3,4,3,4,12
series,3,4,5,6,9
composite,3,4,5,6,9
series,1,3,0,1,7
composite,3,4,0,1,7
series,3,4,4,5,12
composite,4,5,4,5,12
series,3,4,5,6,12
composite,3,4,5,6,12
series,0,1,0,1,5
composite,3,4,0,1,5
series,3,4,1,2,7
composite,4,5,1,2,7
series,3,4,3,4,9
composite,4,5,3,4,9
series,3,4,5,6,11
composite,3,4,5,6,11
series,4,5,6,7,8
composite,4,5,6,7,8
series,3,4,8,9,10
composite,3,4,8,9,10
series,1,2,3,4,6
composite,3,4,3,4,6
series,2,3,8,9,10
composite,3,4,8,9,10
series,3,4,3,4,14
composite,6,7,3,4,14
series,1,3,0,1,5
composite,3,4,0,1,5
series,3,4,4,5,7
composite,3,4,4,5,7
series,3,4,4,5,8
composite,4,5,4,5,8
series,3,4,4,5,9
composite,3,4,4,5,9
series,3,4,7,8,10
composite,3,4,7,8,10
