scenario,seq_len,ground_truth,answer,lpips,seq_lpips
scene_22_20,4,False,yes,0.719707,0.678570
scene_02_46,5,True,no,0.136402,0.644180
scene_09_26,5,True,yes,0.359903,0.661623
scene_26_83,5,False,yes,0.572689,0.536255
scene_09_63,5,False,no,0.671388,0.676690
scene_22_14,5,False,yes,0.629761,0.697034
scene_01_28,5,True,yes,0.624122,0.677801
scene_17_169,5,True,yes,0.567379,0.675602
scene_02_50,5,True,yes,0.574277,0.648924
scene_17_126,4,False,yes,0.501345,0.321210
scene_17_152,5,False,no,0.727691,0.596219
scene_26_81,5,False,yes,0.332528,0.570128
scene_09_20,5,True,yes,0.539515,0.683772
scene_01_127,5,False,no,0.365039,0.628062
scene_26_107,4,False,yes,0.643976,0.564413
scene_22_40,5,True,yes,0.665385,0.716613
scene_09_39,5,False,no,0.240640,0.664434
scene_17_150,4,True,yes,0.435794,0.543473
scene_05_52,4,True,yes,0.733711,0.662995
scene_17_74,4,True,yes,0.623145,0.557404
scene_22_41,4,True,yes,0.562735,0.686762
scene_18_09,5,False,yes,0.548427,0.670461
scene_02_55,5,False,yes,0.691957,0.671888
scene_01_34,5,False,yes,0.294011,0.685563
scene_26_84,5,False,no,0.548927,0.530403
scene_26_33,5,False,yes,0.205587,0.533542
scene_18_36,5,True,yes,0.600891,0.701424
scene_18_27,5,False,yes,0.496415,0.680244
scene_05_33,4,False,yes,0.702364,0.647336
scene_17_04,4,False,yes,0.622546,0.604780
scene_09_03,5,False,yes,0.548256,0.581449
scene_05_32,4,False,no,0.595853,0.665392
scene_18_65,5,True,yes,0.774800,0.664468
scene_02_47,5,False,no,0.581317,0.676177
scene_04_69,4,False,no,0.532054,0.638777
scene_01_86,5,False,no,0.426627,0.658906
scene_03_29,4,False,yes,0.074055,0.584027
scene_17_14,4,True,yes,0.620524,0.658631
scene_17_83,4,False,yes,0.581451,0.567027
scene_17_68,4,True,yes,0.624806,0.693374
scene_13_12,4,True,yes,0.260819,0.653864
scene_13_24,5,True,yes,0.803041,0.416680
scene_09_80,4,False,yes,0.260223,0.659620
scene_06_31,5,True,yes,0.389693,0.666411
scene_02_65,5,True,no,0.251024,0.636030
scene_01_147,5,True,no,0.323423,0.665812
scene_01_55,5,False,no,0.389955,0.636571
