input_mode,model_prediction_first,model_prediction_second,ground_truth_first,ground_truth_second,prediction_series_length
series,7,8,7,8,13
composite,6,7,7,8,13
series,3,4,3,4,6
composite,3,4,3,4,6
series,3,4,3,4,5
composite,3,4,3,4,5
series,4,5,4,5,8
composite,4,5,4,5,8
series,2,3,2,3,8
composite,2,3,2,3,8
series,4,5,4,5,7
composite,4,5,4,5,7
series,4,5,4,5,6
composite,4,5,4,5,6
series,1,2,1,2,6
composite,1,2,1,2,6
series,8,9,8,9,11
composite,3,4,8,9,11
series,1,2,1,2,6
composite,1,2,1,2,6
series,4,5,3,4,12
composite,3,4,3,4,12
series,1,2,1,2,10
composite,1,2,1,2,10
series,1,2,1,2,5
composite,1,2,1,2,5
series,7,8,7,8,14
composite,9,10,7,8,14
series,4,5,4,5,14
composite,9,10,4,5,14
series,2,3,2,3,7
composite,2,3,2,3,7
series,9,10,9,10,13
composite,9,10,9,10,13
series,8,9,8,9,11
composite,3,4,8,9,11
series,4,5,4,5,12
composite,4,5,4,5,12
series,2,3,2,3,14
composite,9,10,2,3,14
series,10,11,10,11,13
composite,9,10,10,11,13
series,6,7,6,7,9
composite,5,6,6,7,9
series,7,8,7,8,9
composite,4,5,7,8,9
series,7,8,7,8,10
composite,6,7,7,8,10
series,2,3,2,3,11
composite,2,3,2,3,11
series,6,7,6,7,13
composite,6,7,6,7,13
series,4,5,4,5,14
composite,9,10,4,5,14
series,4,5,4,5,11
composite,4,5,4,5,11
series,2,3,0,1,8
composite,0,1,0,1,8
series,10,11,10,11,13
composite,9,10,10,11,13
series,2,3,2,3,5
composite,2,3,2,3,5
series,8,9,8,9,12
composite,5,6,8,9,12
series,4,5,4,5,9
composite,3,5,4,5,9
series,3,4,3,4,7
composite,3,4,3,4,7
series,10,11,10,11,12
composite,9,11,10,11,12
series,6,7,6,7,12
composite,6,7,6,7,12
series,0,1,0,1,5
composite,0,1,0,1,5
series,0,2,0,1,7
composite,0,1,0,1,7
series,5,6,5,6,9
composite,4,5,5,6,9
series,9,10,9,10,11
composite,9,10,9,10,11
series,5,6,5,6,8
composite,5,6,5,6,8
series,8,9,8,9,10
composite,7,8,8,9,10
series,2,3,2,3,6
composite,2,3,2,3,6
series,1,2,1,2,10
composite,1,2,1,2,10
series,9,10,9,10,14
composite,9,10,9,10,14
series,0,1,0,1,5
composite,0,1,0,1,5
series,1,2,1,2,7
composite,1,2,1,2,7
series,2,3,2,3,8
composite,2,3,2,3,8
series,4,5,4,5,9
composite,3,5,4,5,9
series,5,6,5,6,10
composite,4,6,5,6,10
