scenario,seq_len,ground_truth,answer
scene_8,8,1,11
scene_190,5,1,61
scene_268,5,4,65
scene_504,4,0,10
scene_39,8,3,0
scene_381,6,1,10
scene_262,8,2,5
scene_607,5,2,14
scene_594,5,1,49
scene_138,5,0,0
scene_518,5,2,99
scene_2,8,4,21
scene_598,4,3,13
scene_115,4,3,5
scene_308,8,3,83
scene_620,5,0,16
scene_507,5,0,76
scene_209,7,3,3
scene_101,6,2,40
scene_584,6,5,51
scene_421,7,4,42
scene_176,6,4,21
scene_5,5,1,67
scene_247,4,2,20
scene_86,6,5,0
scene_395,7,6,83
scene_601,4,2,7
scene_627,8,5,8
scene_391,8,7,4
scene_559,5,1,87
scene_150,8,6,49
scene_657,5,1,0
scene_63,4,0,75
scene_325,8,1,75
scene_637,8,1,20
scene_191,6,4,16
scene_14,4,2,15
scene_293,6,5,76
scene_105,4,2,30
scene_400,4,3,11
scene_576,5,0,53
scene_261,6,5,6
scene_520,7,1,0
scene_531,8,5,13
scene_74,5,0,52
scene_347,6,2,14
scene_177,8,3,6
scene_375,6,0,72
scene_172,6,0,4
scene_265,6,5,84
scene_398,8,4,99
scene_24,7,1,0
scene_579,5,2,72
scene_353,7,4,7
scene_118,5,1,86
scene_560,7,2,73
scene_536,6,4,30
scene_484,8,1,59
scene_162,5,0,79
scene_149,6,2,58
scene_626,5,3,74
scene_471,5,3,8
scene_488,8,3,94
scene_222,7,5,3
scene_100,8,6,91
scene_132,4,0,88
scene_212,4,3,0
scene_677,6,0,64
scene_380,8,3,54
scene_10,6,1,62
scene_69,4,2,80
scene_357,7,6,84
scene_42,7,3,46
scene_383,5,4,86
scene_143,8,1,19
scene_501,8,2,67
scene_251,7,3,89
scene_386,4,3,96
scene_198,5,3,0
scene_425,5,4,16
scene_310,8,3,3
scene_426,4,0,73
scene_339,8,5,26
scene_545,6,4,0
scene_350,5,0,0
scene_33,7,4,47
scene_581,4,3,43
scene_349,5,4,44
scene_443,5,4,48
scene_450,5,2,85
scene_534,5,3,00
scene_301,5,3,49
scene_64,5,3,11
scene_92,4,1,2
scene_254,5,1,95
scene_56,6,0,0
scene_361,5,2,36
scene_40,7,3,26
scene_185,6,4,59
scene_555,4,2,3
scene_690,5,2,0
scene_416,8,4,0
scene_264,8,4,25
scene_592,5,2,7
scene_193,4,0,5
scene_311,4,2,31
scene_15,5,2,67
scene_187,6,5,0
scene_617,4,1,18
scene_525,7,4,20
scene_509,7,4,45
scene_227,4,0,40
scene_642,4,3,66
scene_297,8,4,15
scene_554,4,1,11
scene_28,8,5,80
scene_327,4,1,47
scene_655,5,3,32
scene_13,7,5,07
scene_612,4,3,90
scene_553,8,4,7
scene_510,5,3,12
scene_96,8,7,9
scene_548,4,3,2
scene_237,4,1,36
scene_219,4,1,6
scene_180,4,2,33
scene_568,4,2,3
scene_359,8,5,6
scene_256,6,0,16
scene_377,5,4,68
scene_414,6,0,0
scene_174,5,2,72
scene_106,4,0,38
scene_116,4,2,8
scene_290,6,4,75
scene_599,5,2,45
scene_62,5,2,27
scene_207,7,5,67
scene_671,6,5,25
scene_516,6,4,42
scene_639,7,3,75
scene_524,8,2,5
scene_280,4,3,86
scene_60,6,4,53
scene_23,7,3,50
scene_431,7,2,9
scene_532,5,4,75
scene_600,7,3,91
scene_411,8,5,73
scene_43,5,1,0
scene_567,5,0,71
scene_213,5,3,19
scene_602,6,5,50
scene_158,4,3,15
scene_312,8,2,6
scene_119,8,2,7
scene_564,6,4,7
scene_542,7,3,4
scene_513,7,3,5
scene_423,8,7,87
scene_326,5,2,82
scene_622,8,4,3
scene_652,5,2,12
scene_204,4,1,62
scene_140,4,3,31
scene_255,4,1,56
scene_77,7,3,32
scene_492,6,0,43
scene_321,4,0,61
scene_650,4,0,29
scene_406,4,2,75
scene_557,8,6,2
scene_378,8,7,15
scene_436,5,3,10
scene_609,5,3,9
scene_306,4,3,23
scene_412,7,0,44
scene_340,7,2,42
scene_632,8,5,9
scene_272,8,4,36
scene_573,7,2,4
scene_192,6,3,45
scene_455,8,5,32
scene_129,5,0,9
scene_489,4,1,75
scene_200,7,5,04
scene_399,5,3,6
scene_502,8,5,45
scene_307,4,2,66
scene_661,6,3,4
scene_231,4,1,36
