scenario,seq_len,ground_truth,answer
scene_8,8,"(5, 6)","1,2"
scene_190,5,"(0, 1)","5,6"
scene_268,5,"(0, 1)","3,4"
scene_504,4,"(2, 3)","5,6"
scene_39,8,"(2, 3)","3,4"
scene_381,6,"(1, 2)","2,3"
scene_262,8,"(1, 2)","3,4"
scene_607,5,"(1, 2)","3,4"
scene_594,5,"(0, 1)","3,4"
scene_138,5,"(0, 1)","4,5"
scene_518,5,"(3, 4)","1,2"
scene_2,8,"(0, 1)","2,3"
scene_598,4,"(0, 1)","4,5"
scene_115,4,"(0, 1)","3,4"
scene_308,8,"(1, 2)","4,5"
scene_620,5,"(1, 2)","4,5"
scene_507,5,"(0, 1)","4,5"
scene_209,7,"(4, 5)","2,3"
scene_101,6,"(1, 2)","5,6"
scene_584,6,"(4, 5)","2,3"
scene_421,7,"(3, 4)","1,2"
scene_176,6,"(1, 2)","6,7"
scene_5,5,"(3, 4)","3,4"
scene_247,4,"(2, 3)","1,2"
scene_86,6,"(2, 3)","3,4"
scene_395,7,"(0, 1)","4,5"
scene_601,4,"(0, 1)","4,5"
scene_627,8,"(5, 6)","3,6"
scene_391,8,"(3, 4)","4,5"
scene_559,5,"(2, 3)","2,3"
scene_150,8,"(2, 3)","8,9"
scene_657,5,"(1, 2)","2,3"
scene_63,4,"(0, 1)","3,4"
scene_325,8,"(6, 7)","3,4"
scene_637,8,"(2, 3)","3,4"
scene_191,6,"(0, 1)","2,3"
scene_14,4,"(0, 1)","8,7"
scene_293,6,"(3, 4)","4,5"
scene_105,4,"(0, 1)","2,4"
scene_400,4,"(1, 2)","6,7"
scene_576,5,"(2, 3)","4,5"
scene_261,6,"(4, 5)","2,3"
scene_520,7,"(2, 3)","2,3"
scene_531,8,"(6, 7)","2,3"
scene_74,5,"(0, 1)","3,4"
scene_347,6,"(3, 4)","4,5"
scene_177,8,"(4, 5)","3,4"
scene_375,6,"(0, 1)","2,3"
scene_172,6,"(3, 4)","4,5"
scene_265,6,"(0, 1)","3,4"
scene_398,8,"(4, 5)","2,3"
scene_24,7,"(2, 3)","3,4"
scene_579,5,"(2, 3)","5,6"
scene_353,7,"(4, 5)","3,6"
scene_118,5,"(1, 2)","2,4"
scene_560,7,"(5, 6)","3,4"
scene_536,6,"(0, 1)","2,3"
scene_484,8,"(0, 1)","7,8"
scene_162,5,"(1, 2)","1,2"
scene_149,6,"(2, 3)","4,5"
scene_626,5,"(0, 1)","4,5"
scene_471,5,"(1, 2)","2,4"
scene_488,8,"(6, 7)","5,6"
scene_222,7,"(0, 1)","4,6"
scene_100,8,"(3, 4)","3,4"
scene_132,4,"(1, 2)","1,4"
scene_212,4,"(1, 2)","4,5"
scene_677,6,"(2, 3)","1,2"
scene_380,8,"(1, 2)","7,8"
scene_10,6,"(2, 3)","2,3"
scene_69,4,"(1, 2)","1,2"
scene_357,7,"(1, 2)","2,3"
scene_42,7,"(5, 6)","5,6"
scene_383,5,"(2, 3)","3,4"
scene_143,8,"(5, 6)","4,5"
scene_501,8,"(5, 6)","1,3"
scene_251,7,"(5, 6)","4,5"
scene_386,4,"(0, 1)","3,4"
scene_198,5,"(1, 2)","5,6"
scene_425,5,"(1, 2)","4,5"
scene_310,8,"(1, 2)","3,4"
scene_426,4,"(1, 2)","2,3"
scene_339,8,"(3, 4)","5,6"
scene_545,6,"(2, 3)","1,2"
scene_350,5,"(1, 2)","3,4"
scene_33,7,"(5, 6)","3,4"
scene_581,4,"(1, 2)","5,6"
scene_349,5,"(0, 1)","4,5"
scene_443,5,"(1, 2)","3,4"
scene_450,5,"(0, 1)","3,4"
scene_534,5,"(2, 3)","3,4"
scene_301,5,"(3, 4)","3,4"
scene_64,5,"(2, 3)","4,5"
scene_92,4,"(0, 1)","3,4"
scene_254,5,"(1, 2)","3,4"
scene_56,6,"(4, 5)","4,5"
scene_361,5,"(2, 3)","2,3"
scene_40,7,"(1, 2)","3,4"
scene_185,6,"(3, 4)","2,3"
scene_555,4,"(1, 2)","3,4"
scene_690,5,"(3, 4)","5,6"
scene_416,8,"(1, 2)","6,7"
scene_264,8,"(2, 3)","6,5"
scene_592,5,"(1, 2)","3,4"
scene_193,4,"(0, 1)","2,3"
scene_311,4,"(2, 3)","3,4"
scene_15,5,"(2, 3)","3,4"
scene_187,6,"(4, 5)","4,5"
scene_617,4,"(1, 2)","4,5"
scene_525,7,"(4, 5)","6,7"
scene_509,7,"(3, 4)","5,6"
scene_227,4,"(1, 2)","4,5"
scene_642,4,"(0, 1)","1,2"
scene_297,8,"(1, 2)","3,4"
scene_554,4,"(2, 3)","3,4"
scene_28,8,"(3, 4)","4,5"
scene_327,4,"(0, 1)","3,4"
scene_655,5,"(0, 1)","3,4"
scene_13,7,"(0, 1)","5,6"
scene_612,4,"(0, 1)","3,4"
scene_553,8,"(5, 6)","1,2"
scene_510,5,"(1, 2)","3,4"
scene_96,8,"(6, 7)","5,6"
scene_548,4,"(2, 3)","3,4"
scene_237,4,"(1, 2)","3,4"
scene_219,4,"(2, 3)","2,3"
scene_180,4,"(0, 1)","3,4"
scene_568,4,"(1, 2)","2,3"
scene_359,8,"(3, 4)","4,5"
scene_256,6,"(4, 5)","4,5"
scene_377,5,"(3, 4)","3,4"
