scenario,seq_len,ground_truth,answer
scene_166,7,False,no
scene_649,4,True,no
scene_226,8,True,no
scene_252,5,False,yes
scene_693,7,False,yes
scene_327,4,False,no
scene_301,5,True,no
scene_148,4,True,no
scene_439,7,True,yes
scene_399,5,False,no
scene_262,8,False,yes
scene_585,5,False,no
scene_118,5,False,yes
scene_339,8,True,no
scene_480,8,False,no
scene_672,8,False,no
scene_450,5,True,no
scene_568,4,False,no
scene_81,5,True,no
scene_632,8,True,no
scene_75,4,True,no
scene_128,6,True,yes
scene_109,7,False,yes
scene_308,8,False,yes
scene_201,5,False,yes
scene_323,6,False,no
scene_317,7,False,yes
scene_429,5,False,yes
scene_639,7,True,yes
scene_246,6,True,yes
scene_54,6,False,no
scene_440,8,True,no
scene_340,7,False,no
scene_80,6,True,yes
scene_523,6,False,no
scene_78,5,False,no
scene_111,8,False,yes
scene_1,4,False,no
scene_275,6,True,yes
scene_59,8,False,no
scene_211,6,True,no
scene_285,5,True,no
scene_517,7,False,no
scene_695,4,False,no
scene_514,7,True,yes
scene_153,8,True,no
scene_613,4,True,yes
scene_570,7,True,no
scene_237,4,False,no
scene_343,5,True,yes
scene_197,6,False,yes
scene_470,7,False,yes
scene_548,4,True,no
scene_640,7,False,yes
scene_600,7,True,yes
scene_292,4,True,no
scene_404,7,False,yes
scene_34,6,True,yes
scene_467,4,True,yes
scene_541,7,True,no
scene_103,5,True,no
scene_267,7,False,yes
scene_381,6,True,no
scene_591,5,True,yes
scene_512,5,False,yes
scene_630,5,True,yes
scene_401,6,True,yes
scene_504,4,False,no
scene_437,6,True,yes
scene_478,6,False,yes
scene_682,5,True,yes
scene_83,5,True,yes
scene_363,6,False,no
scene_102,8,False,no
scene_671,6,False,yes
scene_124,4,True,no
scene_425,5,True,no
scene_660,7,False,no
scene_122,7,True,no
scene_403,8,True,no
scene_593,6,True,no
scene_210,5,False,no
scene_411,8,False,no
scene_264,8,False,yes
scene_69,4,True,no
scene_129,5,True,no
scene_251,7,True,yes
scene_324,4,False,yes
scene_332,5,False,no
scene_277,5,False,no
scene_274,5,True,yes
scene_130,6,True,no
scene_180,4,False,no
scene_526,6,False,yes
scene_136,5,False,yes
scene_644,6,True,no
scene_602,6,True,no
scene_436,5,False,yes
scene_675,6,True,yes
scene_315,5,False,no
scene_575,7,False,no
scene_546,7,False,yes
scene_181,4,True,yes
scene_438,8,True,yes
scene_205,7,True,no
scene_590,8,False,no
scene_60,6,True,no
scene_557,8,False,no
scene_178,7,False,no
scene_18,7,False,no
scene_610,6,False,yes
scene_405,6,True,no
scene_27,8,True,no
scene_123,4,True,no
scene_328,8,True,no
scene_142,6,True,no
scene_265,6,True,yes
scene_636,8,True,yes
scene_637,8,False,no
scene_189,4,True,yes
scene_32,8,False,yes
scene_280,4,True,yes
scene_140,4,True,no
scene_188,8,True,no
scene_159,5,False,no
scene_42,7,False,no
scene_596,7,False,no
scene_482,7,True,yes
scene_511,8,False,no
scene_22,8,True,no
scene_453,5,False,yes
scene_331,8,True,no
scene_683,4,True,yes
scene_304,4,True,no
scene_287,4,False,yes
scene_569,7,True,no
scene_47,6,False,yes
scene_445,4,False,no
scene_669,7,True,no
scene_298,6,True,no
scene_476,8,True,yes
scene_641,5,True,yes
scene_245,7,False,no
scene_595,4,True,yes
scene_93,6,True,no
scene_13,7,False,no
scene_125,8,False,yes
scene_518,5,False,no
scene_416,8,False,yes
scene_555,4,True,yes
scene_433,8,True,yes
scene_572,6,True,yes
scene_91,8,True,no
scene_670,4,False,no
scene_300,4,True,yes
scene_676,6,True,yes
scene_448,6,False,no
scene_681,6,True,no
scene_273,6,True,no
scene_539,6,False,no
scene_135,8,False,no
scene_358,4,False,no
scene_61,5,True,no
scene_608,6,False,yes
scene_359,8,False,no
scene_342,5,True,no
scene_395,7,False,yes
scene_392,7,True,yes
scene_154,7,False,yes
scene_283,4,True,yes
scene_260,7,False,yes
scene_603,5,False,no
scene_525,7,False,no
scene_312,8,True,no
scene_441,5,True,yes
scene_652,5,False,yes
scene_371,7,True,yes
scene_391,8,True,no
scene_333,6,True,no
scene_544,4,True,yes
scene_447,4,True,no
scene_469,8,False,yes
scene_692,4,False,no
scene_393,8,True,no
scene_348,8,False,no
scene_410,4,True,yes
scene_63,4,False,yes
scene_434,5,False,no
scene_427,8,True,no
scene_240,5,True,no
scene_561,7,False,no
scene_509,7,False,no
scene_217,4,False,yes
scene_220,6,True,yes
scene_258,4,True,yes
scene_623,5,True,no
scene_631,5,True,no
scene_587,4,False,yes
scene_141,6,True,no
scene_624,7,False,no
