scenario,seq_len,ground_truth,answer,lpips,seq_lpips
scene_8_003508,7,False,yes,0.050641,0.078057
scene_18_008839,8,True,no,0.190523,0.163707
scene_13_006089,7,True,yes,0.066962,0.127718
scene_5_002377,6,False,yes,0.100395,0.102512
scene_15_007173,7,False,yes,0.111420,0.129384
scene_10_004945,7,False,yes,0.150851,0.170975
scene_17_008496,8,True,no,0.200736,0.161225
scene_5_002237,6,True,yes,0.087245,0.075581
scene_2_000883,8,True,yes,0.069206,0.126116
scene_16_007935,6,False,no,0.037184,0.100094
scene_10_004522,8,False,yes,0.091043,0.168734
scene_8_003591,8,False,yes,0.063309,0.085977
scene_10_004635,7,False,yes,0.113828,0.132292
scene_8_003604,8,True,yes,0.051367,0.084866
scene_16_007864,6,False,no,0.089545,0.132348
scene_2_000775,5,False,yes,0.128690,0.105987
scene_7_003036,5,True,yes,0.120490,0.149981
scene_8_003734,8,False,yes,0.031883,0.132746
scene_15_007132,8,True,yes,0.082098,0.128735
scene_6_002571,8,True,yes,0.037259,0.078167
scene_2_000578,7,True,yes,0.093930,0.095478
scene_19_009030,8,True,yes,0.042237,0.115024
scene_3_001340,8,False,yes,0.070468,0.100716
scene_11_005060,5,False,yes,0.056052,0.105833
scene_17_008201,8,False,yes,0.180826,0.146975
scene_5_002227,5,False,yes,0.039466,0.072843
scene_10_004965,7,False,no,0.087637,0.139365
scene_8_003662,8,False,yes,0.067542,0.068895
scene_5_002388,7,True,no,0.090646,0.117688
scene_9_004045,5,True,yes,0.074561,0.119169
scene_2_000915,7,False,yes,0.038382,0.092893
scene_10_004581,7,False,yes,0.104616,0.120463
scene_13_006386,8,True,yes,0.138976,0.136888
scene_14_006882,8,False,yes,0.100591,0.134113
scene_3_001496,7,False,yes,0.062498,0.089470
scene_2_000638,7,False,yes,0.129076,0.128296
scene_12_005687,8,False,no,0.065550,0.177168
scene_19_009346,6,True,yes,0.155464,0.159228
scene_15_007469,8,False,no,0.144822,0.149546
scene_7_003183,8,True,yes,0.136327,0.148548
scene_12_005535,7,True,yes,0.118017,0.134658
scene_11_005236,6,True,yes,0.158212,0.112848
scene_10_004721,8,False,yes,0.151189,0.180014
scene_13_006373,7,True,yes,0.116449,0.113986
scene_16_007822,7,True,yes,0.055600,0.120943
scene_2_000721,7,True,yes,0.127443,0.154668
scene_18_008805,8,False,yes,0.040559,0.176367
scene_19_009134,8,True,yes,0.183334,0.175198
scene_12_005924,8,False,no,0.042429,0.147602
scene_11_005459,7,False,yes,0.104520,0.137004
scene_12_005618,8,True,yes,0.082187,0.134422
scene_8_003878,8,False,yes,0.039581,0.072068
scene_5_002458,5,True,no,0.064872,0.097064
scene_15_007030,7,True,yes,0.083379,0.138779
scene_18_008874,8,False,no,0.094484,0.172662
scene_11_005240,6,True,yes,0.091958,0.109777
scene_11_005246,8,True,yes,0.059457,0.121330
scene_10_004685,8,True,yes,0.099277,0.197902
scene_6_002556,7,True,yes,0.036471,0.077687
scene_18_008672,7,False,yes,0.095732,0.156473
scene_15_007059,6,True,no,0.071625,0.122565
scene_3_001195,8,True,yes,0.047652,0.074411
scene_16_007944,8,True,yes,0.034695,0.083046
scene_9_004202,4,False,yes,0.071775,0.050031
scene_11_005124,7,True,yes,0.120324,0.079674
scene_13_006304,8,True,yes,0.085000,0.135586
scene_16_007663,8,False,yes,0.097653,0.114006
scene_12_005945,7,True,yes,0.170665,0.147639
scene_12_005637,8,False,yes,0.094722,0.129279
scene_18_008806,8,True,yes,0.043260,0.156172
scene_4_001759,8,True,yes,0.167629,0.206321
scene_5_002085,6,False,yes,0.094473,0.084500
scene_13_006299,8,False,yes,0.114444,0.146698
scene_12_005756,5,False,yes,0.150917,0.131935
