scenario,seq_len,ground_truth,answer,lpips
scene_02_75,4,False,yes,0.801607
scene_14_68,5,True,yes,0.162579
scene_04_66,5,True,yes,0.377478
scene_03_51,5,False,yes,0.467936
scene_02_77,5,False,yes,0.701650
scene_22_02,4,False,no,0.586959
scene_06_54,5,True,yes,0.595030
scene_06_45,4,True,yes,0.487986
scene_07_05,4,True,yes,0.555909
scene_22_20,4,False,yes,0.719707
scene_06_22,4,False,yes,0.818031
scene_01_66,5,False,yes,0.668880
scene_01_86,5,False,yes,0.426627
scene_09_45,5,True,yes,0.641086
scene_07_14,4,False,yes,0.673949
scene_07_42,4,False,no,0.638244
scene_26_97,5,True,yes,0.573974
scene_26_12,4,False,yes,0.125153
scene_01_39,5,True,yes,0.353989
scene_01_167,4,True,yes,0.624681
scene_22_12,4,True,yes,0.445701
scene_02_10,5,True,yes,0.471184
scene_10_13,5,False,yes,0.733461
scene_14_52,4,False,yes,0.707845
scene_13_30,5,False,yes,0.651130
scene_09_12,5,False,yes,0.719698
scene_17_49,4,False,yes,0.309409
scene_26_65,4,True,yes,0.282481
scene_22_26,4,True,yes,0.751304
scene_18_09,5,False,yes,0.729609
scene_01_69,5,False,yes,0.707758
scene_17_142,4,False,yes,0.541797
scene_26_34,4,False,yes,0.097100
scene_09_80,4,True,yes,0.819570
scene_17_109,5,False,no,0.092098
scene_01_45,5,False,yes,0.642991
scene_04_81,4,False,yes,0.600446
scene_04_07,4,False,yes,0.620610
scene_04_124,4,True,yes,0.647393
scene_02_50,5,False,yes,0.748838
scene_07_85,4,True,yes,0.654680
scene_06_59,5,True,yes,0.811010
scene_26_81,5,False,yes,0.332528
scene_26_77,4,False,yes,0.639899
scene_17_85,4,True,yes,0.589924
scene_01_166,5,True,yes,0.596046
scene_10_34,5,True,yes,0.223169
scene_04_126,4,True,yes,0.209295
scene_07_74,4,False,yes,0.724931
scene_17_35,5,True,yes,0.475869
scene_02_86,5,False,yes,0.678717
scene_17_124,4,False,yes,0.448091
scene_26_103,5,True,yes,0.598131
scene_01_189,5,False,no,0.151974
scene_18_27,5,True,yes,0.499728
scene_09_46,5,True,yes,0.664820
scene_04_128,4,True,yes,0.635171
scene_01_19,5,True,yes,0.222441
scene_01_130,5,True,yes,0.607461
scene_26_51,4,True,yes,0.140967
scene_10_19,5,False,yes,0.254129
scene_01_94,5,False,yes,0.719291
scene_02_64,5,True,yes,0.451258
scene_01_132,5,True,yes,0.496437
scene_01_03,4,False,yes,0.642172
scene_03_29,4,True,yes,0.658708
scene_03_60,5,False,yes,0.778478
scene_14_59,4,True,yes,0.205142
scene_04_45,4,False,no,0.521463
scene_05_89,5,True,yes,0.725975
scene_03_33,5,True,yes,0.358479
scene_17_110,4,False,yes,0.529507
scene_14_45,5,False,yes,0.630630
scene_03_41,4,False,yes,0.812273
scene_17_167,4,True,yes,0.554457
scene_05_55,5,True,yes,0.654971
scene_14_28,5,False,yes,0.163068
scene_07_89,4,True,yes,0.745613
scene_10_36,5,True,yes,0.300687
scene_04_11,4,True,yes,0.689821
scene_26_33,5,False,yes,0.345966
scene_01_82,5,True,yes,0.758817
scene_06_28,4,False,yes,0.558171
scene_04_77,5,True,yes,0.650564
scene_09_76,4,False,yes,0.652534
scene_07_34,4,False,yes,0.670521
scene_17_69,4,True,yes,0.611778
scene_07_83,4,False,yes,0.679437
scene_01_104,5,False,yes,0.402188
scene_02_17,4,False,yes,0.686762
scene_13_08,4,False,yes,0.457396
scene_18_11,4,True,yes,0.741730
scene_17_87,4,True,yes,0.177798
scene_02_12,5,False,yes,0.670291
scene_03_16,4,False,yes,0.747901
scene_03_69,5,False,yes,0.298822
scene_14_26,4,True,yes,0.755256
scene_01_188,5,True,yes,0.315257
scene_26_117,4,True,yes,0.200874
scene_17_123,4,False,yes,0.144192
scene_01_31,5,False,yes,0.652631
scene_02_32,5,False,yes,0.670887
scene_04_120,5,True,yes,0.865986
scene_02_76,5,False,yes,0.290981
scene_17_169,5,True,yes,0.847429
scene_14_54,4,False,yes,0.731168
scene_02_63,5,False,yes,0.669587
scene_09_02,5,False,yes,0.722583
scene_02_45,5,False,yes,0.242399
scene_03_18,5,False,yes,0.606747
scene_14_55,4,True,yes,0.150830
scene_05_63,4,False,yes,0.633529
scene_02_49,5,True,yes,0.724898
scene_04_83,4,True,yes,0.771935
scene_06_27,4,True,yes,0.267517
scene_22_40,5,False,yes,0.402270
scene_22_15,5,True,yes,0.591518
scene_05_64,5,True,yes,0.237962
scene_01_127,5,True,yes,0.280381
scene_10_02,5,False,yes,0.202997
scene_01_120,5,True,yes,0.562734
scene_17_131,4,True,yes,0.602051
scene_03_37,5,True,yes,0.136769
scene_01_129,5,False,yes,0.649362
scene_17_126,4,False,yes,0.501345
scene_07_26,4,False,no,0.789497
scene_17_93,4,True,yes,0.142057
scene_02_16,4,False,yes,0.459520
scene_01_100,5,True,yes,0.563329
scene_03_24,4,False,yes,0.642356
scene_13_10,5,True,yes,0.840802
scene_26_93,5,True,yes,0.348245
scene_17_117,4,False,yes,0.679439
scene_01_30,5,False,yes,0.327111
scene_04_50,4,True,yes,0.632719
scene_05_62,4,False,yes,0.684345
scene_17_42,4,False,yes,0.787102
scene_07_60,4,True,yes,0.731365
scene_14_64,4,True,yes,0.767006
scene_22_41,4,True,no,0.601641
scene_18_17,5,True,yes,0.512109
scene_07_41,4,False,yes,0.737705
scene_17_127,4,True,yes,0.220942
scene_13_24,5,True,yes,0.117874
scene_07_40,4,False,yes,0.261148
scene_17_132,4,False,yes,0.347998
scene_01_81,4,False,yes,0.703888
scene_26_84,5,True,yes,0.252284
scene_04_80,4,True,yes,0.458315
scene_26_28,4,False,yes,0.604049
scene_01_34,5,True,yes,0.294011
scene_17_83,4,False,yes,0.575121
scene_01_163,5,True,yes,0.627832
