model_prediction_first,model_prediction_second,ground_truth_first,ground_truth_second,prediction_series_length
1,3,2,3,3
2,3,2,3,5
2,3,5,6,7
1,2,2,3,4
1,4,2,3,4
3,4,3,4,4
2,3,2,3,4
2,3,1,2,4
3,5,1,2,9
2,3,1,2,4
2,3,2,3,6
2,3,2,3,4
5,6,7,8,8
6,7,6,7,8
4,5,7,8,8
1,2,2,3,4
1,2,5,6,6
2,3,1,2,4
2,3,2,3,4
1,2,1,2,2
2,3,2,3,9
1,2,1,2,4
1,4,1,2,4
2,3,3,4,4
2,4,3,4,4
2,3,2,3,4
0,0,3,4,4
0,0,1,2,6
1,2,1,2,4
2,3,4,5,8
1,2,1,2,2
4,5,4,5,6
0,0,1,2,4
3,4,3,4,4
1,2,1,2,3
2,3,1,2,4
2,3,3,4,5
5,6,5,6,6
3,4,1,2,4
0,0,3,4,7
1,2,1,2,4
0,0,3,4,4
2,3,3,4,4
1,2,3,4,4
5,6,5,6,9
1,2,1,2,3
2,3,2,3,4
3,4,1,2,4
3,4,3,4,4
0,0,6,7,9
