scenario,seq_len,ground_truth,answer,lpips
scene_8,8,False,yes,0.356117
scene_190,5,True,no,0.595013
scene_268,5,True,no,0.163907
scene_504,4,False,yes,0.331551
scene_39,8,False,yes,0.331703
scene_381,6,False,yes,0.399631
scene_262,8,True,yes,0.441489
scene_607,5,True,yes,0.311413
scene_594,5,True,yes,0.467189
scene_138,5,False,yes,0.528198
scene_518,5,False,yes,0.025144
scene_2,8,False,yes,0.272041
scene_598,4,True,yes,0.230559
scene_115,4,False,no,0.417810
scene_308,8,False,yes,0.388788
scene_620,5,True,yes,0.204791
scene_507,5,False,yes,0.546064
scene_209,7,True,no,0.268464
scene_101,6,True,no,0.214033
scene_584,6,True,yes,0.209632
scene_421,7,True,no,0.324818
scene_176,6,False,no,0.457557
scene_5,5,False,no,0.275169
scene_247,4,False,yes,0.332305
scene_86,6,False,yes,0.074119
scene_395,7,False,yes,0.425017
scene_601,4,True,yes,0.017467
scene_627,8,True,no,0.384381
scene_391,8,False,no,0.465579
scene_559,5,False,no,0.175729
scene_150,8,False,yes,0.422644
scene_657,5,False,no,0.534415
scene_63,4,True,no,0.451547
scene_325,8,False,no,0.219980
scene_637,8,False,no,0.375464
scene_191,6,False,no,0.014725
scene_14,4,False,yes,0.593368
scene_293,6,True,yes,0.581043
scene_105,4,False,no,0.353199
scene_400,4,True,yes,0.356904
scene_576,5,True,no,0.422418
scene_261,6,False,yes,0.532218
scene_520,7,False,no,0.580698
scene_531,8,True,no,0.181392
scene_74,5,True,no,0.279848
scene_347,6,True,no,0.410717
scene_177,8,True,yes,0.325659
scene_375,6,False,yes,0.124424
scene_172,6,True,yes,0.394779
scene_265,6,False,yes,0.399339
scene_398,8,False,yes,0.481540
scene_24,7,True,yes,0.461222
scene_579,5,False,yes,0.505654
scene_353,7,True,no,0.496372
scene_118,5,True,no,0.434890
scene_560,7,True,yes,0.341556
scene_536,6,True,no,0.405228
scene_484,8,True,no,0.363015
scene_162,5,True,yes,0.562323
scene_149,6,False,yes,0.364326
scene_626,5,True,yes,0.339613
scene_471,5,True,yes,0.003670
scene_488,8,False,no,0.045643
scene_222,7,True,yes,0.040473
scene_100,8,False,no,0.245364
scene_132,4,True,yes,0.196784
scene_212,4,False,no,0.340492
scene_677,6,True,no,0.384888
scene_380,8,True,yes,0.327624
scene_10,6,False,no,0.513252
scene_69,4,False,yes,0.392631
scene_357,7,False,yes,0.043940
scene_42,7,False,yes,0.041532
scene_383,5,True,yes,0.306386
scene_143,8,False,yes,0.475975
scene_501,8,False,yes,0.365091
scene_251,7,True,yes,0.188311
scene_386,4,True,no,0.545451
scene_198,5,True,yes,0.396065
scene_425,5,True,yes,0.404063
scene_310,8,False,yes,0.006658
scene_426,4,False,no,0.472921
scene_339,8,False,yes,0.302775
scene_545,6,True,yes,0.271132
scene_350,5,False,yes,0.363224
scene_33,7,False,yes,0.443367
scene_581,4,True,yes,0.422756
scene_349,5,False,yes,0.296758
scene_443,5,False,yes,0.304525
scene_450,5,False,no,0.448047
scene_534,5,False,no,0.567728
scene_301,5,True,yes,0.456685
scene_64,5,True,yes,0.486160
scene_92,4,False,no,0.475172
scene_254,5,False,yes,0.601178
scene_56,6,False,yes,0.380503
scene_361,5,True,yes,0.431479
scene_40,7,True,yes,0.370703
scene_185,6,False,yes,0.373307
scene_555,4,True,yes,0.501645
scene_690,5,False,no,0.234845
scene_416,8,False,no,0.503627
scene_264,8,False,yes,0.213735
scene_592,5,True,yes,0.285361
scene_193,4,False,yes,0.231555
scene_311,4,True,yes,0.005425
scene_15,5,False,no,0.467690
scene_187,6,True,yes,0.467105
scene_617,4,False,yes,0.551209
scene_525,7,False,no,0.502894
scene_509,7,False,no,0.238554
scene_227,4,False,yes,0.065184
scene_642,4,True,yes,0.437894
scene_297,8,False,no,0.272977
scene_554,4,True,yes,0.377115
scene_28,8,True,yes,0.113342
scene_327,4,True,yes,0.007206
scene_655,5,True,yes,0.365417
scene_13,7,False,yes,0.383237
scene_612,4,True,yes,0.515562
scene_553,8,False,yes,0.416492
scene_510,5,True,yes,0.249288
scene_96,8,False,yes,0.496556
scene_548,4,True,no,0.130508
scene_237,4,True,yes,0.280904
scene_219,4,True,yes,0.074492
scene_180,4,False,no,0.490309
scene_568,4,False,no,0.350365
scene_359,8,False,yes,0.347031
scene_256,6,True,yes,0.414288
scene_377,5,False,yes,0.418116
scene_414,6,True,yes,0.377664
scene_174,5,False,yes,0.015431
scene_106,4,True,no,0.388014
scene_116,4,True,yes,0.473564
scene_290,6,True,yes,0.471903
scene_599,5,True,yes,0.324477
scene_62,5,False,yes,0.454022
scene_207,7,True,yes,0.297708
scene_671,6,True,yes,0.457320
scene_516,6,True,no,0.462204
scene_639,7,True,yes,0.470976
scene_524,8,False,yes,0.364937
scene_280,4,True,no,0.266821
scene_60,6,True,no,0.062330
scene_23,7,False,no,0.536612
scene_431,7,False,yes,0.360310
scene_532,5,False,no,0.423047
scene_600,7,False,yes,0.289628
scene_411,8,True,no,0.188902
scene_43,5,True,yes,0.035924
scene_567,5,False,yes,0.338665
scene_213,5,True,yes,0.173686
scene_602,6,False,yes,0.491566
scene_158,4,True,yes,0.303525
scene_312,8,True,yes,0.072585
scene_119,8,False,yes,0.343026
scene_564,6,False,yes,0.504665
scene_542,7,False,no,0.208330
scene_513,7,False,yes,0.234649
scene_423,8,True,no,0.268384
scene_326,5,True,yes,0.323730
scene_622,8,False,yes,0.384373
scene_652,5,False,no,0.465949
scene_204,4,False,no,0.520080
scene_140,4,True,no,0.387199
scene_255,4,True,no,0.347758
scene_77,7,True,no,0.137173
scene_492,6,True,yes,0.424429
scene_321,4,True,no,0.383011
scene_650,4,False,no,0.407389
scene_406,4,True,no,0.437926
scene_557,8,False,yes,0.493143
scene_378,8,False,no,0.349030
scene_436,5,False,yes,0.357286
scene_609,5,True,no,0.375039
scene_306,4,True,yes,0.459203
scene_412,7,False,no,0.245089
scene_340,7,True,yes,0.263391
scene_632,8,True,yes,0.454989
scene_272,8,True,no,0.122941
scene_573,7,True,yes,0.471950
scene_192,6,False,yes,0.284243
scene_455,8,True,yes,0.037053
scene_129,5,False,yes,0.309680
scene_489,4,True,yes,0.345501
scene_200,7,False,yes,0.032155
scene_399,5,False,yes,0.111847
scene_502,8,True,yes,0.290983
scene_307,4,False,no,0.352686
scene_661,6,True,yes,0.487297
scene_231,4,False,no,0.248524
scene_461,5,False,yes,0.382476
scene_241,5,True,no,0.396739
scene_110,6,True,yes,0.463927
scene_490,5,False,no,0.538895
scene_503,6,False,no,0.490129
scene_171,7,False,no,0.121972
scene_188,8,False,yes,0.326047
scene_368,6,True,yes,0.474695
scene_184,5,True,yes,0.493359
scene_315,5,False,yes,0.459051
scene_417,8,True,yes,0.377229
scene_365,7,False,yes,0.431385
scene_547,5,False,yes,0.310474
scene_636,8,True,no,0.306228
scene_437,6,False,no,0.427597
scene_614,6,False,yes,0.280972
scene_285,5,True,yes,0.023029
scene_480,8,False,yes,0.204872
scene_147,7,True,no,0.246899
scene_457,6,True,yes,0.410415
scene_454,8,False,no,0.256159
scene_449,6,True,no,0.381610
scene_155,6,False,yes,0.475392
scene_286,5,False,yes,0.231274
scene_335,6,True,yes,0.582925
scene_201,5,False,yes,0.096550
scene_571,5,True,yes,0.384589
scene_88,6,True,yes,0.537602
scene_404,7,False,yes,0.454046
scene_152,8,False,yes,0.240638
scene_649,4,False,yes,0.074451
scene_9,8,True,yes,0.413092
scene_341,4,True,yes,0.264105
scene_148,4,False,yes,0.284771
scene_45,6,False,no,0.195539
scene_302,4,False,no,0.473429
scene_468,6,False,yes,0.073515
scene_631,5,True,no,0.470922
scene_435,6,False,yes,0.057435
scene_393,8,True,yes,0.008605
scene_137,7,False,no,0.312983
scene_215,4,True,yes,0.545119
scene_585,5,False,yes,0.356216
scene_540,5,False,no,0.337177
scene_130,6,True,no,0.402712
scene_164,6,False,no,0.394959
scene_686,6,False,yes,0.442504
scene_243,5,False,yes,0.500272
scene_197,6,True,yes,0.339635
scene_17,6,False,yes,0.448141
scene_221,4,True,yes,0.006467
scene_453,5,False,yes,0.584062
scene_424,4,False,yes,0.374741
scene_392,7,True,yes,0.507567
scene_593,6,True,yes,0.342666
scene_168,8,False,no,0.191690
scene_666,6,True,yes,0.205769
scene_294,6,True,no,0.493839
scene_58,8,True,yes,0.384679
scene_680,5,True,yes,0.564886
scene_552,6,True,yes,0.415319
scene_266,5,False,yes,0.382190
scene_78,5,True,yes,0.246732
scene_179,7,False,yes,0.383770
scene_514,7,False,yes,0.008548
scene_102,8,True,yes,0.286905
scene_113,8,True,yes,0.002428
scene_240,5,True,yes,0.036734
scene_544,4,True,no,0.543808
scene_195,6,True,no,0.493573
scene_669,7,True,no,0.387487
scene_634,8,True,no,0.520316
scene_136,5,True,yes,0.318161
scene_472,5,False,no,0.500608
scene_474,4,True,yes,0.013456
scene_303,4,False,no,0.374520
scene_91,8,False,yes,0.005272
scene_12,5,False,no,0.446301
scene_211,6,True,yes,0.318248
scene_90,6,True,yes,0.526194
scene_83,5,False,yes,0.503528
scene_578,6,False,no,0.281884
scene_320,8,True,yes,0.338560
scene_430,8,False,yes,0.376110
scene_476,8,False,yes,0.231827
scene_52,4,True,no,0.438976
scene_522,5,True,yes,0.128243
scene_316,5,True,no,0.254572
scene_183,5,False,yes,0.399620
scene_444,4,False,yes,0.491895
scene_186,8,False,no,0.477135
scene_157,5,True,yes,0.050452
