scenario,seq_len,ground_truth,answer
scene_16_007656,8,"(5, 6)","6,7"
scene_3_001163,8,"(0, 1)","5,6"
scene_4_001837,11,"(0, 1)","11,12"
scene_7_003423,10,"(4, 5)","7,8"
scene_19_009222,9,"(3, 4)","7,8"
scene_14_006823,9,"(3, 4)","7,8"
scene_8_003746,11,"(2, 3)","3,4"
scene_6_002635,8,"(5, 6)","3,4"
scene_10_004960,10,"(1, 2)","7,8"
scene_19_009083,8,"(5, 6)","11,12"
scene_19_009404,9,"(1, 2)","3,4"
scene_9_004496,9,"(6, 7)","3,4"
scene_20_009625,14,"(0, 1)","11,12"
scene_16_007646,9,"(0, 1)","7,8"
scene_3_001195,8,"(0, 1)","5,6"
scene_8_003640,9,"(3, 4)","4,5"
scene_7_003375,11,"(3, 4)","3,4"
scene_16_007682,8,"(4, 5)","2,3"
scene_14_006662,11,"(9, 10)","11,12"
scene_2_000704,13,"(0, 1)","7,8"
scene_7_003334,9,"(3, 4)","5,6"
scene_6_002522,11,"(8, 9)","5,6"
scene_18_008500,8,"(3, 4)","3,4"
scene_18_008527,8,"(1, 2)","5,6"
scene_17_008226,8,"(3, 4)","5,6"
scene_1_000152,11,"(9, 10)","12,13"
scene_14_006585,10,"(4, 5)","5,6"
scene_14_006564,10,"(0, 1)","13,14"
scene_16_007997,8,"(6, 7)","11,12"
scene_15_007114,10,"(2, 3)","3,4"
scene_20_009960,8,"(5, 6)","11,12"
scene_20_009592,9,"(6, 7)","13,14"
scene_10_004638,8,"(2, 3)","5,6"
scene_13_006331,10,"(4, 5)","3,4"
scene_17_008355,8,"(1, 2)","4,5"
scene_1_000157,8,"(1, 2)","4,5"
scene_2_000701,11,"(5, 6)","10,11"
scene_2_000670,9,"(1, 2)","6,7"
scene_12_005700,11,"(1, 2)","5,6"
scene_13_006073,11,"(6, 7)","10,11"
scene_13_006453,8,"(0, 1)","4,5"
scene_1_000045,8,"(2, 3)","7,8"
scene_16_007728,9,"(5, 6)","10,11"
scene_13_006293,9,"(4, 5)","13,14"
scene_9_004273,16,"(12, 13)","13,14"
scene_1_000178,10,"(0, 1)","2,3"
scene_8_003654,8,"(5, 6)","4,5"
scene_18_008566,9,"(7, 8)","6,7"
scene_1_000415,9,"(1, 2)","5,6"
scene_14_006521,10,"(6, 7)","11,12"
scene_13_006221,9,"(1, 2)","6,7"
scene_8_003829,9,"(4, 5)","9,10"
scene_17_008377,9,"(5, 6)","10,11"
scene_15_007332,10,"(3, 4)","14,15"
scene_1_000085,10,"(1, 2)","5,6"
scene_18_008699,8,"(0, 1)","12,13"
scene_2_000661,10,"(3, 4)","14,15"
scene_14_006692,8,"(6, 7)","5,6"
scene_17_008271,10,"(4, 5)","3,4"
scene_18_008624,8,"(0, 1)","7,8"
scene_16_007898,10,"(3, 4)","13,14"
scene_7_003176,11,"(1, 2)","13,14"
scene_12_005973,9,"(6, 7)","13,14"
scene_1_000049,11,"(4, 5)","2,3"
scene_6_002776,12,"(7, 8)","5,6"
scene_1_000057,9,"(5, 6)","10,11"
scene_3_001067,9,"(2, 3)","9,10"
scene_19_009478,10,"(5, 6)","11,12"
scene_4_001714,9,"(5, 6)","5,6"
scene_14_006644,11,"(3, 4)","1,2"
scene_12_005931,9,"(4, 5)","5,6"
scene_7_003260,12,"(10, 11)","10,11"
scene_10_004736,9,"(1, 2)","8,9"
scene_4_001514,11,"(9, 10)","1,2"
scene_6_002530,8,"(5, 6)","5,6"
scene_2_000522,9,"(2, 3)","7,8"
scene_14_006828,8,"(4, 5)","4,5"
scene_15_007163,11,"(3, 4)","6,7"
scene_13_006116,9,"(2, 3)","11,12"
scene_2_000696,10,"(7, 8)","1,2"
scene_6_002623,10,"(6, 7)","4,5"
scene_4_001748,12,"(4, 5)","10,11"
scene_3_001343,8,"(5, 6)","5,6"
scene_3_001482,12,"(8, 9)","13,14"
scene_8_003717,9,"(3, 4)","5,6"
scene_2_000524,11,"(5, 6)","10,11"
scene_13_006451,12,"(0, 1)","6,7"
scene_8_003749,11,"(3, 4)","5,6"
scene_2_000783,9,"(0, 1)","7,8"
scene_14_006909,9,"(5, 6)","1,2"
scene_14_006813,10,"(6, 7)","2,3"
scene_13_006472,10,"(4, 5)","5,6"
scene_15_007110,9,"(1, 2)","3,4"
scene_6_002682,16,"(3, 4)","13,14"
scene_7_003272,11,"(9, 10)","12,13"
scene_13_006339,9,"(5, 6)","8,9"
scene_1_000251,11,"(3, 4)","4,5"
scene_18_008930,9,"(7, 8)","6,7"
scene_1_000339,12,"(6, 7)","10,11"
scene_13_006016,10,"(7, 8)","2,3"
scene_10_004781,8,"(1, 2)","10,11"
scene_2_000552,9,"(4, 5)","1,2"
scene_17_008378,9,"(2, 3)","12,13"
scene_19_009219,11,"(3, 4)","3,4"
scene_17_008197,8,"(5, 6)","7,8"
scene_14_006794,9,"(4, 5)","2,3"
scene_14_006517,11,"(9, 10)","12,13"
scene_17_008328,8,"(3, 4)","1,2"
scene_8_003948,8,"(4, 5)","5,6"
scene_17_008364,8,"(3, 4)","12,13"
scene_9_004441,15,"(5, 6)","6,7"
scene_13_006068,10,"(3, 4)","15,16"
scene_3_001167,9,"(2, 3)","11,12"
scene_17_008147,9,"(7, 8)","6,7"
scene_5_002496,8,"(0, 1)","1,2"
scene_16_007585,8,"(6, 7)","11,12"
scene_7_003419,11,"(0, 1)","15,16"
scene_17_008202,12,"(1, 2)","10,11"
scene_7_003387,12,"(2, 3)","4,5"
scene_14_006575,10,"(2, 3)","10,11"
scene_14_006677,11,"(6, 7)","3,4"
scene_14_006892,8,"(4, 5)","13,14"
scene_12_005848,8,"(0, 1)","1,2"
scene_15_007257,11,"(6, 7)","5,6"
scene_3_001342,9,"(6, 7)","5,6"
scene_12_005741,11,"(9, 10)","4,5"
scene_17_008053,10,"(7, 8)","8,9"
scene_19_009087,8,"(4, 5)","7,8"
scene_15_007040,11,"(4, 5)","7,8"
scene_9_004189,9,"(0, 1)","2,3"
scene_11_005366,10,"(1, 2)","10,11"
scene_14_006631,10,"(8, 9)","1,2"
scene_1_000486,12,"(4, 5)","5,6"
scene_10_004522,8,"(6, 7)","4,5"
scene_13_006071,11,"(5, 6)","2,3"
scene_17_008326,10,"(1, 2)","3,4"
scene_1_000015,10,"(4, 5)","10,11"
scene_20_009728,10,"(6, 7)","5,6"
scene_3_001122,10,"(2, 3)","6,7"
scene_20_009878,12,"(7, 8)","12,13"
scene_15_007469,8,"(0, 1)","5,6"
scene_1_000283,9,"(4, 5)","4,5"
scene_3_001470,8,"(4, 5)","6,7"
scene_12_005520,11,"(2, 3)","12,13"
scene_7_003141,10,"(8, 9)","5,6"
scene_16_007564,13,"(1, 2)","12,13"
scene_14_006651,10,"(4, 5)","6,7"
scene_16_007606,11,"(8, 9)","11,12"
scene_3_001293,9,"(3, 4)","11,12"
scene_11_005456,11,"(2, 3)","4,5"
scene_20_009890,15,"(5, 6)","6,7"
scene_14_006643,8,"(6, 7)","3,4"
scene_20_009508,12,"(2, 3)","11,12"
scene_15_007433,8,"(4, 5)","5,6"
scene_9_004014,10,"(8, 9)","1,2"
scene_13_006299,8,"(0, 1)","8,9"
scene_14_006719,10,"(5, 6)","10,11"
scene_15_007164,11,"(7, 8)","13,14"
scene_18_008561,8,"(0, 1)","4,5"
scene_2_000550,10,"(1, 2)","5,6"
scene_8_003628,11,"(5, 6)","8,9"
scene_8_003907,12,"(4, 5)","2,3"
scene_19_009058,8,"(1, 2)","7,8"
scene_1_000154,9,"(0, 1)","10,11"
scene_20_009696,12,"(3, 4)","7,8"
scene_16_007927,10,"(1, 2)","1,2"
scene_1_000042,10,"(1, 2)","11,12"
scene_2_000567,14,"(11, 12)","6,7"
scene_18_008538,8,"(3, 4)","11,12"
scene_12_005615,8,"(6, 7)","4,5"
scene_6_002774,11,"(1, 2)","4,5"
scene_8_003612,9,"(2, 3)","1,2"
scene_15_007349,12,"(2, 3)","1,2"
scene_8_003604,8,"(5, 6)","4,5"
scene_16_007964,13,"(7, 8)","3,4"
scene_10_004551,8,"(4, 5)","3,4"
scene_13_006176,9,"(2, 3)","7,8"
scene_13_006090,9,"(4, 5)","6,7"
scene_15_007090,9,"(6, 7)","2,3"
scene_10_004658,8,"(1, 2)","12,13"
scene_1_000222,9,"(3, 4)","5,6"
scene_18_008648,9,"(4, 5)","7,8"
scene_1_000281,9,"(6, 7)","6,7"
scene_16_007663,8,"(5, 6)","5,6"
scene_15_007204,11,"(5, 6)","4,5"
scene_5_002327,9,"(7, 8)","10,11"
scene_6_002552,8,"(4, 5)","3,4"
scene_3_001486,8,"(3, 4)","8,9"
scene_14_006911,8,"(0, 1)","3,4"
scene_14_006530,10,"(3, 4)","11,12"
scene_3_001179,11,"(3, 4)","7,8"
scene_18_008748,10,"(1, 2)","4,5"
scene_18_008766,8,"(2, 3)","1,2"
scene_16_007526,12,"(0, 1)","2,3"
scene_10_004721,8,"(4, 5)","3,4"
scene_8_003862,11,"(8, 9)","5,6"
scene_8_003835,12,"(3, 4)","13,14"
scene_13_006456,9,"(3, 4)","6,7"
scene_17_008275,12,"(0, 1)","7,8"
scene_3_001117,10,"(1, 2)","13,14"
scene_20_009733,10,"(0, 1)","1,2"
scene_4_001625,11,"(3, 4)","10,11"
scene_1_000473,9,"(1, 2)","7,8"
scene_20_009581,14,"(0, 1)","10,11"
scene_7_003480,13,"(5, 6)","2,3"
scene_5_002190,9,"(1, 2)","2,3"
scene_20_009901,13,"(8, 9)","10,11"
scene_17_008176,10,"(3, 4)","11,12"
scene_2_000519,11,"(4, 5)","5,6"
scene_16_007944,8,"(5, 6)","3,4"
scene_18_008767,9,"(7, 8)","4,5"
scene_15_007132,8,"(1, 2)","3,4"
scene_4_001751,11,"(8, 9)","6,7"
scene_11_005042,8,"(1, 2)","13,14"
scene_10_004681,8,"(5, 6)","11,12"
scene_6_002790,8,"(4, 5)","3,4"
scene_14_006756,10,"(7, 8)","1,2"
scene_15_007089,10,"(3, 4)","6,7"
scene_10_004552,8,"(6, 7)","4,5"
scene_2_000571,14,"(7, 8)","4,5"
scene_14_006882,8,"(6, 7)","6,7"
scene_1_000183,11,"(6, 7)","10,11"
scene_8_003764,11,"(3, 4)","6,7"
scene_8_003923,9,"(1, 2)","1,2"
scene_8_003917,8,"(0, 1)","4,5"
scene_15_007347,10,"(6, 7)","1,2"
scene_6_002870,11,"(5, 6)","5,6"
scene_16_007717,11,"(6, 7)","2,3"
scene_17_008172,9,"(6, 7)","1,2"
scene_14_006937,8,"(3, 4)","1,2"
scene_10_004598,8,"(6, 7)","5,6"
scene_13_006064,10,"(0, 1)","7,8"
scene_20_009665,13,"(10, 11)","10,11"
scene_15_007440,12,"(10, 11)","4,5"
scene_6_002745,8,"(5, 6)","1,2"
scene_12_005514,9,"(1, 2)","5,6"
scene_20_009557,11,"(0, 1)","12,13"
scene_10_004667,8,"(3, 4)","9,10"
scene_20_009529,9,"(5, 6)","5,6"
scene_8_003644,12,"(1, 2)","12,13"
scene_17_008401,9,"(3, 4)","7,8"
scene_2_000965,9,"(3, 4)","5,6"
scene_11_005246,8,"(1, 2)","5,6"
scene_4_001803,10,"(8, 9)","3,4"
scene_10_004666,8,"(3, 4)","11,12"
scene_7_003072,11,"(2, 3)","1,2"
scene_1_000202,9,"(6, 7)","11,12"
scene_18_008809,8,"(1, 2)","3,4"
scene_15_007221,9,"(4, 5)","1,2"
scene_3_001249,10,"(7, 8)","12,13"
scene_18_008782,8,"(1, 2)","11,12"
scene_4_001905,13,"(1, 2)","2,3"
scene_8_003788,12,"(7, 8)","3,4"
scene_16_007512,9,"(1, 2)","5,6"
scene_10_004678,10,"(0, 1)","7,8"
scene_4_001956,11,"(8, 9)","4,5"
scene_3_001397,10,"(0, 1)","10,11"
scene_17_008265,10,"(1, 2)","12,13"
scene_14_006793,9,"(3, 4)","12,13"
scene_16_007589,12,"(2, 3)","7,8"
scene_19_009275,8,"(3, 4)","7,8"
scene_3_001018,11,"(7, 8)","3,4"
scene_19_009096,9,"(7, 8)","5,6"
scene_18_008885,9,"(3, 4)","5,6"
scene_2_000882,8,"(6, 7)","5,6"
scene_12_005618,8,"(3, 4)","3,4"
scene_3_001438,10,"(0, 1)","7,8"
scene_14_006730,10,"(2, 3)","10,11"
scene_15_007458,8,"(3, 4)","5,6"
scene_3_001402,9,"(0, 1)","6,7"
scene_7_003001,10,"(6, 7)","7,8"
scene_10_004744,8,"(2, 3)","6,7"
scene_6_002553,14,"(12, 13)","13,14"
scene_17_008220,8,"(6, 7)","13,14"
scene_13_006164,10,"(7, 8)","1,2"
scene_13_006058,9,"(4, 5)","4,5"
scene_19_009049,9,"(6, 7)","8,9"
scene_12_005934,8,"(5, 6)","4,5"
scene_14_006985,8,"(5, 6)","6,7"
scene_4_001630,13,"(8, 9)","2,3"
scene_9_004156,14,"(10, 11)","6,7"
scene_17_008390,11,"(7, 8)","10,11"
scene_10_004869,12,"(2, 3)","1,2"
scene_17_008244,10,"(3, 4)","1,2"
scene_20_009593,13,"(4, 5)","7,8"
scene_8_003591,8,"(1, 2)","4,5"
scene_1_000179,9,"(0, 1)","5,6"
scene_13_006167,11,"(9, 10)","13,14"
scene_7_003016,11,"(8, 9)","12,13"
scene_16_007607,13,"(0, 1)","2,3"
scene_10_004619,8,"(5, 6)","5,6"
scene_4_001824,9,"(5, 6)","10,11"
scene_4_001621,12,"(0, 1)","3,4"
scene_14_006700,12,"(0, 1)","9,10"
scene_12_005889,9,"(7, 8)","3,4"
scene_12_005598,8,"(4, 5)","2,3"
scene_12_005736,10,"(8, 9)","10,11"
scene_9_004008,15,"(2, 3)","1,2"
scene_18_008505,9,"(0, 1)","10,11"
scene_6_002819,8,"(4, 5)","5,6"
scene_18_008877,9,"(1, 2)","8,9"
scene_14_006784,9,"(2, 3)","4,5"
scene_10_004527,9,"(1, 2)","4,5"
scene_9_004363,9,"(1, 2)","5,6"
scene_4_001511,10,"(3, 4)","3,4"
scene_17_008368,9,"(6, 7)","3,4"
scene_1_000106,9,"(1, 2)","10,11"
scene_13_006480,9,"(3, 4)","6,7"
scene_13_006300,10,"(0, 1)","7,8"
scene_17_008250,11,"(9, 10)","13,14"
scene_15_007064,9,"(1, 2)","5,6"
scene_6_002512,9,"(6, 7)","8,9"
scene_6_002684,8,"(5, 6)","1,2"
scene_9_004168,11,"(9, 10)","5,6"
scene_6_002945,10,"(8, 9)","2,3"
scene_17_008392,9,"(5, 6)","10,11"
scene_13_006262,9,"(4, 5)","6,7"
scene_4_001960,13,"(3, 4)","6,7"
scene_14_006832,10,"(5, 6)","12,13"
scene_3_001100,11,"(3, 4)","14,15"
scene_4_001979,10,"(4, 5)","6,7"
scene_17_008094,10,"(6, 7)","10,11"
scene_15_007354,8,"(1, 2)","11,12"
scene_7_003388,10,"(4, 5)","6,7"
scene_19_009251,12,"(7, 8)","11,12"
scene_4_001742,10,"(5, 6)","3,4"
scene_14_006896,10,"(1, 2)","12,13"
scene_19_009313,9,"(0, 1)","2,3"
scene_19_009282,8,"(3, 4)","5,6"
scene_14_006946,8,"(4, 5)","4,5"
scene_12_005999,9,"(1, 2)","5,6"
scene_4_001591,11,"(1, 2)","1,2"
scene_3_001073,10,"(8, 9)","1,2"
scene_4_001980,13,"(3, 4)","1,2"
scene_13_006083,9,"(4, 5)","4,5"
scene_1_000161,13,"(2, 3)","11,12"
scene_1_000341,10,"(5, 6)","12,13"
scene_19_009486,10,"(1, 2)","2,3"
scene_15_007393,8,"(1, 2)","8,9"
scene_2_000516,13,"(5, 6)","12,13"
scene_8_003940,12,"(4, 5)","11,12"
scene_14_006526,12,"(2, 3)","5,6"
scene_18_008705,9,"(7, 8)","4,5"
scene_15_007366,10,"(8, 9)","6,7"
scene_13_006386,8,"(5, 6)","13,14"
scene_4_001509,13,"(4, 5)","13,14"
scene_20_009551,10,"(8, 9)","3,4"
scene_14_006672,9,"(0, 1)","5,6"
scene_8_003588,10,"(8, 9)","3,4"
scene_14_006984,9,"(4, 5)","12,13"
