scenario,seq_len,ground_truth,answer
scene_11_005039,8,False,yes
scene_10_004764,7,True,yes
scene_11_005114,7,True,yes
scene_1_000045,8,False,yes
scene_18_008582,7,False,yes
scene_18_008561,8,False,yes
scene_10_004706,6,True,yes
scene_18_008954,7,True,yes
scene_17_008201,8,True,yes
scene_5_002275,5,False,yes
scene_5_002141,7,False,yes
scene_5_002031,5,False,yes
scene_7_003398,6,False,yes
scene_8_003805,5,True,yes
scene_3_001136,6,False,yes
scene_15_007173,7,False,yes
scene_12_005737,7,True,yes
scene_5_002227,5,False,yes
scene_5_002073,5,True,yes
scene_5_002063,5,True,yes
scene_9_004307,5,True,yes
scene_6_002637,6,True,yes
scene_18_008667,8,False,yes
scene_8_003977,5,False,yes
scene_11_005300,5,False,yes
scene_12_005865,8,False,no
scene_15_007433,8,False,yes
scene_10_004965,7,True,yes
scene_2_000587,4,True,yes
scene_19_009039,6,False,yes
scene_5_002054,6,False,yes
scene_14_006563,5,False,yes
scene_9_004201,4,False,yes
scene_7_003411,5,True,yes
scene_6_002819,8,False,yes
scene_11_005070,6,False,yes
scene_5_002030,5,False,yes
scene_18_008622,5,False,yes
scene_8_003571,8,True,yes
scene_9_004114,5,False,yes
scene_11_005394,5,True,yes
scene_12_005756,5,True,yes
scene_5_002059,4,False,yes
scene_15_007229,6,False,yes
scene_13_006032,7,True,no
scene_5_002320,6,True,yes
scene_7_003015,8,True,yes
scene_12_005611,6,True,no
scene_19_009038,7,True,yes
scene_17_008328,8,False,yes
scene_18_008882,7,False,yes
scene_8_003508,7,True,yes
scene_9_004113,5,False,yes
scene_5_002448,5,True,yes
scene_11_005118,6,True,yes
scene_2_000913,7,False,yes
scene_6_002846,5,True,yes
scene_14_006692,8,True,yes
scene_5_002209,5,True,yes
scene_17_008355,8,True,yes
scene_2_000590,6,False,yes
scene_9_004417,4,True,yes
scene_9_004296,6,True,yes
scene_16_007860,6,True,yes
scene_19_009221,7,False,yes
scene_11_005412,7,True,yes
scene_19_009168,7,True,yes
scene_8_003662,8,False,yes
scene_19_009134,8,True,yes
scene_13_006146,8,False,yes
scene_10_004536,8,True,yes
scene_1_000389,8,True,no
scene_9_004202,4,False,yes
scene_1_000052,8,False,yes
scene_6_002529,7,False,yes
scene_5_002459,7,False,yes
scene_20_009960,8,True,yes
scene_5_002267,6,True,yes
scene_12_005609,8,False,yes
scene_11_005403,4,False,yes
scene_18_008601,6,True,yes
scene_11_005124,7,True,yes
scene_3_001282,7,True,yes
scene_11_005404,5,False,yes
scene_16_007735,7,True,yes
scene_12_005945,7,False,yes
scene_10_004926,8,False,yes
scene_12_005509,6,True,yes
scene_11_005240,6,False,yes
scene_4_001675,7,False,yes
scene_19_009179,7,True,yes
scene_9_004230,4,False,yes
scene_8_003518,5,False,yes
scene_12_005598,8,False,yes
scene_9_004122,4,False,yes
scene_4_001761,7,True,yes
scene_7_003445,6,True,yes
scene_6_002573,6,False,yes
scene_16_007944,8,False,yes
scene_2_000914,4,False,no
scene_19_009008,6,True,yes
scene_3_001109,6,True,yes
scene_6_002654,7,False,no
scene_8_003604,8,True,yes
scene_2_000775,5,False,yes
scene_19_009268,6,False,yes
scene_3_001416,7,False,yes
scene_16_007732,8,True,yes
scene_11_005298,4,True,yes
scene_11_005110,5,True,yes
scene_11_005284,5,False,yes
scene_18_008902,7,False,no
scene_7_003035,8,False,yes
scene_13_006373,7,False,no
scene_5_002084,5,False,yes
scene_16_007822,7,True,yes
scene_10_004886,7,False,yes
scene_6_002538,6,True,yes
scene_11_005053,8,True,no
scene_18_008980,7,True,no
scene_19_009087,8,True,yes
scene_8_003868,8,True,yes
scene_11_005063,6,True,yes
scene_9_004093,5,True,yes
scene_8_003629,6,False,yes
scene_2_000929,6,True,no
scene_5_002083,5,True,yes
scene_2_000823,6,True,yes
scene_15_007384,8,False,yes
scene_9_004391,6,False,yes
scene_11_005062,4,False,no
scene_20_009922,8,True,yes
scene_14_006827,8,False,yes
scene_5_002023,5,True,yes
scene_11_005058,5,False,yes
scene_2_000847,4,True,yes
scene_10_004808,6,True,yes
scene_5_002427,6,False,yes
scene_9_004281,4,False,yes
scene_19_009178,6,True,yes
scene_5_002260,5,False,yes
scene_18_008899,6,False,yes
scene_3_001200,6,True,yes
scene_1_000243,5,True,yes
scene_16_007736,7,True,yes
scene_5_002151,7,True,yes
scene_12_005557,7,False,yes
scene_12_005585,7,True,no
scene_10_004755,7,True,yes
scene_19_009479,6,False,yes
scene_11_005060,5,False,yes
scene_14_006787,8,False,yes
scene_19_009381,6,False,yes
scene_6_002811,7,False,yes
scene_19_009083,8,True,yes
scene_8_003535,6,True,yes
scene_8_003538,5,False,yes
scene_18_008508,8,True,yes
scene_10_004544,7,False,yes
scene_19_009294,8,True,yes
scene_8_003981,5,False,yes
scene_3_001486,8,True,yes
scene_5_002278,5,False,yes
scene_11_005211,7,False,yes
scene_11_005132,5,False,yes
scene_18_008950,5,False,no
scene_18_008527,8,True,yes
scene_18_008510,8,True,yes
scene_2_000677,5,False,yes
scene_6_002607,6,False,yes
scene_6_002814,6,False,yes
scene_5_002088,6,True,yes
scene_11_005262,5,True,yes
scene_2_000928,4,True,yes
