scenario,seq_len,ground_truth,answer
scene_8,8,1,1
scene_190,5,1,4
scene_268,5,4,4
scene_504,4,0,4
scene_39,8,3,4
scene_381,6,1,5
scene_262,8,2,2
scene_607,5,2,3
scene_594,5,1,2
scene_138,5,0,2
scene_518,5,2,3
scene_2,8,4,4
scene_598,4,3,4
scene_115,4,3,4
scene_308,8,3,4
scene_620,5,0,1
scene_507,5,0,4
scene_209,7,3,4
scene_101,6,2,3
scene_584,6,5,5
scene_421,7,4,4
scene_176,6,4,4
scene_5,5,1,1
scene_247,4,2,3
scene_86,6,5,4
scene_395,7,6,6
scene_601,4,2,2
scene_627,8,5,6
scene_391,8,7,6
scene_559,5,1,2
scene_150,8,6,6
scene_657,5,1,1
scene_63,4,0,1
scene_325,8,1,2
scene_637,8,1,2
scene_191,6,4,4
scene_14,4,2,3
scene_293,6,5,5
scene_105,4,2,3
scene_400,4,3,4
scene_576,5,0,1
scene_261,6,5,5
scene_520,7,1,3
scene_531,8,5,5
scene_74,5,0,1
scene_347,6,2,3
scene_177,8,3,3
scene_375,6,0,1
scene_172,6,0,1
scene_265,6,5,5
scene_398,8,4,4
scene_24,7,1,1
scene_579,5,2,1
scene_353,7,4,4
scene_118,5,1,2
scene_560,7,2,3
scene_536,6,4,5
scene_484,8,1,2
scene_162,5,0,1
scene_149,6,2,3
scene_626,5,3,4
scene_471,5,3,3
scene_488,8,3,4
scene_222,7,5,4
scene_100,8,6,6
scene_132,4,0,1
scene_212,4,3,4
scene_677,6,0,1
scene_380,8,3,4
scene_10,6,1,2
scene_69,4,2,2
scene_357,7,6,5
scene_42,7,3,0
scene_383,5,4,4
scene_143,8,1,1
scene_501,8,2,2
scene_251,7,3,4
scene_386,4,3,3
scene_198,5,3,4
scene_425,5,4,4
scene_310,8,3,1
scene_426,4,0,4
scene_339,8,5,5
scene_545,6,4,4
scene_350,5,0,4
scene_33,7,4,4
scene_581,4,3,3
scene_349,5,4,4
scene_443,5,4,4
scene_450,5,2,3
scene_534,5,3,4
scene_301,5,3,4
scene_64,5,3,4
scene_92,4,1,2
scene_254,5,1,2
scene_56,6,0,1
scene_361,5,2,2
scene_40,7,3,3
scene_185,6,4,4
scene_555,4,2,3
scene_690,5,2,2
scene_416,8,4,4
scene_264,8,4,4
scene_592,5,2,3
scene_193,4,0,1
scene_311,4,2,2
scene_15,5,2,3
scene_187,6,5,5
scene_617,4,1,1
scene_525,7,4,4
scene_509,7,4,4
scene_227,4,0,1
scene_642,4,3,4
scene_297,8,4,4
scene_554,4,1,4
scene_28,8,5,5
scene_327,4,1,1
scene_655,5,3,4
scene_13,7,5,5
scene_612,4,3,4
scene_553,8,4,4
scene_510,5,3,3
scene_96,8,7,7
scene_548,4,3,4
scene_237,4,1,1
scene_219,4,1,1
scene_180,4,2,3
scene_568,4,2,3
scene_359,8,5,5
scene_256,6,0,1
scene_377,5,4,4
scene_414,6,0,1
scene_174,5,2,1
scene_106,4,0,2
scene_116,4,2,3
scene_290,6,4,4
scene_599,5,2,3
scene_62,5,2,4
scene_207,7,5,5
scene_671,6,5,5
scene_516,6,4,4
scene_639,7,3,4
scene_524,8,2,3
scene_280,4,3,4
scene_60,6,4,4
scene_23,7,3,4
scene_431,7,2,3
scene_532,5,4,4
scene_600,7,3,3
scene_411,8,5,5
scene_43,5,1,2
scene_567,5,0,4
scene_213,5,3,3
scene_602,6,5,5
scene_158,4,3,4
scene_312,8,2,2
scene_119,8,2,2
scene_564,6,4,4
scene_542,7,3,4
scene_513,7,3,4
scene_423,8,7,6
scene_326,5,2,3
scene_622,8,4,4
scene_652,5,2,3
scene_204,4,1,1
scene_140,4,3,4
scene_255,4,1,3
scene_77,7,3,3
scene_492,6,0,1
scene_321,4,0,4
scene_650,4,0,1
scene_406,4,2,3
scene_557,8,6,6
scene_378,8,7,7
scene_436,5,3,4
scene_609,5,3,4
scene_306,4,3,3
scene_412,7,0,1
scene_340,7,2,3
scene_632,8,5,5
scene_272,8,4,4
scene_573,7,2,2
scene_192,6,3,4
