model_prediction_first,model_prediction_second,ground_truth_first,ground_truth_second,prediction_series_length
1,2,7,8,13
2,3,2,3,6
2,3,2,3,5
2,3,3,4,8
2,3,3,4,8
2,3,2,3,7
2,3,1,2,6
2,3,3,4,6
2,3,5,6,11
2,3,1,2,6
2,3,8,9,12
2,3,1,2,10
2,3,1,2,5
1,2,9,10,14
13,14,2,3,14
2,3,1,2,7
1,2,11,12,13
2,3,6,7,11
2,3,0,1,12
1,2,6,7,14
2,3,0,1,13
2,3,1,2,9
2,3,0,1,9
2,3,6,7,10
1,2,4,5,11
1,2,4,5,13
2,3,5,6,14
2,3,8,9,11
2,3,0,1,8
2,3,9,10,13
2,3,2,3,5
1,2,7,8,12
2,3,7,8,9
2,3,3,4,7
2,3,7,8,12
2,3,7,8,12
2,3,0,1,5
2,3,3,4,7
2,3,5,6,9
2,3,2,3,11
2,3,2,3,8
2,3,2,3,10
2,3,0,1,6
2,3,7,8,10
12,13,9,10,14
2,3,0,1,5
2,3,1,2,7
2,3,0,1,8
2,3,0,1,9
2,3,7,8,10
